aae01100	Metabolic pathways - Aquifex aeolicus
aae01110	Biosynthesis of secondary metabolites - Aquifex aeolicus
aae01120	Microbial metabolism in diverse environments - Aquifex aeolicus
aae01200	Carbon metabolism - Aquifex aeolicus
aae01210	2-Oxocarboxylic acid metabolism - Aquifex aeolicus
aae01212	Fatty acid metabolism - Aquifex aeolicus
aae01230	Biosynthesis of amino acids - Aquifex aeolicus
aae01232	Nucleotide metabolism - Aquifex aeolicus
aae01250	Biosynthesis of nucleotide sugars - Aquifex aeolicus
aae01240	Biosynthesis of cofactors - Aquifex aeolicus
aae01220	Degradation of aromatic compounds - Aquifex aeolicus
aae01320	Sulfur cycle - Aquifex aeolicus
aae00010	Glycolysis / Gluconeogenesis - Aquifex aeolicus
aae00020	Citrate cycle (TCA cycle) - Aquifex aeolicus
aae00030	Pentose phosphate pathway - Aquifex aeolicus
aae00040	Pentose and glucuronate interconversions - Aquifex aeolicus
aae00051	Fructose and mannose metabolism - Aquifex aeolicus
aae00052	Galactose metabolism - Aquifex aeolicus
aae00053	Ascorbate and aldarate metabolism - Aquifex aeolicus
aae00500	Starch and sucrose metabolism - Aquifex aeolicus
aae00620	Pyruvate metabolism - Aquifex aeolicus
aae00630	Glyoxylate and dicarboxylate metabolism - Aquifex aeolicus
aae00640	Propanoate metabolism - Aquifex aeolicus
aae00650	Butanoate metabolism - Aquifex aeolicus
aae00660	C5-Branched dibasic acid metabolism - Aquifex aeolicus
aae00562	Inositol phosphate metabolism - Aquifex aeolicus
aae00566	Sulfoquinovose metabolism - Aquifex aeolicus
aae00190	Oxidative phosphorylation - Aquifex aeolicus
aae00710	Carbon fixation by Calvin cycle - Aquifex aeolicus
aae00720	Other carbon fixation pathways - Aquifex aeolicus
aae00680	Methane metabolism - Aquifex aeolicus
aae00910	Nitrogen metabolism - Aquifex aeolicus
aae00920	Sulfur metabolism - Aquifex aeolicus
aae00061	Fatty acid biosynthesis - Aquifex aeolicus
aae00071	Fatty acid degradation - Aquifex aeolicus
aae00074	Mycolic acid biosynthesis - Aquifex aeolicus
aae00561	Glycerolipid metabolism - Aquifex aeolicus
aae00564	Glycerophospholipid metabolism - Aquifex aeolicus
aae00230	Purine metabolism - Aquifex aeolicus
aae00240	Pyrimidine metabolism - Aquifex aeolicus
aae00250	Alanine, aspartate and glutamate metabolism - Aquifex aeolicus
aae00260	Glycine, serine and threonine metabolism - Aquifex aeolicus
aae00270	Cysteine and methionine metabolism - Aquifex aeolicus
aae00280	Valine, leucine and isoleucine degradation - Aquifex aeolicus
aae00290	Valine, leucine and isoleucine biosynthesis - Aquifex aeolicus
aae00300	Lysine biosynthesis - Aquifex aeolicus
aae00310	Lysine degradation - Aquifex aeolicus
aae00220	Arginine biosynthesis - Aquifex aeolicus
aae00330	Arginine and proline metabolism - Aquifex aeolicus
aae00340	Histidine metabolism - Aquifex aeolicus
aae00350	Tyrosine metabolism - Aquifex aeolicus
aae00360	Phenylalanine metabolism - Aquifex aeolicus
aae00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Aquifex aeolicus
aae00410	beta-Alanine metabolism - Aquifex aeolicus
aae00450	Selenocompound metabolism - Aquifex aeolicus
aae00470	D-Amino acid metabolism - Aquifex aeolicus
aae00480	Glutathione metabolism - Aquifex aeolicus
aae00520	Amino sugar and nucleotide sugar metabolism - Aquifex aeolicus
aae00541	Biosynthesis of various nucleotide sugars - Aquifex aeolicus
aae00540	Lipopolysaccharide biosynthesis - Aquifex aeolicus
aae00550	Peptidoglycan biosynthesis - Aquifex aeolicus
aae00552	Teichoic acid biosynthesis - Aquifex aeolicus
aae00543	Exopolysaccharide biosynthesis - Aquifex aeolicus
aae00730	Thiamine metabolism - Aquifex aeolicus
aae00740	Riboflavin metabolism - Aquifex aeolicus
aae00750	Vitamin B6 metabolism - Aquifex aeolicus
aae00760	Nicotinate and nicotinamide metabolism - Aquifex aeolicus
aae00770	Pantothenate and CoA biosynthesis - Aquifex aeolicus
aae00780	Biotin metabolism - Aquifex aeolicus
aae00785	Lipoic acid metabolism - Aquifex aeolicus
aae00790	Folate biosynthesis - Aquifex aeolicus
aae00670	One carbon pool by folate - Aquifex aeolicus
aae00860	Porphyrin metabolism - Aquifex aeolicus
aae00130	Ubiquinone and other terpenoid-quinone biosynthesis - Aquifex aeolicus
aae00900	Terpenoid backbone biosynthesis - Aquifex aeolicus
aae00332	Carbapenem biosynthesis - Aquifex aeolicus
aae00261	Monobactam biosynthesis - Aquifex aeolicus
aae00521	Streptomycin biosynthesis - Aquifex aeolicus
aae00401	Novobiocin biosynthesis - Aquifex aeolicus
aae00999	Biosynthesis of various plant secondary metabolites - Aquifex aeolicus
aae00364	Fluorobenzoate degradation - Aquifex aeolicus
aae00625	Chloroalkane and chloroalkene degradation - Aquifex aeolicus
aae00361	Chlorocyclohexane and chlorobenzene degradation - Aquifex aeolicus
aae00623	Toluene degradation - Aquifex aeolicus
aae00633	Nitrotoluene degradation - Aquifex aeolicus
aae00626	Naphthalene degradation - Aquifex aeolicus
aae03020	RNA polymerase - Aquifex aeolicus
aae03010	Ribosome - Aquifex aeolicus
aae00970	Aminoacyl-tRNA biosynthesis - Aquifex aeolicus
aae03060	Protein export - Aquifex aeolicus
aae04122	Sulfur relay system - Aquifex aeolicus
aae03018	RNA degradation - Aquifex aeolicus
aae03030	DNA replication - Aquifex aeolicus
aae03410	Base excision repair - Aquifex aeolicus
aae03420	Nucleotide excision repair - Aquifex aeolicus
aae03430	Mismatch repair - Aquifex aeolicus
aae03440	Homologous recombination - Aquifex aeolicus
aae02010	ABC transporters - Aquifex aeolicus
aae03070	Bacterial secretion system - Aquifex aeolicus
aae02020	Two-component system - Aquifex aeolicus
aae04146	Peroxisome - Aquifex aeolicus
aae04148	Efferocytosis - Aquifex aeolicus
aae02024	Quorum sensing - Aquifex aeolicus
aae02030	Bacterial chemotaxis - Aquifex aeolicus
aae02040	Flagellar assembly - Aquifex aeolicus
aae04981	Folate transport and metabolism - Aquifex aeolicus
aae01501	beta-Lactam resistance - Aquifex aeolicus
aae01502	Vancomycin resistance - Aquifex aeolicus
aae01503	Cationic antimicrobial peptide (CAMP) resistance - Aquifex aeolicus
