ape01100	Metabolic pathways - Aeropyrum pernix
ape01110	Biosynthesis of secondary metabolites - Aeropyrum pernix
ape01120	Microbial metabolism in diverse environments - Aeropyrum pernix
ape01200	Carbon metabolism - Aeropyrum pernix
ape01210	2-Oxocarboxylic acid metabolism - Aeropyrum pernix
ape01212	Fatty acid metabolism - Aeropyrum pernix
ape01230	Biosynthesis of amino acids - Aeropyrum pernix
ape01232	Nucleotide metabolism - Aeropyrum pernix
ape01250	Biosynthesis of nucleotide sugars - Aeropyrum pernix
ape01240	Biosynthesis of cofactors - Aeropyrum pernix
ape01220	Degradation of aromatic compounds - Aeropyrum pernix
ape01310	Nitrogen cycle - Aeropyrum pernix
ape01320	Sulfur cycle - Aeropyrum pernix
ape00010	Glycolysis / Gluconeogenesis - Aeropyrum pernix
ape00020	Citrate cycle (TCA cycle) - Aeropyrum pernix
ape00030	Pentose phosphate pathway - Aeropyrum pernix
ape00040	Pentose and glucuronate interconversions - Aeropyrum pernix
ape00051	Fructose and mannose metabolism - Aeropyrum pernix
ape00052	Galactose metabolism - Aeropyrum pernix
ape00500	Starch and sucrose metabolism - Aeropyrum pernix
ape00620	Pyruvate metabolism - Aeropyrum pernix
ape00630	Glyoxylate and dicarboxylate metabolism - Aeropyrum pernix
ape00640	Propanoate metabolism - Aeropyrum pernix
ape00650	Butanoate metabolism - Aeropyrum pernix
ape00660	C5-Branched dibasic acid metabolism - Aeropyrum pernix
ape00562	Inositol phosphate metabolism - Aeropyrum pernix
ape00190	Oxidative phosphorylation - Aeropyrum pernix
ape00710	Carbon fixation by Calvin cycle - Aeropyrum pernix
ape00720	Other carbon fixation pathways - Aeropyrum pernix
ape00680	Methane metabolism - Aeropyrum pernix
ape00910	Nitrogen metabolism - Aeropyrum pernix
ape00920	Sulfur metabolism - Aeropyrum pernix
ape00061	Fatty acid biosynthesis - Aeropyrum pernix
ape00071	Fatty acid degradation - Aeropyrum pernix
ape00561	Glycerolipid metabolism - Aeropyrum pernix
ape00564	Glycerophospholipid metabolism - Aeropyrum pernix
ape00600	Sphingolipid metabolism - Aeropyrum pernix
ape00592	alpha-Linolenic acid metabolism - Aeropyrum pernix
ape00230	Purine metabolism - Aeropyrum pernix
ape00240	Pyrimidine metabolism - Aeropyrum pernix
ape00250	Alanine, aspartate and glutamate metabolism - Aeropyrum pernix
ape00260	Glycine, serine and threonine metabolism - Aeropyrum pernix
ape00270	Cysteine and methionine metabolism - Aeropyrum pernix
ape00280	Valine, leucine and isoleucine degradation - Aeropyrum pernix
ape00290	Valine, leucine and isoleucine biosynthesis - Aeropyrum pernix
ape00300	Lysine biosynthesis - Aeropyrum pernix
ape00310	Lysine degradation - Aeropyrum pernix
ape00220	Arginine biosynthesis - Aeropyrum pernix
ape00330	Arginine and proline metabolism - Aeropyrum pernix
ape00350	Tyrosine metabolism - Aeropyrum pernix
ape00360	Phenylalanine metabolism - Aeropyrum pernix
ape00380	Tryptophan metabolism - Aeropyrum pernix
ape00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Aeropyrum pernix
ape00410	beta-Alanine metabolism - Aeropyrum pernix
ape00450	Selenocompound metabolism - Aeropyrum pernix
ape00460	Cyanoamino acid metabolism - Aeropyrum pernix
ape00480	Glutathione metabolism - Aeropyrum pernix
ape00520	Amino sugar and nucleotide sugar metabolism - Aeropyrum pernix
ape00541	Biosynthesis of various nucleotide sugars - Aeropyrum pernix
ape00730	Thiamine metabolism - Aeropyrum pernix
