buc01100	Metabolic pathways - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc01110	Biosynthesis of secondary metabolites - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc01120	Microbial metabolism in diverse environments - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc01200	Carbon metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc01210	2-Oxocarboxylic acid metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc01212	Fatty acid metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc01230	Biosynthesis of amino acids - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc01232	Nucleotide metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc01250	Biosynthesis of nucleotide sugars - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc01240	Biosynthesis of cofactors - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc01320	Sulfur cycle - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00010	Glycolysis / Gluconeogenesis - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00020	Citrate cycle (TCA cycle) - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00030	Pentose phosphate pathway - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00051	Fructose and mannose metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00500	Starch and sucrose metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00620	Pyruvate metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00630	Glyoxylate and dicarboxylate metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00640	Propanoate metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00660	C5-Branched dibasic acid metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00562	Inositol phosphate metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00190	Oxidative phosphorylation - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00710	Carbon fixation by Calvin cycle - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00720	Other carbon fixation pathways - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00680	Methane metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00920	Sulfur metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00061	Fatty acid biosynthesis - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00230	Purine metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00240	Pyrimidine metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00250	Alanine, aspartate and glutamate metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00260	Glycine, serine and threonine metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00270	Cysteine and methionine metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00280	Valine, leucine and isoleucine degradation - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00290	Valine, leucine and isoleucine biosynthesis - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00300	Lysine biosynthesis - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00310	Lysine degradation - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00220	Arginine biosynthesis - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00330	Arginine and proline metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00340	Histidine metabolism - Buchnera aphidicola APS (Acyrthosiphon pisum)
buc00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Buchnera aphidicola APS (Acyrthosiphon pisum)
