cal01100	Metabolic pathways - Candida albicans
cal01110	Biosynthesis of secondary metabolites - Candida albicans
cal01200	Carbon metabolism - Candida albicans
cal01210	2-Oxocarboxylic acid metabolism - Candida albicans
cal01212	Fatty acid metabolism - Candida albicans
cal01230	Biosynthesis of amino acids - Candida albicans
cal01232	Nucleotide metabolism - Candida albicans
cal01250	Biosynthesis of nucleotide sugars - Candida albicans
cal01240	Biosynthesis of cofactors - Candida albicans
cal01320	Sulfur cycle - Candida albicans
cal00010	Glycolysis / Gluconeogenesis - Candida albicans
cal00020	Citrate cycle (TCA cycle) - Candida albicans
cal00030	Pentose phosphate pathway - Candida albicans
cal00040	Pentose and glucuronate interconversions - Candida albicans
cal00051	Fructose and mannose metabolism - Candida albicans
cal00052	Galactose metabolism - Candida albicans
cal00053	Ascorbate and aldarate metabolism - Candida albicans
cal00500	Starch and sucrose metabolism - Candida albicans
cal00620	Pyruvate metabolism - Candida albicans
cal00630	Glyoxylate and dicarboxylate metabolism - Candida albicans
cal00640	Propanoate metabolism - Candida albicans
cal00650	Butanoate metabolism - Candida albicans
cal00660	C5-Branched dibasic acid metabolism - Candida albicans
cal00562	Inositol phosphate metabolism - Candida albicans
cal00190	Oxidative phosphorylation - Candida albicans
cal00710	Carbon fixation by Calvin cycle - Candida albicans
cal00680	Methane metabolism - Candida albicans
cal00910	Nitrogen metabolism - Candida albicans
cal00920	Sulfur metabolism - Candida albicans
cal00061	Fatty acid biosynthesis - Candida albicans
cal00062	Fatty acid elongation - Candida albicans
cal00071	Fatty acid degradation - Candida albicans
cal00100	Steroid biosynthesis - Candida albicans
cal00561	Glycerolipid metabolism - Candida albicans
cal00564	Glycerophospholipid metabolism - Candida albicans
cal00565	Ether lipid metabolism - Candida albicans
cal00600	Sphingolipid metabolism - Candida albicans
cal00590	Arachidonic acid metabolism - Candida albicans
cal00592	alpha-Linolenic acid metabolism - Candida albicans
cal01040	Biosynthesis of unsaturated fatty acids - Candida albicans
cal00230	Purine metabolism - Candida albicans
cal00240	Pyrimidine metabolism - Candida albicans
cal00250	Alanine, aspartate and glutamate metabolism - Candida albicans
cal00260	Glycine, serine and threonine metabolism - Candida albicans
cal00270	Cysteine and methionine metabolism - Candida albicans
cal00280	Valine, leucine and isoleucine degradation - Candida albicans
cal00290	Valine, leucine and isoleucine biosynthesis - Candida albicans
cal00300	Lysine biosynthesis - Candida albicans
cal00310	Lysine degradation - Candida albicans
cal00220	Arginine biosynthesis - Candida albicans
cal00330	Arginine and proline metabolism - Candida albicans
cal00340	Histidine metabolism - Candida albicans
cal00350	Tyrosine metabolism - Candida albicans
cal00360	Phenylalanine metabolism - Candida albicans
cal00380	Tryptophan metabolism - Candida albicans
cal00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Candida albicans
cal00410	beta-Alanine metabolism - Candida albicans
cal00430	Taurine and hypotaurine metabolism - Candida albicans
cal00440	Phosphonate and phosphinate metabolism - Candida albicans
cal00450	Selenocompound metabolism - Candida albicans
cal00460	Cyanoamino acid metabolism - Candida albicans
cal00470	D-Amino acid metabolism - Candida albicans
cal00480	Glutathione metabolism - Candida albicans
cal00520	Amino sugar and nucleotide sugar metabolism - Candida albicans
cal00541	Biosynthesis of various nucleotide sugars - Candida albicans
cal00510	N-Glycan biosynthesis - Candida albicans
cal00513	Various types of N-glycan biosynthesis - Candida albicans
cal00515	Mannose type O-glycan biosynthesis - Candida albicans
cal00514	Other types of O-glycan biosynthesis - Candida albicans
cal00531	Glycosaminoglycan degradation - Candida albicans
cal00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Candida albicans
cal00604	Glycosphingolipid biosynthesis - ganglio series - Candida albicans
cal00511	Other glycan degradation - Candida albicans
cal00730	Thiamine metabolism - Candida albicans
cal00740	Riboflavin metabolism - Candida albicans
cal00750	Vitamin B6 metabolism - Candida albicans
cal00760	Nicotinate and nicotinamide metabolism - Candida albicans
cal00770	Pantothenate and CoA biosynthesis - Candida albicans
cal00780	Biotin metabolism - Candida albicans
cal00785	Lipoic acid metabolism - Candida albicans
cal00790	Folate biosynthesis - Candida albicans
cal00670	One carbon pool by folate - Candida albicans
cal00860	Porphyrin metabolism - Candida albicans
cal00130	Ubiquinone and other terpenoid-quinone biosynthesis - Candida albicans
cal00900	Terpenoid backbone biosynthesis - Candida albicans
cal00909	Sesquiterpenoid and triterpenoid biosynthesis - Candida albicans
cal00332	Carbapenem biosynthesis - Candida albicans
cal00261	Monobactam biosynthesis - Candida albicans
cal00999	Biosynthesis of various plant secondary metabolites - Candida albicans
cal00791	Atrazine degradation - Candida albicans
cal03020	RNA polymerase - Candida albicans
cal03022	Basal transcription factors - Candida albicans
cal03040	Spliceosome - Candida albicans
cal03010	Ribosome - Candida albicans
cal00970	Aminoacyl-tRNA biosynthesis - Candida albicans
cal03013	Nucleocytoplasmic transport - Candida albicans
cal03015	mRNA surveillance pathway - Candida albicans
cal03008	Ribosome biogenesis in eukaryotes - Candida albicans
cal03060	Protein export - Candida albicans
cal04141	Protein processing in endoplasmic reticulum - Candida albicans
cal04130	SNARE interactions in vesicular transport - Candida albicans
cal04120	Ubiquitin mediated proteolysis - Candida albicans
cal04122	Sulfur relay system - Candida albicans
cal03050	Proteasome - Candida albicans
cal03018	RNA degradation - Candida albicans
cal03030	DNA replication - Candida albicans
cal03410	Base excision repair - Candida albicans
cal03420	Nucleotide excision repair - Candida albicans
cal03430	Mismatch repair - Candida albicans
cal03440	Homologous recombination - Candida albicans
cal03450	Non-homologous end-joining - Candida albicans
cal03460	Fanconi anemia pathway - Candida albicans
cal03082	ATP-dependent chromatin remodeling - Candida albicans
cal03083	Polycomb repressive complex - Candida albicans
cal03250	Viral life cycle - HIV-1 - Candida albicans
cal03272	Virion - Hepatitis viruses - Candida albicans
cal02010	ABC transporters - Candida albicans
cal04011	MAPK signaling pathway - yeast - Candida albicans
cal04070	Phosphatidylinositol signaling system - Candida albicans
cal04082	Neuroactive ligand signaling - Candida albicans
cal04081	Hormone signaling - Candida albicans
cal04517	IgSF CAM signaling - Candida albicans
cal04518	Integrin signaling - Candida albicans
cal04519	Cadherin signaling - Candida albicans
cal04144	Endocytosis - Candida albicans
cal04145	Phagosome - Candida albicans
cal04142	Lysosome biogenesis - Candida albicans
cal04146	Peroxisome - Candida albicans
cal04138	Autophagy - yeast - Candida albicans
cal04136	Autophagy - other - Candida albicans
cal04139	Mitophagy - yeast - Candida albicans
cal04148	Efferocytosis - Candida albicans
cal04111	Cell cycle - yeast - Candida albicans
cal04113	Meiosis - yeast - Candida albicans
cal04814	Motor proteins - Candida albicans
cal04820	Cytoskeleton in muscle cells - Candida albicans
cal04620	Toll-like receptor signaling pathway - Candida albicans
cal04981	Folate transport and metabolism - Candida albicans
cal04382	Cornified envelope formation - Candida albicans
cal05100	Bacterial invasion of epithelial cells - Candida albicans
cal01501	beta-Lactam resistance - Candida albicans
