cbo01100	Metabolic pathways - Clostridium botulinum A ATCC 3502
cbo01110	Biosynthesis of secondary metabolites - Clostridium botulinum A ATCC 3502
cbo01120	Microbial metabolism in diverse environments - Clostridium botulinum A ATCC 3502
cbo01200	Carbon metabolism - Clostridium botulinum A ATCC 3502
cbo01210	2-Oxocarboxylic acid metabolism - Clostridium botulinum A ATCC 3502
cbo01212	Fatty acid metabolism - Clostridium botulinum A ATCC 3502
cbo01230	Biosynthesis of amino acids - Clostridium botulinum A ATCC 3502
cbo01232	Nucleotide metabolism - Clostridium botulinum A ATCC 3502
cbo01250	Biosynthesis of nucleotide sugars - Clostridium botulinum A ATCC 3502
cbo01240	Biosynthesis of cofactors - Clostridium botulinum A ATCC 3502
cbo01220	Degradation of aromatic compounds - Clostridium botulinum A ATCC 3502
cbo00010	Glycolysis / Gluconeogenesis - Clostridium botulinum A ATCC 3502
cbo00020	Citrate cycle (TCA cycle) - Clostridium botulinum A ATCC 3502
cbo00030	Pentose phosphate pathway - Clostridium botulinum A ATCC 3502
cbo00040	Pentose and glucuronate interconversions - Clostridium botulinum A ATCC 3502
cbo00051	Fructose and mannose metabolism - Clostridium botulinum A ATCC 3502
cbo00052	Galactose metabolism - Clostridium botulinum A ATCC 3502
cbo00053	Ascorbate and aldarate metabolism - Clostridium botulinum A ATCC 3502
cbo00500	Starch and sucrose metabolism - Clostridium botulinum A ATCC 3502
cbo00620	Pyruvate metabolism - Clostridium botulinum A ATCC 3502
cbo00630	Glyoxylate and dicarboxylate metabolism - Clostridium botulinum A ATCC 3502
cbo00640	Propanoate metabolism - Clostridium botulinum A ATCC 3502
cbo00650	Butanoate metabolism - Clostridium botulinum A ATCC 3502
cbo00562	Inositol phosphate metabolism - Clostridium botulinum A ATCC 3502
cbo00190	Oxidative phosphorylation - Clostridium botulinum A ATCC 3502
cbo00710	Carbon fixation by Calvin cycle - Clostridium botulinum A ATCC 3502
cbo00720	Other carbon fixation pathways - Clostridium botulinum A ATCC 3502
cbo00680	Methane metabolism - Clostridium botulinum A ATCC 3502
