cel01100	Metabolic pathways - Caenorhabditis elegans (nematode)
cel01200	Carbon metabolism - Caenorhabditis elegans (nematode)
cel01210	2-Oxocarboxylic acid metabolism - Caenorhabditis elegans (nematode)
cel01212	Fatty acid metabolism - Caenorhabditis elegans (nematode)
cel01230	Biosynthesis of amino acids - Caenorhabditis elegans (nematode)
cel01232	Nucleotide metabolism - Caenorhabditis elegans (nematode)
cel01250	Biosynthesis of nucleotide sugars - Caenorhabditis elegans (nematode)
cel01240	Biosynthesis of cofactors - Caenorhabditis elegans (nematode)
cel01320	Sulfur cycle - Caenorhabditis elegans (nematode)
cel00010	Glycolysis / Gluconeogenesis - Caenorhabditis elegans (nematode)
cel00020	Citrate cycle (TCA cycle) - Caenorhabditis elegans (nematode)
cel00030	Pentose phosphate pathway - Caenorhabditis elegans (nematode)
cel00040	Pentose and glucuronate interconversions - Caenorhabditis elegans (nematode)
cel00051	Fructose and mannose metabolism - Caenorhabditis elegans (nematode)
cel00052	Galactose metabolism - Caenorhabditis elegans (nematode)
cel00053	Ascorbate and aldarate metabolism - Caenorhabditis elegans (nematode)
cel00500	Starch and sucrose metabolism - Caenorhabditis elegans (nematode)
cel00620	Pyruvate metabolism - Caenorhabditis elegans (nematode)
cel00630	Glyoxylate and dicarboxylate metabolism - Caenorhabditis elegans (nematode)
cel00640	Propanoate metabolism - Caenorhabditis elegans (nematode)
cel00650	Butanoate metabolism - Caenorhabditis elegans (nematode)
cel00562	Inositol phosphate metabolism - Caenorhabditis elegans (nematode)
cel00190	Oxidative phosphorylation - Caenorhabditis elegans (nematode)
cel00910	Nitrogen metabolism - Caenorhabditis elegans (nematode)
cel00920	Sulfur metabolism - Caenorhabditis elegans (nematode)
cel00061	Fatty acid biosynthesis - Caenorhabditis elegans (nematode)
cel00062	Fatty acid elongation - Caenorhabditis elegans (nematode)
cel00071	Fatty acid degradation - Caenorhabditis elegans (nematode)
cel00100	Steroid biosynthesis - Caenorhabditis elegans (nematode)
cel00561	Glycerolipid metabolism - Caenorhabditis elegans (nematode)
cel00564	Glycerophospholipid metabolism - Caenorhabditis elegans (nematode)
cel00565	Ether lipid metabolism - Caenorhabditis elegans (nematode)
cel00600	Sphingolipid metabolism - Caenorhabditis elegans (nematode)
cel00590	Arachidonic acid metabolism - Caenorhabditis elegans (nematode)
cel00592	alpha-Linolenic acid metabolism - Caenorhabditis elegans (nematode)
cel01040	Biosynthesis of unsaturated fatty acids - Caenorhabditis elegans (nematode)
cel00230	Purine metabolism - Caenorhabditis elegans (nematode)
cel00240	Pyrimidine metabolism - Caenorhabditis elegans (nematode)
cel00250	Alanine, aspartate and glutamate metabolism - Caenorhabditis elegans (nematode)
cel00260	Glycine, serine and threonine metabolism - Caenorhabditis elegans (nematode)
cel00270	Cysteine and methionine metabolism - Caenorhabditis elegans (nematode)
cel00280	Valine, leucine and isoleucine degradation - Caenorhabditis elegans (nematode)
