cgl01100	Metabolic pathways - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01110	Biosynthesis of secondary metabolites - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01120	Microbial metabolism in diverse environments - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01200	Carbon metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01210	2-Oxocarboxylic acid metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01212	Fatty acid metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01230	Biosynthesis of amino acids - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01232	Nucleotide metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01250	Biosynthesis of nucleotide sugars - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01240	Biosynthesis of cofactors - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01220	Degradation of aromatic compounds - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01310	Nitrogen cycle - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl01320	Sulfur cycle - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00010	Glycolysis / Gluconeogenesis - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00020	Citrate cycle (TCA cycle) - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00030	Pentose phosphate pathway - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00040	Pentose and glucuronate interconversions - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00051	Fructose and mannose metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00052	Galactose metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00053	Ascorbate and aldarate metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00500	Starch and sucrose metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00620	Pyruvate metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00630	Glyoxylate and dicarboxylate metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00640	Propanoate metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00650	Butanoate metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00660	C5-Branched dibasic acid metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00562	Inositol phosphate metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00190	Oxidative phosphorylation - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00710	Carbon fixation by Calvin cycle - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00720	Other carbon fixation pathways - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00680	Methane metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00910	Nitrogen metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00920	Sulfur metabolism - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
cgl00061	Fatty acid biosynthesis - Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)
