ecj01100	Metabolic pathways - Escherichia coli K-12 W3110
ecj01110	Biosynthesis of secondary metabolites - Escherichia coli K-12 W3110
ecj01120	Microbial metabolism in diverse environments - Escherichia coli K-12 W3110
ecj01200	Carbon metabolism - Escherichia coli K-12 W3110
ecj01210	2-Oxocarboxylic acid metabolism - Escherichia coli K-12 W3110
ecj01212	Fatty acid metabolism - Escherichia coli K-12 W3110
ecj01230	Biosynthesis of amino acids - Escherichia coli K-12 W3110
ecj01232	Nucleotide metabolism - Escherichia coli K-12 W3110
ecj01250	Biosynthesis of nucleotide sugars - Escherichia coli K-12 W3110
ecj01240	Biosynthesis of cofactors - Escherichia coli K-12 W3110
ecj01220	Degradation of aromatic compounds - Escherichia coli K-12 W3110
ecj01310	Nitrogen cycle - Escherichia coli K-12 W3110
ecj01320	Sulfur cycle - Escherichia coli K-12 W3110
ecj00010	Glycolysis / Gluconeogenesis - Escherichia coli K-12 W3110
ecj00020	Citrate cycle (TCA cycle) - Escherichia coli K-12 W3110
ecj00030	Pentose phosphate pathway - Escherichia coli K-12 W3110
ecj00040	Pentose and glucuronate interconversions - Escherichia coli K-12 W3110
ecj00051	Fructose and mannose metabolism - Escherichia coli K-12 W3110
ecj00052	Galactose metabolism - Escherichia coli K-12 W3110
ecj00053	Ascorbate and aldarate metabolism - Escherichia coli K-12 W3110
ecj00500	Starch and sucrose metabolism - Escherichia coli K-12 W3110
ecj00620	Pyruvate metabolism - Escherichia coli K-12 W3110
ecj00630	Glyoxylate and dicarboxylate metabolism - Escherichia coli K-12 W3110
ecj00640	Propanoate metabolism - Escherichia coli K-12 W3110
ecj00650	Butanoate metabolism - Escherichia coli K-12 W3110
ecj00660	C5-Branched dibasic acid metabolism - Escherichia coli K-12 W3110
ecj00562	Inositol phosphate metabolism - Escherichia coli K-12 W3110
ecj00566	Sulfoquinovose metabolism - Escherichia coli K-12 W3110
ecj00190	Oxidative phosphorylation - Escherichia coli K-12 W3110
ecj00710	Carbon fixation by Calvin cycle - Escherichia coli K-12 W3110
ecj00720	Other carbon fixation pathways - Escherichia coli K-12 W3110
ecj00680	Methane metabolism - Escherichia coli K-12 W3110
ecj00910	Nitrogen metabolism - Escherichia coli K-12 W3110
ecj00920	Sulfur metabolism - Escherichia coli K-12 W3110
ecj00061	Fatty acid biosynthesis - Escherichia coli K-12 W3110
ecj00071	Fatty acid degradation - Escherichia coli K-12 W3110
ecj00074	Mycolic acid biosynthesis - Escherichia coli K-12 W3110
ecj00121	Secondary bile acid biosynthesis - Escherichia coli K-12 W3110
ecj00561	Glycerolipid metabolism - Escherichia coli K-12 W3110
ecj00564	Glycerophospholipid metabolism - Escherichia coli K-12 W3110
ecj00565	Ether lipid metabolism - Escherichia coli K-12 W3110
ecj00600	Sphingolipid metabolism - Escherichia coli K-12 W3110
ecj00592	alpha-Linolenic acid metabolism - Escherichia coli K-12 W3110
