hpy01100	Metabolic pathways - Helicobacter pylori 26695
hpy01110	Biosynthesis of secondary metabolites - Helicobacter pylori 26695
hpy01120	Microbial metabolism in diverse environments - Helicobacter pylori 26695
hpy01200	Carbon metabolism - Helicobacter pylori 26695
hpy01210	2-Oxocarboxylic acid metabolism - Helicobacter pylori 26695
hpy01212	Fatty acid metabolism - Helicobacter pylori 26695
hpy01230	Biosynthesis of amino acids - Helicobacter pylori 26695
hpy01232	Nucleotide metabolism - Helicobacter pylori 26695
hpy01250	Biosynthesis of nucleotide sugars - Helicobacter pylori 26695
hpy01240	Biosynthesis of cofactors - Helicobacter pylori 26695
hpy01220	Degradation of aromatic compounds - Helicobacter pylori 26695
hpy00010	Glycolysis / Gluconeogenesis - Helicobacter pylori 26695
hpy00020	Citrate cycle (TCA cycle) - Helicobacter pylori 26695
hpy00030	Pentose phosphate pathway - Helicobacter pylori 26695
hpy00040	Pentose and glucuronate interconversions - Helicobacter pylori 26695
hpy00051	Fructose and mannose metabolism - Helicobacter pylori 26695
hpy00052	Galactose metabolism - Helicobacter pylori 26695
hpy00500	Starch and sucrose metabolism - Helicobacter pylori 26695
hpy00620	Pyruvate metabolism - Helicobacter pylori 26695
hpy00630	Glyoxylate and dicarboxylate metabolism - Helicobacter pylori 26695
hpy00640	Propanoate metabolism - Helicobacter pylori 26695
hpy00650	Butanoate metabolism - Helicobacter pylori 26695
hpy00190	Oxidative phosphorylation - Helicobacter pylori 26695
hpy00710	Carbon fixation by Calvin cycle - Helicobacter pylori 26695
hpy00720	Other carbon fixation pathways - Helicobacter pylori 26695
hpy00680	Methane metabolism - Helicobacter pylori 26695
hpy00910	Nitrogen metabolism - Helicobacter pylori 26695
hpy00920	Sulfur metabolism - Helicobacter pylori 26695
hpy00061	Fatty acid biosynthesis - Helicobacter pylori 26695
hpy00071	Fatty acid degradation - Helicobacter pylori 26695
hpy00074	Mycolic acid biosynthesis - Helicobacter pylori 26695
hpy00121	Secondary bile acid biosynthesis - Helicobacter pylori 26695
hpy00561	Glycerolipid metabolism - Helicobacter pylori 26695
