lmo01100	Metabolic pathways - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo01110	Biosynthesis of secondary metabolites - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo01120	Microbial metabolism in diverse environments - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo01200	Carbon metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo01210	2-Oxocarboxylic acid metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo01212	Fatty acid metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo01230	Biosynthesis of amino acids - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo01232	Nucleotide metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo01250	Biosynthesis of nucleotide sugars - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo01240	Biosynthesis of cofactors - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo01220	Degradation of aromatic compounds - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00010	Glycolysis / Gluconeogenesis - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00020	Citrate cycle (TCA cycle) - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00030	Pentose phosphate pathway - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00040	Pentose and glucuronate interconversions - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00051	Fructose and mannose metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00052	Galactose metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00500	Starch and sucrose metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00620	Pyruvate metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00630	Glyoxylate and dicarboxylate metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00640	Propanoate metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00650	Butanoate metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00660	C5-Branched dibasic acid metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00562	Inositol phosphate metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00190	Oxidative phosphorylation - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00710	Carbon fixation by Calvin cycle - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00720	Other carbon fixation pathways - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00680	Methane metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00910	Nitrogen metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00920	Sulfur metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00061	Fatty acid biosynthesis - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00071	Fatty acid degradation - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00074	Mycolic acid biosynthesis - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00121	Secondary bile acid biosynthesis - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00561	Glycerolipid metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00564	Glycerophospholipid metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
lmo00230	Purine metabolism - Listeria monocytogenes EGD-e (serotype 1/2a)
