mac01100	Metabolic pathways - Methanosarcina acetivorans
mac01110	Biosynthesis of secondary metabolites - Methanosarcina acetivorans
mac01120	Microbial metabolism in diverse environments - Methanosarcina acetivorans
mac01200	Carbon metabolism - Methanosarcina acetivorans
mac01210	2-Oxocarboxylic acid metabolism - Methanosarcina acetivorans
mac01212	Fatty acid metabolism - Methanosarcina acetivorans
mac01230	Biosynthesis of amino acids - Methanosarcina acetivorans
mac01232	Nucleotide metabolism - Methanosarcina acetivorans
mac01250	Biosynthesis of nucleotide sugars - Methanosarcina acetivorans
mac01240	Biosynthesis of cofactors - Methanosarcina acetivorans
mac01220	Degradation of aromatic compounds - Methanosarcina acetivorans
mac01320	Sulfur cycle - Methanosarcina acetivorans
mac00010	Glycolysis / Gluconeogenesis - Methanosarcina acetivorans
mac00020	Citrate cycle (TCA cycle) - Methanosarcina acetivorans
mac00030	Pentose phosphate pathway - Methanosarcina acetivorans
mac00040	Pentose and glucuronate interconversions - Methanosarcina acetivorans
mac00051	Fructose and mannose metabolism - Methanosarcina acetivorans
mac00052	Galactose metabolism - Methanosarcina acetivorans
mac00500	Starch and sucrose metabolism - Methanosarcina acetivorans
mac00620	Pyruvate metabolism - Methanosarcina acetivorans
mac00630	Glyoxylate and dicarboxylate metabolism - Methanosarcina acetivorans
mac00640	Propanoate metabolism - Methanosarcina acetivorans
mac00650	Butanoate metabolism - Methanosarcina acetivorans
mac00660	C5-Branched dibasic acid metabolism - Methanosarcina acetivorans
mac00562	Inositol phosphate metabolism - Methanosarcina acetivorans
mac00190	Oxidative phosphorylation - Methanosarcina acetivorans
mac00710	Carbon fixation by Calvin cycle - Methanosarcina acetivorans
mac00720	Other carbon fixation pathways - Methanosarcina acetivorans
mac00680	Methane metabolism - Methanosarcina acetivorans
mac00910	Nitrogen metabolism - Methanosarcina acetivorans
mac00920	Sulfur metabolism - Methanosarcina acetivorans
mac00061	Fatty acid biosynthesis - Methanosarcina acetivorans
mac00071	Fatty acid degradation - Methanosarcina acetivorans
mac00564	Glycerophospholipid metabolism - Methanosarcina acetivorans
mac00230	Purine metabolism - Methanosarcina acetivorans
mac00240	Pyrimidine metabolism - Methanosarcina acetivorans
mac00250	Alanine, aspartate and glutamate metabolism - Methanosarcina acetivorans
mac00260	Glycine, serine and threonine metabolism - Methanosarcina acetivorans
mac00270	Cysteine and methionine metabolism - Methanosarcina acetivorans
mac00280	Valine, leucine and isoleucine degradation - Methanosarcina acetivorans
mac00290	Valine, leucine and isoleucine biosynthesis - Methanosarcina acetivorans
mac00300	Lysine biosynthesis - Methanosarcina acetivorans
mac00310	Lysine degradation - Methanosarcina acetivorans
mac00220	Arginine biosynthesis - Methanosarcina acetivorans
mac00330	Arginine and proline metabolism - Methanosarcina acetivorans
mac00340	Histidine metabolism - Methanosarcina acetivorans
mac00350	Tyrosine metabolism - Methanosarcina acetivorans
mac00360	Phenylalanine metabolism - Methanosarcina acetivorans
mac00380	Tryptophan metabolism - Methanosarcina acetivorans
mac00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Methanosarcina acetivorans
mac00410	beta-Alanine metabolism - Methanosarcina acetivorans
mac00430	Taurine and hypotaurine metabolism - Methanosarcina acetivorans
mac00450	Selenocompound metabolism - Methanosarcina acetivorans
mac00470	D-Amino acid metabolism - Methanosarcina acetivorans
mac00480	Glutathione metabolism - Methanosarcina acetivorans
mac00520	Amino sugar and nucleotide sugar metabolism - Methanosarcina acetivorans
mac00541	Biosynthesis of various nucleotide sugars - Methanosarcina acetivorans
