mge01100	Metabolic pathways - Mycoplasmoides genitalium G37
mge01110	Biosynthesis of secondary metabolites - Mycoplasmoides genitalium G37
mge01120	Microbial metabolism in diverse environments - Mycoplasmoides genitalium G37
mge01200	Carbon metabolism - Mycoplasmoides genitalium G37
mge01210	2-Oxocarboxylic acid metabolism - Mycoplasmoides genitalium G37
mge01230	Biosynthesis of amino acids - Mycoplasmoides genitalium G37
mge01232	Nucleotide metabolism - Mycoplasmoides genitalium G37
mge01250	Biosynthesis of nucleotide sugars - Mycoplasmoides genitalium G37
mge01240	Biosynthesis of cofactors - Mycoplasmoides genitalium G37
mge00010	Glycolysis / Gluconeogenesis - Mycoplasmoides genitalium G37
mge00020	Citrate cycle (TCA cycle) - Mycoplasmoides genitalium G37
mge00030	Pentose phosphate pathway - Mycoplasmoides genitalium G37
mge00040	Pentose and glucuronate interconversions - Mycoplasmoides genitalium G37
mge00051	Fructose and mannose metabolism - Mycoplasmoides genitalium G37
mge00052	Galactose metabolism - Mycoplasmoides genitalium G37
mge00500	Starch and sucrose metabolism - Mycoplasmoides genitalium G37
mge00620	Pyruvate metabolism - Mycoplasmoides genitalium G37
mge00630	Glyoxylate and dicarboxylate metabolism - Mycoplasmoides genitalium G37
mge00640	Propanoate metabolism - Mycoplasmoides genitalium G37
mge00190	Oxidative phosphorylation - Mycoplasmoides genitalium G37
mge00710	Carbon fixation by Calvin cycle - Mycoplasmoides genitalium G37
mge00720	Other carbon fixation pathways - Mycoplasmoides genitalium G37
mge00680	Methane metabolism - Mycoplasmoides genitalium G37
mge00561	Glycerolipid metabolism - Mycoplasmoides genitalium G37
mge00564	Glycerophospholipid metabolism - Mycoplasmoides genitalium G37
mge00230	Purine metabolism - Mycoplasmoides genitalium G37
mge00240	Pyrimidine metabolism - Mycoplasmoides genitalium G37
mge00260	Glycine, serine and threonine metabolism - Mycoplasmoides genitalium G37
mge00270	Cysteine and methionine metabolism - Mycoplasmoides genitalium G37
mge00280	Valine, leucine and isoleucine degradation - Mycoplasmoides genitalium G37
mge00430	Taurine and hypotaurine metabolism - Mycoplasmoides genitalium G37
mge00450	Selenocompound metabolism - Mycoplasmoides genitalium G37
mge00480	Glutathione metabolism - Mycoplasmoides genitalium G37
mge00520	Amino sugar and nucleotide sugar metabolism - Mycoplasmoides genitalium G37
mge00730	Thiamine metabolism - Mycoplasmoides genitalium G37
mge00740	Riboflavin metabolism - Mycoplasmoides genitalium G37
mge00760	Nicotinate and nicotinamide metabolism - Mycoplasmoides genitalium G37
mge00770	Pantothenate and CoA biosynthesis - Mycoplasmoides genitalium G37
mge00785	Lipoic acid metabolism - Mycoplasmoides genitalium G37
mge00790	Folate biosynthesis - Mycoplasmoides genitalium G37
mge00670	One carbon pool by folate - Mycoplasmoides genitalium G37
mge03020	RNA polymerase - Mycoplasmoides genitalium G37
mge03010	Ribosome - Mycoplasmoides genitalium G37
mge00970	Aminoacyl-tRNA biosynthesis - Mycoplasmoides genitalium G37
mge03060	Protein export - Mycoplasmoides genitalium G37
mge04122	Sulfur relay system - Mycoplasmoides genitalium G37
mge03018	RNA degradation - Mycoplasmoides genitalium G37
mge03030	DNA replication - Mycoplasmoides genitalium G37
mge03410	Base excision repair - Mycoplasmoides genitalium G37
mge03420	Nucleotide excision repair - Mycoplasmoides genitalium G37
mge03430	Mismatch repair - Mycoplasmoides genitalium G37
mge03440	Homologous recombination - Mycoplasmoides genitalium G37
mge02010	ABC transporters - Mycoplasmoides genitalium G37
mge02060	Phosphotransferase system (PTS) - Mycoplasmoides genitalium G37
mge03070	Bacterial secretion system - Mycoplasmoides genitalium G37
mge02020	Two-component system - Mycoplasmoides genitalium G37
mge02024	Quorum sensing - Mycoplasmoides genitalium G37
mge04981	Folate transport and metabolism - Mycoplasmoides genitalium G37
