mle01100	Metabolic pathways - Mycobacterium leprae TN
mle01110	Biosynthesis of secondary metabolites - Mycobacterium leprae TN
mle01120	Microbial metabolism in diverse environments - Mycobacterium leprae TN
mle01200	Carbon metabolism - Mycobacterium leprae TN
mle01210	2-Oxocarboxylic acid metabolism - Mycobacterium leprae TN
mle01212	Fatty acid metabolism - Mycobacterium leprae TN
mle01230	Biosynthesis of amino acids - Mycobacterium leprae TN
mle01232	Nucleotide metabolism - Mycobacterium leprae TN
mle01250	Biosynthesis of nucleotide sugars - Mycobacterium leprae TN
mle01240	Biosynthesis of cofactors - Mycobacterium leprae TN
mle01220	Degradation of aromatic compounds - Mycobacterium leprae TN
mle00010	Glycolysis / Gluconeogenesis - Mycobacterium leprae TN
mle00020	Citrate cycle (TCA cycle) - Mycobacterium leprae TN
mle00030	Pentose phosphate pathway - Mycobacterium leprae TN
mle00040	Pentose and glucuronate interconversions - Mycobacterium leprae TN
mle00051	Fructose and mannose metabolism - Mycobacterium leprae TN
mle00052	Galactose metabolism - Mycobacterium leprae TN
mle00500	Starch and sucrose metabolism - Mycobacterium leprae TN
mle00620	Pyruvate metabolism - Mycobacterium leprae TN
mle00630	Glyoxylate and dicarboxylate metabolism - Mycobacterium leprae TN
mle00640	Propanoate metabolism - Mycobacterium leprae TN
mle00650	Butanoate metabolism - Mycobacterium leprae TN
mle00660	C5-Branched dibasic acid metabolism - Mycobacterium leprae TN
mle00562	Inositol phosphate metabolism - Mycobacterium leprae TN
mle00190	Oxidative phosphorylation - Mycobacterium leprae TN
mle00710	Carbon fixation by Calvin cycle - Mycobacterium leprae TN
mle00720	Other carbon fixation pathways - Mycobacterium leprae TN
mle00680	Methane metabolism - Mycobacterium leprae TN
mle00910	Nitrogen metabolism - Mycobacterium leprae TN
mle00920	Sulfur metabolism - Mycobacterium leprae TN
mle00061	Fatty acid biosynthesis - Mycobacterium leprae TN
mle00071	Fatty acid degradation - Mycobacterium leprae TN
mle00074	Mycolic acid biosynthesis - Mycobacterium leprae TN
mle00561	Glycerolipid metabolism - Mycobacterium leprae TN
