mmp01100	Metabolic pathways - Methanococcus maripaludis S2
mmp01110	Biosynthesis of secondary metabolites - Methanococcus maripaludis S2
mmp01120	Microbial metabolism in diverse environments - Methanococcus maripaludis S2
mmp01200	Carbon metabolism - Methanococcus maripaludis S2
mmp01210	2-Oxocarboxylic acid metabolism - Methanococcus maripaludis S2
mmp01230	Biosynthesis of amino acids - Methanococcus maripaludis S2
mmp01232	Nucleotide metabolism - Methanococcus maripaludis S2
mmp01250	Biosynthesis of nucleotide sugars - Methanococcus maripaludis S2
mmp01240	Biosynthesis of cofactors - Methanococcus maripaludis S2
mmp01220	Degradation of aromatic compounds - Methanococcus maripaludis S2
mmp00010	Glycolysis / Gluconeogenesis - Methanococcus maripaludis S2
mmp00020	Citrate cycle (TCA cycle) - Methanococcus maripaludis S2
mmp00030	Pentose phosphate pathway - Methanococcus maripaludis S2
mmp00040	Pentose and glucuronate interconversions - Methanococcus maripaludis S2
mmp00051	Fructose and mannose metabolism - Methanococcus maripaludis S2
mmp00052	Galactose metabolism - Methanococcus maripaludis S2
mmp00500	Starch and sucrose metabolism - Methanococcus maripaludis S2
mmp00620	Pyruvate metabolism - Methanococcus maripaludis S2
mmp00630	Glyoxylate and dicarboxylate metabolism - Methanococcus maripaludis S2
mmp00640	Propanoate metabolism - Methanococcus maripaludis S2
mmp00650	Butanoate metabolism - Methanococcus maripaludis S2
mmp00660	C5-Branched dibasic acid metabolism - Methanococcus maripaludis S2
mmp00190	Oxidative phosphorylation - Methanococcus maripaludis S2
mmp00710	Carbon fixation by Calvin cycle - Methanococcus maripaludis S2
mmp00720	Other carbon fixation pathways - Methanococcus maripaludis S2
mmp00680	Methane metabolism - Methanococcus maripaludis S2
mmp00910	Nitrogen metabolism - Methanococcus maripaludis S2
mmp00920	Sulfur metabolism - Methanococcus maripaludis S2
mmp00071	Fatty acid degradation - Methanococcus maripaludis S2
mmp00564	Glycerophospholipid metabolism - Methanococcus maripaludis S2
mmp00230	Purine metabolism - Methanococcus maripaludis S2
mmp00240	Pyrimidine metabolism - Methanococcus maripaludis S2
mmp00250	Alanine, aspartate and glutamate metabolism - Methanococcus maripaludis S2
mmp00260	Glycine, serine and threonine metabolism - Methanococcus maripaludis S2
mmp00270	Cysteine and methionine metabolism - Methanococcus maripaludis S2
mmp00280	Valine, leucine and isoleucine degradation - Methanococcus maripaludis S2
mmp00290	Valine, leucine and isoleucine biosynthesis - Methanococcus maripaludis S2
mmp00300	Lysine biosynthesis - Methanococcus maripaludis S2
mmp00310	Lysine degradation - Methanococcus maripaludis S2
mmp00220	Arginine biosynthesis - Methanococcus maripaludis S2
mmp00330	Arginine and proline metabolism - Methanococcus maripaludis S2
mmp00340	Histidine metabolism - Methanococcus maripaludis S2
mmp00350	Tyrosine metabolism - Methanococcus maripaludis S2
mmp00360	Phenylalanine metabolism - Methanococcus maripaludis S2
mmp00380	Tryptophan metabolism - Methanococcus maripaludis S2
mmp00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Methanococcus maripaludis S2
mmp00410	beta-Alanine metabolism - Methanococcus maripaludis S2
mmp00450	Selenocompound metabolism - Methanococcus maripaludis S2
mmp00470	D-Amino acid metabolism - Methanococcus maripaludis S2
mmp00480	Glutathione metabolism - Methanococcus maripaludis S2
mmp00520	Amino sugar and nucleotide sugar metabolism - Methanococcus maripaludis S2
mmp00541	Biosynthesis of various nucleotide sugars - Methanococcus maripaludis S2
mmp00552	Teichoic acid biosynthesis - Methanococcus maripaludis S2
mmp00730	Thiamine metabolism - Methanococcus maripaludis S2
mmp00740	Riboflavin metabolism - Methanococcus maripaludis S2
mmp00750	Vitamin B6 metabolism - Methanococcus maripaludis S2
mmp00760	Nicotinate and nicotinamide metabolism - Methanococcus maripaludis S2
mmp00770	Pantothenate and CoA biosynthesis - Methanococcus maripaludis S2
mmp00780	Biotin metabolism - Methanococcus maripaludis S2
mmp00785	Lipoic acid metabolism - Methanococcus maripaludis S2
mmp00790	Folate biosynthesis - Methanococcus maripaludis S2
mmp00670	One carbon pool by folate - Methanococcus maripaludis S2
mmp00860	Porphyrin metabolism - Methanococcus maripaludis S2
mmp00900	Terpenoid backbone biosynthesis - Methanococcus maripaludis S2
mmp00261	Monobactam biosynthesis - Methanococcus maripaludis S2
mmp00401	Novobiocin biosynthesis - Methanococcus maripaludis S2
mmp00999	Biosynthesis of various plant secondary metabolites - Methanococcus maripaludis S2
mmp00362	Benzoate degradation - Methanococcus maripaludis S2
mmp00625	Chloroalkane and chloroalkene degradation - Methanococcus maripaludis S2
mmp00633	Nitrotoluene degradation - Methanococcus maripaludis S2
mmp00626	Naphthalene degradation - Methanococcus maripaludis S2
mmp03020	RNA polymerase - Methanococcus maripaludis S2
mmp03022	Basal transcription factors - Methanococcus maripaludis S2
mmp03010	Ribosome - Methanococcus maripaludis S2
mmp00970	Aminoacyl-tRNA biosynthesis - Methanococcus maripaludis S2
mmp03013	Nucleocytoplasmic transport - Methanococcus maripaludis S2
mmp03015	mRNA surveillance pathway - Methanococcus maripaludis S2
mmp03008	Ribosome biogenesis in eukaryotes - Methanococcus maripaludis S2
mmp03060	Protein export - Methanococcus maripaludis S2
mmp04141	Protein processing in endoplasmic reticulum - Methanococcus maripaludis S2
mmp04122	Sulfur relay system - Methanococcus maripaludis S2
mmp03050	Proteasome - Methanococcus maripaludis S2
mmp03018	RNA degradation - Methanococcus maripaludis S2
mmp03030	DNA replication - Methanococcus maripaludis S2
mmp03410	Base excision repair - Methanococcus maripaludis S2
mmp03420	Nucleotide excision repair - Methanococcus maripaludis S2
