mpn01100	Metabolic pathways - Mycoplasmoides pneumoniae M129
mpn01110	Biosynthesis of secondary metabolites - Mycoplasmoides pneumoniae M129
mpn01120	Microbial metabolism in diverse environments - Mycoplasmoides pneumoniae M129
mpn01200	Carbon metabolism - Mycoplasmoides pneumoniae M129
mpn01210	2-Oxocarboxylic acid metabolism - Mycoplasmoides pneumoniae M129
mpn01230	Biosynthesis of amino acids - Mycoplasmoides pneumoniae M129
mpn01232	Nucleotide metabolism - Mycoplasmoides pneumoniae M129
mpn01250	Biosynthesis of nucleotide sugars - Mycoplasmoides pneumoniae M129
mpn01240	Biosynthesis of cofactors - Mycoplasmoides pneumoniae M129
mpn00010	Glycolysis / Gluconeogenesis - Mycoplasmoides pneumoniae M129
mpn00020	Citrate cycle (TCA cycle) - Mycoplasmoides pneumoniae M129
mpn00030	Pentose phosphate pathway - Mycoplasmoides pneumoniae M129
mpn00040	Pentose and glucuronate interconversions - Mycoplasmoides pneumoniae M129
mpn00051	Fructose and mannose metabolism - Mycoplasmoides pneumoniae M129
mpn00052	Galactose metabolism - Mycoplasmoides pneumoniae M129
mpn00053	Ascorbate and aldarate metabolism - Mycoplasmoides pneumoniae M129
mpn00500	Starch and sucrose metabolism - Mycoplasmoides pneumoniae M129
mpn00620	Pyruvate metabolism - Mycoplasmoides pneumoniae M129
mpn00630	Glyoxylate and dicarboxylate metabolism - Mycoplasmoides pneumoniae M129
mpn00640	Propanoate metabolism - Mycoplasmoides pneumoniae M129
mpn00190	Oxidative phosphorylation - Mycoplasmoides pneumoniae M129
mpn00710	Carbon fixation by Calvin cycle - Mycoplasmoides pneumoniae M129
mpn00720	Other carbon fixation pathways - Mycoplasmoides pneumoniae M129
mpn00680	Methane metabolism - Mycoplasmoides pneumoniae M129
mpn00561	Glycerolipid metabolism - Mycoplasmoides pneumoniae M129
mpn00564	Glycerophospholipid metabolism - Mycoplasmoides pneumoniae M129
mpn00230	Purine metabolism - Mycoplasmoides pneumoniae M129
mpn00240	Pyrimidine metabolism - Mycoplasmoides pneumoniae M129
mpn00260	Glycine, serine and threonine metabolism - Mycoplasmoides pneumoniae M129
mpn00270	Cysteine and methionine metabolism - Mycoplasmoides pneumoniae M129
mpn00280	Valine, leucine and isoleucine degradation - Mycoplasmoides pneumoniae M129
mpn00220	Arginine biosynthesis - Mycoplasmoides pneumoniae M129
mpn00430	Taurine and hypotaurine metabolism - Mycoplasmoides pneumoniae M129
mpn00450	Selenocompound metabolism - Mycoplasmoides pneumoniae M129
mpn00480	Glutathione metabolism - Mycoplasmoides pneumoniae M129
mpn00520	Amino sugar and nucleotide sugar metabolism - Mycoplasmoides pneumoniae M129
mpn00730	Thiamine metabolism - Mycoplasmoides pneumoniae M129
mpn00740	Riboflavin metabolism - Mycoplasmoides pneumoniae M129
mpn00760	Nicotinate and nicotinamide metabolism - Mycoplasmoides pneumoniae M129
mpn00770	Pantothenate and CoA biosynthesis - Mycoplasmoides pneumoniae M129
mpn00785	Lipoic acid metabolism - Mycoplasmoides pneumoniae M129
mpn00790	Folate biosynthesis - Mycoplasmoides pneumoniae M129
mpn00670	One carbon pool by folate - Mycoplasmoides pneumoniae M129
mpn03020	RNA polymerase - Mycoplasmoides pneumoniae M129
mpn03010	Ribosome - Mycoplasmoides pneumoniae M129
mpn00970	Aminoacyl-tRNA biosynthesis - Mycoplasmoides pneumoniae M129
mpn03060	Protein export - Mycoplasmoides pneumoniae M129
mpn04122	Sulfur relay system - Mycoplasmoides pneumoniae M129
mpn03018	RNA degradation - Mycoplasmoides pneumoniae M129
mpn03030	DNA replication - Mycoplasmoides pneumoniae M129
mpn03410	Base excision repair - Mycoplasmoides pneumoniae M129
mpn03420	Nucleotide excision repair - Mycoplasmoides pneumoniae M129
mpn03430	Mismatch repair - Mycoplasmoides pneumoniae M129
mpn03440	Homologous recombination - Mycoplasmoides pneumoniae M129
mpn02010	ABC transporters - Mycoplasmoides pneumoniae M129
mpn02060	Phosphotransferase system (PTS) - Mycoplasmoides pneumoniae M129
mpn03070	Bacterial secretion system - Mycoplasmoides pneumoniae M129
mpn02020	Two-component system - Mycoplasmoides pneumoniae M129
mpn02024	Quorum sensing - Mycoplasmoides pneumoniae M129
mpn04981	Folate transport and metabolism - Mycoplasmoides pneumoniae M129
