ncr01100	Metabolic pathways - Neurospora crassa
ncr01110	Biosynthesis of secondary metabolites - Neurospora crassa
ncr01200	Carbon metabolism - Neurospora crassa
ncr01210	2-Oxocarboxylic acid metabolism - Neurospora crassa
ncr01212	Fatty acid metabolism - Neurospora crassa
ncr01230	Biosynthesis of amino acids - Neurospora crassa
ncr01232	Nucleotide metabolism - Neurospora crassa
ncr01250	Biosynthesis of nucleotide sugars - Neurospora crassa
ncr01240	Biosynthesis of cofactors - Neurospora crassa
ncr01310	Nitrogen cycle - Neurospora crassa
ncr01320	Sulfur cycle - Neurospora crassa
ncr00010	Glycolysis / Gluconeogenesis - Neurospora crassa
ncr00020	Citrate cycle (TCA cycle) - Neurospora crassa
ncr00030	Pentose phosphate pathway - Neurospora crassa
ncr00040	Pentose and glucuronate interconversions - Neurospora crassa
ncr00051	Fructose and mannose metabolism - Neurospora crassa
ncr00052	Galactose metabolism - Neurospora crassa
ncr00053	Ascorbate and aldarate metabolism - Neurospora crassa
ncr00500	Starch and sucrose metabolism - Neurospora crassa
ncr00620	Pyruvate metabolism - Neurospora crassa
ncr00630	Glyoxylate and dicarboxylate metabolism - Neurospora crassa
ncr00640	Propanoate metabolism - Neurospora crassa
ncr00650	Butanoate metabolism - Neurospora crassa
ncr00660	C5-Branched dibasic acid metabolism - Neurospora crassa
ncr00562	Inositol phosphate metabolism - Neurospora crassa
ncr00190	Oxidative phosphorylation - Neurospora crassa
ncr00710	Carbon fixation by Calvin cycle - Neurospora crassa
ncr00680	Methane metabolism - Neurospora crassa
ncr00910	Nitrogen metabolism - Neurospora crassa
ncr00920	Sulfur metabolism - Neurospora crassa
ncr00061	Fatty acid biosynthesis - Neurospora crassa
ncr00062	Fatty acid elongation - Neurospora crassa
ncr00071	Fatty acid degradation - Neurospora crassa
ncr00100	Steroid biosynthesis - Neurospora crassa
ncr00561	Glycerolipid metabolism - Neurospora crassa
ncr00564	Glycerophospholipid metabolism - Neurospora crassa
