rsh01100	Metabolic pathways - Cereibacter sphaeroides ATCC 17029
rsh01110	Biosynthesis of secondary metabolites - Cereibacter sphaeroides ATCC 17029
rsh01120	Microbial metabolism in diverse environments - Cereibacter sphaeroides ATCC 17029
rsh01200	Carbon metabolism - Cereibacter sphaeroides ATCC 17029
rsh01210	2-Oxocarboxylic acid metabolism - Cereibacter sphaeroides ATCC 17029
rsh01212	Fatty acid metabolism - Cereibacter sphaeroides ATCC 17029
rsh01230	Biosynthesis of amino acids - Cereibacter sphaeroides ATCC 17029
rsh01232	Nucleotide metabolism - Cereibacter sphaeroides ATCC 17029
rsh01250	Biosynthesis of nucleotide sugars - Cereibacter sphaeroides ATCC 17029
rsh01240	Biosynthesis of cofactors - Cereibacter sphaeroides ATCC 17029
rsh01220	Degradation of aromatic compounds - Cereibacter sphaeroides ATCC 17029
rsh01310	Nitrogen cycle - Cereibacter sphaeroides ATCC 17029
rsh01320	Sulfur cycle - Cereibacter sphaeroides ATCC 17029
rsh00010	Glycolysis / Gluconeogenesis - Cereibacter sphaeroides ATCC 17029
rsh00020	Citrate cycle (TCA cycle) - Cereibacter sphaeroides ATCC 17029
rsh00030	Pentose phosphate pathway - Cereibacter sphaeroides ATCC 17029
rsh00040	Pentose and glucuronate interconversions - Cereibacter sphaeroides ATCC 17029
rsh00051	Fructose and mannose metabolism - Cereibacter sphaeroides ATCC 17029
rsh00052	Galactose metabolism - Cereibacter sphaeroides ATCC 17029
rsh00053	Ascorbate and aldarate metabolism - Cereibacter sphaeroides ATCC 17029
rsh00500	Starch and sucrose metabolism - Cereibacter sphaeroides ATCC 17029
rsh00620	Pyruvate metabolism - Cereibacter sphaeroides ATCC 17029
rsh00630	Glyoxylate and dicarboxylate metabolism - Cereibacter sphaeroides ATCC 17029
rsh00640	Propanoate metabolism - Cereibacter sphaeroides ATCC 17029
rsh00650	Butanoate metabolism - Cereibacter sphaeroides ATCC 17029
rsh00660	C5-Branched dibasic acid metabolism - Cereibacter sphaeroides ATCC 17029
rsh00562	Inositol phosphate metabolism - Cereibacter sphaeroides ATCC 17029
rsh00566	Sulfoquinovose metabolism - Cereibacter sphaeroides ATCC 17029
rsh00190	Oxidative phosphorylation - Cereibacter sphaeroides ATCC 17029
rsh00710	Carbon fixation by Calvin cycle - Cereibacter sphaeroides ATCC 17029
rsh00720	Other carbon fixation pathways - Cereibacter sphaeroides ATCC 17029
rsh00680	Methane metabolism - Cereibacter sphaeroides ATCC 17029
rsh00910	Nitrogen metabolism - Cereibacter sphaeroides ATCC 17029
rsh00920	Sulfur metabolism - Cereibacter sphaeroides ATCC 17029
rsh00061	Fatty acid biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00071	Fatty acid degradation - Cereibacter sphaeroides ATCC 17029
rsh00074	Mycolic acid biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00121	Secondary bile acid biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00561	Glycerolipid metabolism - Cereibacter sphaeroides ATCC 17029
rsh00564	Glycerophospholipid metabolism - Cereibacter sphaeroides ATCC 17029
rsh00230	Purine metabolism - Cereibacter sphaeroides ATCC 17029
rsh00240	Pyrimidine metabolism - Cereibacter sphaeroides ATCC 17029
rsh00250	Alanine, aspartate and glutamate metabolism - Cereibacter sphaeroides ATCC 17029
rsh00260	Glycine, serine and threonine metabolism - Cereibacter sphaeroides ATCC 17029
rsh00270	Cysteine and methionine metabolism - Cereibacter sphaeroides ATCC 17029
rsh00280	Valine, leucine and isoleucine degradation - Cereibacter sphaeroides ATCC 17029
rsh00290	Valine, leucine and isoleucine biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00300	Lysine biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00310	Lysine degradation - Cereibacter sphaeroides ATCC 17029
rsh00220	Arginine biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00330	Arginine and proline metabolism - Cereibacter sphaeroides ATCC 17029
rsh00340	Histidine metabolism - Cereibacter sphaeroides ATCC 17029
rsh00350	Tyrosine metabolism - Cereibacter sphaeroides ATCC 17029
rsh00360	Phenylalanine metabolism - Cereibacter sphaeroides ATCC 17029
rsh00380	Tryptophan metabolism - Cereibacter sphaeroides ATCC 17029
rsh00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00410	beta-Alanine metabolism - Cereibacter sphaeroides ATCC 17029
rsh00430	Taurine and hypotaurine metabolism - Cereibacter sphaeroides ATCC 17029
rsh00450	Selenocompound metabolism - Cereibacter sphaeroides ATCC 17029
rsh00460	Cyanoamino acid metabolism - Cereibacter sphaeroides ATCC 17029
rsh00470	D-Amino acid metabolism - Cereibacter sphaeroides ATCC 17029
rsh00480	Glutathione metabolism - Cereibacter sphaeroides ATCC 17029
rsh00520	Amino sugar and nucleotide sugar metabolism - Cereibacter sphaeroides ATCC 17029
rsh00541	Biosynthesis of various nucleotide sugars - Cereibacter sphaeroides ATCC 17029
rsh00540	Lipopolysaccharide biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00550	Peptidoglycan biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00552	Teichoic acid biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00543	Exopolysaccharide biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00730	Thiamine metabolism - Cereibacter sphaeroides ATCC 17029
rsh00740	Riboflavin metabolism - Cereibacter sphaeroides ATCC 17029
rsh00750	Vitamin B6 metabolism - Cereibacter sphaeroides ATCC 17029
rsh00760	Nicotinate and nicotinamide metabolism - Cereibacter sphaeroides ATCC 17029
rsh00770	Pantothenate and CoA biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00780	Biotin metabolism - Cereibacter sphaeroides ATCC 17029
rsh00785	Lipoic acid metabolism - Cereibacter sphaeroides ATCC 17029
rsh00790	Folate biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00670	One carbon pool by folate - Cereibacter sphaeroides ATCC 17029
rsh00860	Porphyrin metabolism - Cereibacter sphaeroides ATCC 17029
rsh00130	Ubiquinone and other terpenoid-quinone biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00900	Terpenoid backbone biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00906	Carotenoid biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00907	Pinene, camphor and geraniol degradation - Cereibacter sphaeroides ATCC 17029
rsh00523	Polyketide sugar unit biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00946	Degradation of flavonoids - Cereibacter sphaeroides ATCC 17029
rsh00332	Carbapenem biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00261	Monobactam biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00521	Streptomycin biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00525	Acarbose and validamycin biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00401	Novobiocin biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh00999	Biosynthesis of various plant secondary metabolites - Cereibacter sphaeroides ATCC 17029
rsh00362	Benzoate degradation - Cereibacter sphaeroides ATCC 17029
rsh00627	Aminobenzoate degradation - Cereibacter sphaeroides ATCC 17029
rsh00625	Chloroalkane and chloroalkene degradation - Cereibacter sphaeroides ATCC 17029
rsh00622	Xylene degradation - Cereibacter sphaeroides ATCC 17029
rsh00633	Nitrotoluene degradation - Cereibacter sphaeroides ATCC 17029
rsh00643	Styrene degradation - Cereibacter sphaeroides ATCC 17029
rsh00930	Caprolactam degradation - Cereibacter sphaeroides ATCC 17029
rsh00626	Naphthalene degradation - Cereibacter sphaeroides ATCC 17029
rsh03020	RNA polymerase - Cereibacter sphaeroides ATCC 17029
rsh03010	Ribosome - Cereibacter sphaeroides ATCC 17029
rsh00970	Aminoacyl-tRNA biosynthesis - Cereibacter sphaeroides ATCC 17029
rsh03060	Protein export - Cereibacter sphaeroides ATCC 17029
rsh04122	Sulfur relay system - Cereibacter sphaeroides ATCC 17029
rsh03018	RNA degradation - Cereibacter sphaeroides ATCC 17029
rsh03030	DNA replication - Cereibacter sphaeroides ATCC 17029
rsh03410	Base excision repair - Cereibacter sphaeroides ATCC 17029
rsh03420	Nucleotide excision repair - Cereibacter sphaeroides ATCC 17029
rsh03430	Mismatch repair - Cereibacter sphaeroides ATCC 17029
rsh03440	Homologous recombination - Cereibacter sphaeroides ATCC 17029
rsh03450	Non-homologous end-joining - Cereibacter sphaeroides ATCC 17029
rsh02010	ABC transporters - Cereibacter sphaeroides ATCC 17029
rsh02060	Phosphotransferase system (PTS) - Cereibacter sphaeroides ATCC 17029
rsh03070	Bacterial secretion system - Cereibacter sphaeroides ATCC 17029
rsh02020	Two-component system - Cereibacter sphaeroides ATCC 17029
rsh04144	Endocytosis - Cereibacter sphaeroides ATCC 17029
rsh04146	Peroxisome - Cereibacter sphaeroides ATCC 17029
rsh04148	Efferocytosis - Cereibacter sphaeroides ATCC 17029
rsh02024	Quorum sensing - Cereibacter sphaeroides ATCC 17029
rsh02030	Bacterial chemotaxis - Cereibacter sphaeroides ATCC 17029
rsh02040	Flagellar assembly - Cereibacter sphaeroides ATCC 17029
rsh04981	Folate transport and metabolism - Cereibacter sphaeroides ATCC 17029
rsh04980	Cobalamin transport and metabolism - Cereibacter sphaeroides ATCC 17029
rsh04382	Cornified envelope formation - Cereibacter sphaeroides ATCC 17029
rsh01501	beta-Lactam resistance - Cereibacter sphaeroides ATCC 17029
rsh01502	Vancomycin resistance - Cereibacter sphaeroides ATCC 17029
rsh01503	Cationic antimicrobial peptide (CAMP) resistance - Cereibacter sphaeroides ATCC 17029
