sau01100	Metabolic pathways - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01110	Biosynthesis of secondary metabolites - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01120	Microbial metabolism in diverse environments - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01200	Carbon metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01210	2-Oxocarboxylic acid metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01212	Fatty acid metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01230	Biosynthesis of amino acids - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01232	Nucleotide metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01250	Biosynthesis of nucleotide sugars - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01240	Biosynthesis of cofactors - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01220	Degradation of aromatic compounds - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01310	Nitrogen cycle - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau01320	Sulfur cycle - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00010	Glycolysis / Gluconeogenesis - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00020	Citrate cycle (TCA cycle) - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00030	Pentose phosphate pathway - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00040	Pentose and glucuronate interconversions - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00051	Fructose and mannose metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00052	Galactose metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00053	Ascorbate and aldarate metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00500	Starch and sucrose metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00620	Pyruvate metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00630	Glyoxylate and dicarboxylate metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00640	Propanoate metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00650	Butanoate metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00660	C5-Branched dibasic acid metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00562	Inositol phosphate metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00190	Oxidative phosphorylation - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00710	Carbon fixation by Calvin cycle - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00720	Other carbon fixation pathways - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00680	Methane metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00910	Nitrogen metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00920	Sulfur metabolism - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00061	Fatty acid biosynthesis - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sau00071	Fatty acid degradation - Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
