sce01100	Metabolic pathways - Saccharomyces cerevisiae (budding yeast)
sce01110	Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)
sce01200	Carbon metabolism - Saccharomyces cerevisiae (budding yeast)
sce01210	2-Oxocarboxylic acid metabolism - Saccharomyces cerevisiae (budding yeast)
sce01212	Fatty acid metabolism - Saccharomyces cerevisiae (budding yeast)
sce01230	Biosynthesis of amino acids - Saccharomyces cerevisiae (budding yeast)
sce01232	Nucleotide metabolism - Saccharomyces cerevisiae (budding yeast)
sce01250	Biosynthesis of nucleotide sugars - Saccharomyces cerevisiae (budding yeast)
sce01240	Biosynthesis of cofactors - Saccharomyces cerevisiae (budding yeast)
sce01320	Sulfur cycle - Saccharomyces cerevisiae (budding yeast)
sce00010	Glycolysis / Gluconeogenesis - Saccharomyces cerevisiae (budding yeast)
sce00020	Citrate cycle (TCA cycle) - Saccharomyces cerevisiae (budding yeast)
sce00030	Pentose phosphate pathway - Saccharomyces cerevisiae (budding yeast)
sce00040	Pentose and glucuronate interconversions - Saccharomyces cerevisiae (budding yeast)
sce00051	Fructose and mannose metabolism - Saccharomyces cerevisiae (budding yeast)
sce00052	Galactose metabolism - Saccharomyces cerevisiae (budding yeast)
sce00053	Ascorbate and aldarate metabolism - Saccharomyces cerevisiae (budding yeast)
sce00500	Starch and sucrose metabolism - Saccharomyces cerevisiae (budding yeast)
sce00620	Pyruvate metabolism - Saccharomyces cerevisiae (budding yeast)
sce00630	Glyoxylate and dicarboxylate metabolism - Saccharomyces cerevisiae (budding yeast)
sce00640	Propanoate metabolism - Saccharomyces cerevisiae (budding yeast)
sce00650	Butanoate metabolism - Saccharomyces cerevisiae (budding yeast)
sce00660	C5-Branched dibasic acid metabolism - Saccharomyces cerevisiae (budding yeast)
sce00562	Inositol phosphate metabolism - Saccharomyces cerevisiae (budding yeast)
sce00190	Oxidative phosphorylation - Saccharomyces cerevisiae (budding yeast)
sce00710	Carbon fixation by Calvin cycle - Saccharomyces cerevisiae (budding yeast)
sce00680	Methane metabolism - Saccharomyces cerevisiae (budding yeast)
sce00910	Nitrogen metabolism - Saccharomyces cerevisiae (budding yeast)
sce00920	Sulfur metabolism - Saccharomyces cerevisiae (budding yeast)
sce00061	Fatty acid biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00062	Fatty acid elongation - Saccharomyces cerevisiae (budding yeast)
sce00071	Fatty acid degradation - Saccharomyces cerevisiae (budding yeast)
sce00100	Steroid biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00561	Glycerolipid metabolism - Saccharomyces cerevisiae (budding yeast)
sce00564	Glycerophospholipid metabolism - Saccharomyces cerevisiae (budding yeast)
sce00565	Ether lipid metabolism - Saccharomyces cerevisiae (budding yeast)
sce00600	Sphingolipid metabolism - Saccharomyces cerevisiae (budding yeast)
sce00590	Arachidonic acid metabolism - Saccharomyces cerevisiae (budding yeast)
sce00592	alpha-Linolenic acid metabolism - Saccharomyces cerevisiae (budding yeast)
sce01040	Biosynthesis of unsaturated fatty acids - Saccharomyces cerevisiae (budding yeast)
sce00230	Purine metabolism - Saccharomyces cerevisiae (budding yeast)
sce00240	Pyrimidine metabolism - Saccharomyces cerevisiae (budding yeast)
sce00250	Alanine, aspartate and glutamate metabolism - Saccharomyces cerevisiae (budding yeast)
sce00260	Glycine, serine and threonine metabolism - Saccharomyces cerevisiae (budding yeast)
sce00270	Cysteine and methionine metabolism - Saccharomyces cerevisiae (budding yeast)
sce00280	Valine, leucine and isoleucine degradation - Saccharomyces cerevisiae (budding yeast)
sce00290	Valine, leucine and isoleucine biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00300	Lysine biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00310	Lysine degradation - Saccharomyces cerevisiae (budding yeast)
sce00220	Arginine biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00330	Arginine and proline metabolism - Saccharomyces cerevisiae (budding yeast)
sce00340	Histidine metabolism - Saccharomyces cerevisiae (budding yeast)
sce00350	Tyrosine metabolism - Saccharomyces cerevisiae (budding yeast)
sce00360	Phenylalanine metabolism - Saccharomyces cerevisiae (budding yeast)
sce00380	Tryptophan metabolism - Saccharomyces cerevisiae (budding yeast)
sce00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00410	beta-Alanine metabolism - Saccharomyces cerevisiae (budding yeast)
sce00430	Taurine and hypotaurine metabolism - Saccharomyces cerevisiae (budding yeast)
sce00440	Phosphonate and phosphinate metabolism - Saccharomyces cerevisiae (budding yeast)
sce00450	Selenocompound metabolism - Saccharomyces cerevisiae (budding yeast)
sce00460	Cyanoamino acid metabolism - Saccharomyces cerevisiae (budding yeast)
sce00470	D-Amino acid metabolism - Saccharomyces cerevisiae (budding yeast)
sce00480	Glutathione metabolism - Saccharomyces cerevisiae (budding yeast)
sce00520	Amino sugar and nucleotide sugar metabolism - Saccharomyces cerevisiae (budding yeast)
sce00541	Biosynthesis of various nucleotide sugars - Saccharomyces cerevisiae (budding yeast)
sce00510	N-Glycan biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00513	Various types of N-glycan biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00515	Mannose type O-glycan biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00514	Other types of O-glycan biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00511	Other glycan degradation - Saccharomyces cerevisiae (budding yeast)
sce00730	Thiamine metabolism - Saccharomyces cerevisiae (budding yeast)
sce00740	Riboflavin metabolism - Saccharomyces cerevisiae (budding yeast)
sce00750	Vitamin B6 metabolism - Saccharomyces cerevisiae (budding yeast)
sce00760	Nicotinate and nicotinamide metabolism - Saccharomyces cerevisiae (budding yeast)
sce00770	Pantothenate and CoA biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00780	Biotin metabolism - Saccharomyces cerevisiae (budding yeast)
sce00785	Lipoic acid metabolism - Saccharomyces cerevisiae (budding yeast)
sce00790	Folate biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00670	One carbon pool by folate - Saccharomyces cerevisiae (budding yeast)
sce00860	Porphyrin metabolism - Saccharomyces cerevisiae (budding yeast)
sce00130	Ubiquinone and other terpenoid-quinone biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00900	Terpenoid backbone biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00909	Sesquiterpenoid and triterpenoid biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00332	Carbapenem biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00261	Monobactam biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce00999	Biosynthesis of various plant secondary metabolites - Saccharomyces cerevisiae (budding yeast)
sce00791	Atrazine degradation - Saccharomyces cerevisiae (budding yeast)
sce03020	RNA polymerase - Saccharomyces cerevisiae (budding yeast)
sce03022	Basal transcription factors - Saccharomyces cerevisiae (budding yeast)
sce03040	Spliceosome - Saccharomyces cerevisiae (budding yeast)
sce03010	Ribosome - Saccharomyces cerevisiae (budding yeast)
sce00970	Aminoacyl-tRNA biosynthesis - Saccharomyces cerevisiae (budding yeast)
sce03013	Nucleocytoplasmic transport - Saccharomyces cerevisiae (budding yeast)
sce03015	mRNA surveillance pathway - Saccharomyces cerevisiae (budding yeast)
sce03008	Ribosome biogenesis in eukaryotes - Saccharomyces cerevisiae (budding yeast)
sce03060	Protein export - Saccharomyces cerevisiae (budding yeast)
sce04141	Protein processing in endoplasmic reticulum - Saccharomyces cerevisiae (budding yeast)
sce04130	SNARE interactions in vesicular transport - Saccharomyces cerevisiae (budding yeast)
sce04120	Ubiquitin mediated proteolysis - Saccharomyces cerevisiae (budding yeast)
sce04122	Sulfur relay system - Saccharomyces cerevisiae (budding yeast)
sce03050	Proteasome - Saccharomyces cerevisiae (budding yeast)
