sco01100	Metabolic pathways - Streptomyces coelicolor
sco01110	Biosynthesis of secondary metabolites - Streptomyces coelicolor
sco01120	Microbial metabolism in diverse environments - Streptomyces coelicolor
sco01200	Carbon metabolism - Streptomyces coelicolor
sco01210	2-Oxocarboxylic acid metabolism - Streptomyces coelicolor
sco01212	Fatty acid metabolism - Streptomyces coelicolor
sco01230	Biosynthesis of amino acids - Streptomyces coelicolor
sco01232	Nucleotide metabolism - Streptomyces coelicolor
sco01250	Biosynthesis of nucleotide sugars - Streptomyces coelicolor
sco01240	Biosynthesis of cofactors - Streptomyces coelicolor
sco01220	Degradation of aromatic compounds - Streptomyces coelicolor
sco01310	Nitrogen cycle - Streptomyces coelicolor
sco01320	Sulfur cycle - Streptomyces coelicolor
sco00010	Glycolysis / Gluconeogenesis - Streptomyces coelicolor
sco00020	Citrate cycle (TCA cycle) - Streptomyces coelicolor
sco00030	Pentose phosphate pathway - Streptomyces coelicolor
sco00040	Pentose and glucuronate interconversions - Streptomyces coelicolor
sco00051	Fructose and mannose metabolism - Streptomyces coelicolor
sco00052	Galactose metabolism - Streptomyces coelicolor
sco00053	Ascorbate and aldarate metabolism - Streptomyces coelicolor
sco00500	Starch and sucrose metabolism - Streptomyces coelicolor
sco00620	Pyruvate metabolism - Streptomyces coelicolor
sco00630	Glyoxylate and dicarboxylate metabolism - Streptomyces coelicolor
sco00640	Propanoate metabolism - Streptomyces coelicolor
sco00650	Butanoate metabolism - Streptomyces coelicolor
sco00660	C5-Branched dibasic acid metabolism - Streptomyces coelicolor
sco00562	Inositol phosphate metabolism - Streptomyces coelicolor
sco00190	Oxidative phosphorylation - Streptomyces coelicolor
sco00710	Carbon fixation by Calvin cycle - Streptomyces coelicolor
sco00720	Other carbon fixation pathways - Streptomyces coelicolor
sco00680	Methane metabolism - Streptomyces coelicolor
sco00910	Nitrogen metabolism - Streptomyces coelicolor
sco00920	Sulfur metabolism - Streptomyces coelicolor
sco00061	Fatty acid biosynthesis - Streptomyces coelicolor
sco00071	Fatty acid degradation - Streptomyces coelicolor
sco00074	Mycolic acid biosynthesis - Streptomyces coelicolor
sco00561	Glycerolipid metabolism - Streptomyces coelicolor
sco00564	Glycerophospholipid metabolism - Streptomyces coelicolor
sco00565	Ether lipid metabolism - Streptomyces coelicolor
sco00600	Sphingolipid metabolism - Streptomyces coelicolor
sco00592	alpha-Linolenic acid metabolism - Streptomyces coelicolor
sco01040	Biosynthesis of unsaturated fatty acids - Streptomyces coelicolor
sco00230	Purine metabolism - Streptomyces coelicolor
sco00240	Pyrimidine metabolism - Streptomyces coelicolor
sco00250	Alanine, aspartate and glutamate metabolism - Streptomyces coelicolor
sco00260	Glycine, serine and threonine metabolism - Streptomyces coelicolor
sco00270	Cysteine and methionine metabolism - Streptomyces coelicolor
sco00280	Valine, leucine and isoleucine degradation - Streptomyces coelicolor
sco00290	Valine, leucine and isoleucine biosynthesis - Streptomyces coelicolor
sco00300	Lysine biosynthesis - Streptomyces coelicolor
sco00310	Lysine degradation - Streptomyces coelicolor
sco00220	Arginine biosynthesis - Streptomyces coelicolor
sco00330	Arginine and proline metabolism - Streptomyces coelicolor
sco00340	Histidine metabolism - Streptomyces coelicolor
sco00350	Tyrosine metabolism - Streptomyces coelicolor
sco00360	Phenylalanine metabolism - Streptomyces coelicolor
sco00380	Tryptophan metabolism - Streptomyces coelicolor
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor
sco00410	beta-Alanine metabolism - Streptomyces coelicolor
sco00430	Taurine and hypotaurine metabolism - Streptomyces coelicolor
sco00440	Phosphonate and phosphinate metabolism - Streptomyces coelicolor
sco00450	Selenocompound metabolism - Streptomyces coelicolor
sco00460	Cyanoamino acid metabolism - Streptomyces coelicolor
sco00470	D-Amino acid metabolism - Streptomyces coelicolor
sco00480	Glutathione metabolism - Streptomyces coelicolor
sco00520	Amino sugar and nucleotide sugar metabolism - Streptomyces coelicolor
sco00541	Biosynthesis of various nucleotide sugars - Streptomyces coelicolor
sco00515	Mannose type O-glycan biosynthesis - Streptomyces coelicolor
sco00514	Other types of O-glycan biosynthesis - Streptomyces coelicolor
sco00511	Other glycan degradation - Streptomyces coelicolor
sco00542	O-Antigen repeat unit biosynthesis - Streptomyces coelicolor
sco00550	Peptidoglycan biosynthesis - Streptomyces coelicolor
sco00552	Teichoic acid biosynthesis - Streptomyces coelicolor
sco00572	Arabinogalactan biosynthesis - Mycobacterium - Streptomyces coelicolor
sco00543	Exopolysaccharide biosynthesis - Streptomyces coelicolor
sco00730	Thiamine metabolism - Streptomyces coelicolor
sco00740	Riboflavin metabolism - Streptomyces coelicolor
sco00750	Vitamin B6 metabolism - Streptomyces coelicolor
sco00760	Nicotinate and nicotinamide metabolism - Streptomyces coelicolor
