spn01100	Metabolic pathways - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn01110	Biosynthesis of secondary metabolites - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn01120	Microbial metabolism in diverse environments - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn01200	Carbon metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn01210	2-Oxocarboxylic acid metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn01212	Fatty acid metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn01230	Biosynthesis of amino acids - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn01232	Nucleotide metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn01250	Biosynthesis of nucleotide sugars - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn01240	Biosynthesis of cofactors - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn01220	Degradation of aromatic compounds - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00010	Glycolysis / Gluconeogenesis - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00020	Citrate cycle (TCA cycle) - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00030	Pentose phosphate pathway - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00040	Pentose and glucuronate interconversions - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00051	Fructose and mannose metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00052	Galactose metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00053	Ascorbate and aldarate metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00500	Starch and sucrose metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00620	Pyruvate metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00630	Glyoxylate and dicarboxylate metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00640	Propanoate metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00650	Butanoate metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spn00660	C5-Branched dibasic acid metabolism - Streptococcus pneumoniae TIGR4 (virulent serotype 4)
