spo01100	Metabolic pathways - Schizosaccharomyces pombe (fission yeast)
spo01110	Biosynthesis of secondary metabolites - Schizosaccharomyces pombe (fission yeast)
spo01200	Carbon metabolism - Schizosaccharomyces pombe (fission yeast)
spo01210	2-Oxocarboxylic acid metabolism - Schizosaccharomyces pombe (fission yeast)
spo01212	Fatty acid metabolism - Schizosaccharomyces pombe (fission yeast)
spo01230	Biosynthesis of amino acids - Schizosaccharomyces pombe (fission yeast)
spo01232	Nucleotide metabolism - Schizosaccharomyces pombe (fission yeast)
spo01250	Biosynthesis of nucleotide sugars - Schizosaccharomyces pombe (fission yeast)
spo01240	Biosynthesis of cofactors - Schizosaccharomyces pombe (fission yeast)
spo01320	Sulfur cycle - Schizosaccharomyces pombe (fission yeast)
spo00010	Glycolysis / Gluconeogenesis - Schizosaccharomyces pombe (fission yeast)
spo00020	Citrate cycle (TCA cycle) - Schizosaccharomyces pombe (fission yeast)
spo00030	Pentose phosphate pathway - Schizosaccharomyces pombe (fission yeast)
spo00040	Pentose and glucuronate interconversions - Schizosaccharomyces pombe (fission yeast)
spo00051	Fructose and mannose metabolism - Schizosaccharomyces pombe (fission yeast)
spo00052	Galactose metabolism - Schizosaccharomyces pombe (fission yeast)
spo00053	Ascorbate and aldarate metabolism - Schizosaccharomyces pombe (fission yeast)
spo00500	Starch and sucrose metabolism - Schizosaccharomyces pombe (fission yeast)
spo00620	Pyruvate metabolism - Schizosaccharomyces pombe (fission yeast)
spo00630	Glyoxylate and dicarboxylate metabolism - Schizosaccharomyces pombe (fission yeast)
spo00640	Propanoate metabolism - Schizosaccharomyces pombe (fission yeast)
spo00650	Butanoate metabolism - Schizosaccharomyces pombe (fission yeast)
spo00660	C5-Branched dibasic acid metabolism - Schizosaccharomyces pombe (fission yeast)
spo00562	Inositol phosphate metabolism - Schizosaccharomyces pombe (fission yeast)
spo00190	Oxidative phosphorylation - Schizosaccharomyces pombe (fission yeast)
spo00710	Carbon fixation by Calvin cycle - Schizosaccharomyces pombe (fission yeast)
spo00680	Methane metabolism - Schizosaccharomyces pombe (fission yeast)
spo00910	Nitrogen metabolism - Schizosaccharomyces pombe (fission yeast)
spo00920	Sulfur metabolism - Schizosaccharomyces pombe (fission yeast)
spo00061	Fatty acid biosynthesis - Schizosaccharomyces pombe (fission yeast)
spo00062	Fatty acid elongation - Schizosaccharomyces pombe (fission yeast)
spo00071	Fatty acid degradation - Schizosaccharomyces pombe (fission yeast)
spo00100	Steroid biosynthesis - Schizosaccharomyces pombe (fission yeast)
spo00561	Glycerolipid metabolism - Schizosaccharomyces pombe (fission yeast)
spo00564	Glycerophospholipid metabolism - Schizosaccharomyces pombe (fission yeast)
spo00565	Ether lipid metabolism - Schizosaccharomyces pombe (fission yeast)
spo00600	Sphingolipid metabolism - Schizosaccharomyces pombe (fission yeast)
spo00590	Arachidonic acid metabolism - Schizosaccharomyces pombe (fission yeast)
spo01040	Biosynthesis of unsaturated fatty acids - Schizosaccharomyces pombe (fission yeast)
spo00230	Purine metabolism - Schizosaccharomyces pombe (fission yeast)
spo00240	Pyrimidine metabolism - Schizosaccharomyces pombe (fission yeast)
spo00250	Alanine, aspartate and glutamate metabolism - Schizosaccharomyces pombe (fission yeast)
spo00260	Glycine, serine and threonine metabolism - Schizosaccharomyces pombe (fission yeast)
spo00270	Cysteine and methionine metabolism - Schizosaccharomyces pombe (fission yeast)
spo00280	Valine, leucine and isoleucine degradation - Schizosaccharomyces pombe (fission yeast)
spo00290	Valine, leucine and isoleucine biosynthesis - Schizosaccharomyces pombe (fission yeast)
spo00300	Lysine biosynthesis - Schizosaccharomyces pombe (fission yeast)
spo00310	Lysine degradation - Schizosaccharomyces pombe (fission yeast)
spo00220	Arginine biosynthesis - Schizosaccharomyces pombe (fission yeast)
spo00330	Arginine and proline metabolism - Schizosaccharomyces pombe (fission yeast)
spo00340	Histidine metabolism - Schizosaccharomyces pombe (fission yeast)
spo00350	Tyrosine metabolism - Schizosaccharomyces pombe (fission yeast)
spo00360	Phenylalanine metabolism - Schizosaccharomyces pombe (fission yeast)
spo00380	Tryptophan metabolism - Schizosaccharomyces pombe (fission yeast)
spo00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Schizosaccharomyces pombe (fission yeast)
spo00410	beta-Alanine metabolism - Schizosaccharomyces pombe (fission yeast)
spo00430	Taurine and hypotaurine metabolism - Schizosaccharomyces pombe (fission yeast)
spo00440	Phosphonate and phosphinate metabolism - Schizosaccharomyces pombe (fission yeast)
spo00450	Selenocompound metabolism - Schizosaccharomyces pombe (fission yeast)
spo00460	Cyanoamino acid metabolism - Schizosaccharomyces pombe (fission yeast)
