spy01100	Metabolic pathways - Streptococcus pyogenes M1 GAS (serotype M1)
spy01110	Biosynthesis of secondary metabolites - Streptococcus pyogenes M1 GAS (serotype M1)
spy01120	Microbial metabolism in diverse environments - Streptococcus pyogenes M1 GAS (serotype M1)
spy01200	Carbon metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy01210	2-Oxocarboxylic acid metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy01212	Fatty acid metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy01230	Biosynthesis of amino acids - Streptococcus pyogenes M1 GAS (serotype M1)
spy01232	Nucleotide metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy01250	Biosynthesis of nucleotide sugars - Streptococcus pyogenes M1 GAS (serotype M1)
spy01240	Biosynthesis of cofactors - Streptococcus pyogenes M1 GAS (serotype M1)
spy01220	Degradation of aromatic compounds - Streptococcus pyogenes M1 GAS (serotype M1)
spy00010	Glycolysis / Gluconeogenesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00020	Citrate cycle (TCA cycle) - Streptococcus pyogenes M1 GAS (serotype M1)
spy00030	Pentose phosphate pathway - Streptococcus pyogenes M1 GAS (serotype M1)
spy00040	Pentose and glucuronate interconversions - Streptococcus pyogenes M1 GAS (serotype M1)
spy00051	Fructose and mannose metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00052	Galactose metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00053	Ascorbate and aldarate metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00500	Starch and sucrose metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00620	Pyruvate metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00630	Glyoxylate and dicarboxylate metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00640	Propanoate metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00650	Butanoate metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00562	Inositol phosphate metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00190	Oxidative phosphorylation - Streptococcus pyogenes M1 GAS (serotype M1)
spy00710	Carbon fixation by Calvin cycle - Streptococcus pyogenes M1 GAS (serotype M1)
spy00720	Other carbon fixation pathways - Streptococcus pyogenes M1 GAS (serotype M1)
spy00680	Methane metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00910	Nitrogen metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00920	Sulfur metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00061	Fatty acid biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00071	Fatty acid degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy00074	Mycolic acid biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00561	Glycerolipid metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00564	Glycerophospholipid metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00230	Purine metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00240	Pyrimidine metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00250	Alanine, aspartate and glutamate metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00260	Glycine, serine and threonine metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00270	Cysteine and methionine metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00280	Valine, leucine and isoleucine degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy00290	Valine, leucine and isoleucine biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00310	Lysine degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy00220	Arginine biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00330	Arginine and proline metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00340	Histidine metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00350	Tyrosine metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00380	Tryptophan metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00430	Taurine and hypotaurine metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00450	Selenocompound metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00460	Cyanoamino acid metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00470	D-Amino acid metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00480	Glutathione metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00520	Amino sugar and nucleotide sugar metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00541	Biosynthesis of various nucleotide sugars - Streptococcus pyogenes M1 GAS (serotype M1)
spy00511	Other glycan degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy00542	O-Antigen repeat unit biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00550	Peptidoglycan biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00552	Teichoic acid biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00543	Exopolysaccharide biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00730	Thiamine metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00740	Riboflavin metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00750	Vitamin B6 metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00760	Nicotinate and nicotinamide metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00770	Pantothenate and CoA biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00780	Biotin metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00785	Lipoic acid metabolism - Streptococcus pyogenes M1 GAS (serotype M1)
spy00790	Folate biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00670	One carbon pool by folate - Streptococcus pyogenes M1 GAS (serotype M1)
spy00900	Terpenoid backbone biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00523	Polyketide sugar unit biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00946	Degradation of flavonoids - Streptococcus pyogenes M1 GAS (serotype M1)
spy00332	Carbapenem biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00521	Streptomycin biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00525	Acarbose and validamycin biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy00999	Biosynthesis of various plant secondary metabolites - Streptococcus pyogenes M1 GAS (serotype M1)
spy00362	Benzoate degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy00627	Aminobenzoate degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy00625	Chloroalkane and chloroalkene degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy00622	Xylene degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy00643	Styrene degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy00626	Naphthalene degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy03020	RNA polymerase - Streptococcus pyogenes M1 GAS (serotype M1)
spy03010	Ribosome - Streptococcus pyogenes M1 GAS (serotype M1)
spy00970	Aminoacyl-tRNA biosynthesis - Streptococcus pyogenes M1 GAS (serotype M1)
spy03060	Protein export - Streptococcus pyogenes M1 GAS (serotype M1)
spy04122	Sulfur relay system - Streptococcus pyogenes M1 GAS (serotype M1)
spy03018	RNA degradation - Streptococcus pyogenes M1 GAS (serotype M1)
spy03030	DNA replication - Streptococcus pyogenes M1 GAS (serotype M1)
spy03410	Base excision repair - Streptococcus pyogenes M1 GAS (serotype M1)
spy03420	Nucleotide excision repair - Streptococcus pyogenes M1 GAS (serotype M1)
spy03430	Mismatch repair - Streptococcus pyogenes M1 GAS (serotype M1)
spy03440	Homologous recombination - Streptococcus pyogenes M1 GAS (serotype M1)
spy03250	Viral life cycle - HIV-1 - Streptococcus pyogenes M1 GAS (serotype M1)
spy02010	ABC transporters - Streptococcus pyogenes M1 GAS (serotype M1)
