sso01100	Metabolic pathways - Saccharolobus solfataricus P2
sso01110	Biosynthesis of secondary metabolites - Saccharolobus solfataricus P2
sso01120	Microbial metabolism in diverse environments - Saccharolobus solfataricus P2
sso01200	Carbon metabolism - Saccharolobus solfataricus P2
sso01210	2-Oxocarboxylic acid metabolism - Saccharolobus solfataricus P2
sso01212	Fatty acid metabolism - Saccharolobus solfataricus P2
sso01230	Biosynthesis of amino acids - Saccharolobus solfataricus P2
sso01232	Nucleotide metabolism - Saccharolobus solfataricus P2
sso01250	Biosynthesis of nucleotide sugars - Saccharolobus solfataricus P2
sso01240	Biosynthesis of cofactors - Saccharolobus solfataricus P2
sso01220	Degradation of aromatic compounds - Saccharolobus solfataricus P2
sso01320	Sulfur cycle - Saccharolobus solfataricus P2
sso00010	Glycolysis / Gluconeogenesis - Saccharolobus solfataricus P2
sso00020	Citrate cycle (TCA cycle) - Saccharolobus solfataricus P2
sso00030	Pentose phosphate pathway - Saccharolobus solfataricus P2
sso00040	Pentose and glucuronate interconversions - Saccharolobus solfataricus P2
sso00051	Fructose and mannose metabolism - Saccharolobus solfataricus P2
sso00052	Galactose metabolism - Saccharolobus solfataricus P2
sso00053	Ascorbate and aldarate metabolism - Saccharolobus solfataricus P2
sso00500	Starch and sucrose metabolism - Saccharolobus solfataricus P2
sso00620	Pyruvate metabolism - Saccharolobus solfataricus P2
sso00630	Glyoxylate and dicarboxylate metabolism - Saccharolobus solfataricus P2
sso00640	Propanoate metabolism - Saccharolobus solfataricus P2
sso00650	Butanoate metabolism - Saccharolobus solfataricus P2
sso00660	C5-Branched dibasic acid metabolism - Saccharolobus solfataricus P2
sso00562	Inositol phosphate metabolism - Saccharolobus solfataricus P2
sso00566	Sulfoquinovose metabolism - Saccharolobus solfataricus P2
sso00190	Oxidative phosphorylation - Saccharolobus solfataricus P2
sso00710	Carbon fixation by Calvin cycle - Saccharolobus solfataricus P2
sso00720	Other carbon fixation pathways - Saccharolobus solfataricus P2
sso00680	Methane metabolism - Saccharolobus solfataricus P2
sso00910	Nitrogen metabolism - Saccharolobus solfataricus P2
sso00920	Sulfur metabolism - Saccharolobus solfataricus P2
sso00061	Fatty acid biosynthesis - Saccharolobus solfataricus P2
sso00071	Fatty acid degradation - Saccharolobus solfataricus P2
sso00561	Glycerolipid metabolism - Saccharolobus solfataricus P2
sso00564	Glycerophospholipid metabolism - Saccharolobus solfataricus P2
sso00592	alpha-Linolenic acid metabolism - Saccharolobus solfataricus P2
sso00230	Purine metabolism - Saccharolobus solfataricus P2
sso00240	Pyrimidine metabolism - Saccharolobus solfataricus P2
sso00250	Alanine, aspartate and glutamate metabolism - Saccharolobus solfataricus P2
sso00260	Glycine, serine and threonine metabolism - Saccharolobus solfataricus P2
sso00270	Cysteine and methionine metabolism - Saccharolobus solfataricus P2
sso00280	Valine, leucine and isoleucine degradation - Saccharolobus solfataricus P2
sso00290	Valine, leucine and isoleucine biosynthesis - Saccharolobus solfataricus P2
sso00300	Lysine biosynthesis - Saccharolobus solfataricus P2
sso00310	Lysine degradation - Saccharolobus solfataricus P2
sso00220	Arginine biosynthesis - Saccharolobus solfataricus P2
sso00330	Arginine and proline metabolism - Saccharolobus solfataricus P2
sso00340	Histidine metabolism - Saccharolobus solfataricus P2
sso00350	Tyrosine metabolism - Saccharolobus solfataricus P2
sso00360	Phenylalanine metabolism - Saccharolobus solfataricus P2
sso00380	Tryptophan metabolism - Saccharolobus solfataricus P2
sso00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Saccharolobus solfataricus P2
sso00410	beta-Alanine metabolism - Saccharolobus solfataricus P2
sso00430	Taurine and hypotaurine metabolism - Saccharolobus solfataricus P2
sso00450	Selenocompound metabolism - Saccharolobus solfataricus P2
sso00460	Cyanoamino acid metabolism - Saccharolobus solfataricus P2
sso00470	D-Amino acid metabolism - Saccharolobus solfataricus P2
sso00480	Glutathione metabolism - Saccharolobus solfataricus P2
sso00520	Amino sugar and nucleotide sugar metabolism - Saccharolobus solfataricus P2
sso00541	Biosynthesis of various nucleotide sugars - Saccharolobus solfataricus P2
sso00511	Other glycan degradation - Saccharolobus solfataricus P2
sso00552	Teichoic acid biosynthesis - Saccharolobus solfataricus P2
sso00730	Thiamine metabolism - Saccharolobus solfataricus P2
sso00740	Riboflavin metabolism - Saccharolobus solfataricus P2
sso00750	Vitamin B6 metabolism - Saccharolobus solfataricus P2
sso00760	Nicotinate and nicotinamide metabolism - Saccharolobus solfataricus P2
sso00770	Pantothenate and CoA biosynthesis - Saccharolobus solfataricus P2
sso00780	Biotin metabolism - Saccharolobus solfataricus P2
sso00785	Lipoic acid metabolism - Saccharolobus solfataricus P2
sso00790	Folate biosynthesis - Saccharolobus solfataricus P2
sso00670	One carbon pool by folate - Saccharolobus solfataricus P2
sso00860	Porphyrin metabolism - Saccharolobus solfataricus P2
sso00130	Ubiquinone and other terpenoid-quinone biosynthesis - Saccharolobus solfataricus P2
sso00900	Terpenoid backbone biosynthesis - Saccharolobus solfataricus P2
sso00906	Carotenoid biosynthesis - Saccharolobus solfataricus P2
sso00907	Pinene, camphor and geraniol degradation - Saccharolobus solfataricus P2
sso00523	Polyketide sugar unit biosynthesis - Saccharolobus solfataricus P2
sso00261	Monobactam biosynthesis - Saccharolobus solfataricus P2
sso00521	Streptomycin biosynthesis - Saccharolobus solfataricus P2
sso00525	Acarbose and validamycin biosynthesis - Saccharolobus solfataricus P2
sso00401	Novobiocin biosynthesis - Saccharolobus solfataricus P2
sso00362	Benzoate degradation - Saccharolobus solfataricus P2
sso00627	Aminobenzoate degradation - Saccharolobus solfataricus P2
sso00364	Fluorobenzoate degradation - Saccharolobus solfataricus P2
sso00625	Chloroalkane and chloroalkene degradation - Saccharolobus solfataricus P2
sso00361	Chlorocyclohexane and chlorobenzene degradation - Saccharolobus solfataricus P2
sso00623	Toluene degradation - Saccharolobus solfataricus P2
sso00643	Styrene degradation - Saccharolobus solfataricus P2
sso00626	Naphthalene degradation - Saccharolobus solfataricus P2
sso00984	Steroid degradation - Saccharolobus solfataricus P2
sso03020	RNA polymerase - Saccharolobus solfataricus P2
sso03022	Basal transcription factors - Saccharolobus solfataricus P2
sso03010	Ribosome - Saccharolobus solfataricus P2
sso00970	Aminoacyl-tRNA biosynthesis - Saccharolobus solfataricus P2
sso03013	Nucleocytoplasmic transport - Saccharolobus solfataricus P2
sso03015	mRNA surveillance pathway - Saccharolobus solfataricus P2
sso03008	Ribosome biogenesis in eukaryotes - Saccharolobus solfataricus P2
sso03060	Protein export - Saccharolobus solfataricus P2
sso04141	Protein processing in endoplasmic reticulum - Saccharolobus solfataricus P2
sso04122	Sulfur relay system - Saccharolobus solfataricus P2
sso03050	Proteasome - Saccharolobus solfataricus P2
sso03018	RNA degradation - Saccharolobus solfataricus P2
sso03030	DNA replication - Saccharolobus solfataricus P2
sso03410	Base excision repair - Saccharolobus solfataricus P2
sso03420	Nucleotide excision repair - Saccharolobus solfataricus P2
sso03430	Mismatch repair - Saccharolobus solfataricus P2
sso02010	ABC transporters - Saccharolobus solfataricus P2
sso03070	Bacterial secretion system - Saccharolobus solfataricus P2
sso02020	Two-component system - Saccharolobus solfataricus P2
sso04142	Lysosome biogenesis - Saccharolobus solfataricus P2
sso04146	Peroxisome - Saccharolobus solfataricus P2
sso02024	Quorum sensing - Saccharolobus solfataricus P2
sso04981	Folate transport and metabolism - Saccharolobus solfataricus P2
sso04980	Cobalamin transport and metabolism - Saccharolobus solfataricus P2
