syn01100	Metabolic pathways - Synechocystis sp. PCC 6803
syn01110	Biosynthesis of secondary metabolites - Synechocystis sp. PCC 6803
syn01120	Microbial metabolism in diverse environments - Synechocystis sp. PCC 6803
syn01200	Carbon metabolism - Synechocystis sp. PCC 6803
syn01210	2-Oxocarboxylic acid metabolism - Synechocystis sp. PCC 6803
syn01212	Fatty acid metabolism - Synechocystis sp. PCC 6803
syn01230	Biosynthesis of amino acids - Synechocystis sp. PCC 6803
syn01232	Nucleotide metabolism - Synechocystis sp. PCC 6803
syn01250	Biosynthesis of nucleotide sugars - Synechocystis sp. PCC 6803
syn01240	Biosynthesis of cofactors - Synechocystis sp. PCC 6803
syn01220	Degradation of aromatic compounds - Synechocystis sp. PCC 6803
syn01310	Nitrogen cycle - Synechocystis sp. PCC 6803
syn01320	Sulfur cycle - Synechocystis sp. PCC 6803
syn00010	Glycolysis / Gluconeogenesis - Synechocystis sp. PCC 6803
syn00020	Citrate cycle (TCA cycle) - Synechocystis sp. PCC 6803
syn00030	Pentose phosphate pathway - Synechocystis sp. PCC 6803
syn00040	Pentose and glucuronate interconversions - Synechocystis sp. PCC 6803
syn00051	Fructose and mannose metabolism - Synechocystis sp. PCC 6803
syn00052	Galactose metabolism - Synechocystis sp. PCC 6803
syn00053	Ascorbate and aldarate metabolism - Synechocystis sp. PCC 6803
syn00500	Starch and sucrose metabolism - Synechocystis sp. PCC 6803
syn00620	Pyruvate metabolism - Synechocystis sp. PCC 6803
syn00630	Glyoxylate and dicarboxylate metabolism - Synechocystis sp. PCC 6803
syn00640	Propanoate metabolism - Synechocystis sp. PCC 6803
syn00650	Butanoate metabolism - Synechocystis sp. PCC 6803
syn00660	C5-Branched dibasic acid metabolism - Synechocystis sp. PCC 6803
syn00562	Inositol phosphate metabolism - Synechocystis sp. PCC 6803
syn00566	Sulfoquinovose metabolism - Synechocystis sp. PCC 6803
syn00190	Oxidative phosphorylation - Synechocystis sp. PCC 6803
syn00195	Photosynthesis - Synechocystis sp. PCC 6803
syn00196	Photosynthesis - antenna proteins - Synechocystis sp. PCC 6803
syn00710	Carbon fixation by Calvin cycle - Synechocystis sp. PCC 6803
syn00720	Other carbon fixation pathways - Synechocystis sp. PCC 6803
syn00680	Methane metabolism - Synechocystis sp. PCC 6803
syn00910	Nitrogen metabolism - Synechocystis sp. PCC 6803
syn00920	Sulfur metabolism - Synechocystis sp. PCC 6803
syn00061	Fatty acid biosynthesis - Synechocystis sp. PCC 6803
syn00071	Fatty acid degradation - Synechocystis sp. PCC 6803
syn00100	Steroid biosynthesis - Synechocystis sp. PCC 6803
syn00561	Glycerolipid metabolism - Synechocystis sp. PCC 6803
syn00564	Glycerophospholipid metabolism - Synechocystis sp. PCC 6803
syn00600	Sphingolipid metabolism - Synechocystis sp. PCC 6803
syn00230	Purine metabolism - Synechocystis sp. PCC 6803
syn00240	Pyrimidine metabolism - Synechocystis sp. PCC 6803
syn00250	Alanine, aspartate and glutamate metabolism - Synechocystis sp. PCC 6803
syn00260	Glycine, serine and threonine metabolism - Synechocystis sp. PCC 6803
syn00270	Cysteine and methionine metabolism - Synechocystis sp. PCC 6803
syn00280	Valine, leucine and isoleucine degradation - Synechocystis sp. PCC 6803
