xla01100	Metabolic pathways - Xenopus laevis (African clawed frog)
xla01200	Carbon metabolism - Xenopus laevis (African clawed frog)
xla01210	2-Oxocarboxylic acid metabolism - Xenopus laevis (African clawed frog)
xla01212	Fatty acid metabolism - Xenopus laevis (African clawed frog)
xla01230	Biosynthesis of amino acids - Xenopus laevis (African clawed frog)
xla01232	Nucleotide metabolism - Xenopus laevis (African clawed frog)
xla01250	Biosynthesis of nucleotide sugars - Xenopus laevis (African clawed frog)
xla01240	Biosynthesis of cofactors - Xenopus laevis (African clawed frog)
xla01320	Sulfur cycle - Xenopus laevis (African clawed frog)
xla00010	Glycolysis / Gluconeogenesis - Xenopus laevis (African clawed frog)
xla00020	Citrate cycle (TCA cycle) - Xenopus laevis (African clawed frog)
xla00030	Pentose phosphate pathway - Xenopus laevis (African clawed frog)
xla00040	Pentose and glucuronate interconversions - Xenopus laevis (African clawed frog)
xla00051	Fructose and mannose metabolism - Xenopus laevis (African clawed frog)
xla00052	Galactose metabolism - Xenopus laevis (African clawed frog)
xla00053	Ascorbate and aldarate metabolism - Xenopus laevis (African clawed frog)
xla00500	Starch and sucrose metabolism - Xenopus laevis (African clawed frog)
xla00620	Pyruvate metabolism - Xenopus laevis (African clawed frog)
xla00630	Glyoxylate and dicarboxylate metabolism - Xenopus laevis (African clawed frog)
xla00640	Propanoate metabolism - Xenopus laevis (African clawed frog)
xla00650	Butanoate metabolism - Xenopus laevis (African clawed frog)
xla00562	Inositol phosphate metabolism - Xenopus laevis (African clawed frog)
xla00190	Oxidative phosphorylation - Xenopus laevis (African clawed frog)
xla00910	Nitrogen metabolism - Xenopus laevis (African clawed frog)
xla00920	Sulfur metabolism - Xenopus laevis (African clawed frog)
xla00061	Fatty acid biosynthesis - Xenopus laevis (African clawed frog)
xla00062	Fatty acid elongation - Xenopus laevis (African clawed frog)
xla00071	Fatty acid degradation - Xenopus laevis (African clawed frog)
xla00100	Steroid biosynthesis - Xenopus laevis (African clawed frog)
xla00120	Primary bile acid biosynthesis - Xenopus laevis (African clawed frog)
xla00140	Steroid hormone biosynthesis - Xenopus laevis (African clawed frog)
xla00561	Glycerolipid metabolism - Xenopus laevis (African clawed frog)
xla00564	Glycerophospholipid metabolism - Xenopus laevis (African clawed frog)
xla00565	Ether lipid metabolism - Xenopus laevis (African clawed frog)
xla00600	Sphingolipid metabolism - Xenopus laevis (African clawed frog)
xla00590	Arachidonic acid metabolism - Xenopus laevis (African clawed frog)
xla00591	Linoleic acid metabolism - Xenopus laevis (African clawed frog)
xla00592	alpha-Linolenic acid metabolism - Xenopus laevis (African clawed frog)
xla01040	Biosynthesis of unsaturated fatty acids - Xenopus laevis (African clawed frog)
xla00230	Purine metabolism - Xenopus laevis (African clawed frog)
xla00240	Pyrimidine metabolism - Xenopus laevis (African clawed frog)
xla00250	Alanine, aspartate and glutamate metabolism - Xenopus laevis (African clawed frog)
xla00260	Glycine, serine and threonine metabolism - Xenopus laevis (African clawed frog)
xla00270	Cysteine and methionine metabolism - Xenopus laevis (African clawed frog)
