ype01100	Metabolic pathways - Yersinia pestis CO92 (biovar Orientalis)
ype01110	Biosynthesis of secondary metabolites - Yersinia pestis CO92 (biovar Orientalis)
ype01120	Microbial metabolism in diverse environments - Yersinia pestis CO92 (biovar Orientalis)
ype01200	Carbon metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype01210	2-Oxocarboxylic acid metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype01212	Fatty acid metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype01230	Biosynthesis of amino acids - Yersinia pestis CO92 (biovar Orientalis)
ype01232	Nucleotide metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype01250	Biosynthesis of nucleotide sugars - Yersinia pestis CO92 (biovar Orientalis)
ype01240	Biosynthesis of cofactors - Yersinia pestis CO92 (biovar Orientalis)
ype01220	Degradation of aromatic compounds - Yersinia pestis CO92 (biovar Orientalis)
ype01310	Nitrogen cycle - Yersinia pestis CO92 (biovar Orientalis)
ype01320	Sulfur cycle - Yersinia pestis CO92 (biovar Orientalis)
ype00010	Glycolysis / Gluconeogenesis - Yersinia pestis CO92 (biovar Orientalis)
ype00020	Citrate cycle (TCA cycle) - Yersinia pestis CO92 (biovar Orientalis)
ype00030	Pentose phosphate pathway - Yersinia pestis CO92 (biovar Orientalis)
ype00040	Pentose and glucuronate interconversions - Yersinia pestis CO92 (biovar Orientalis)
ype00051	Fructose and mannose metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00052	Galactose metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00053	Ascorbate and aldarate metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00500	Starch and sucrose metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00620	Pyruvate metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00630	Glyoxylate and dicarboxylate metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00640	Propanoate metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00650	Butanoate metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00660	C5-Branched dibasic acid metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00562	Inositol phosphate metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00190	Oxidative phosphorylation - Yersinia pestis CO92 (biovar Orientalis)
ype00710	Carbon fixation by Calvin cycle - Yersinia pestis CO92 (biovar Orientalis)
ype00720	Other carbon fixation pathways - Yersinia pestis CO92 (biovar Orientalis)
ype00680	Methane metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00910	Nitrogen metabolism - Yersinia pestis CO92 (biovar Orientalis)
ype00920	Sulfur metabolism - Yersinia pestis CO92 (biovar Orientalis)
