Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""7s2""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0.000004""","=""""","=""  95                             ""","=""L22136,L7344c157"""
"=""6d.7s""","=""3D""","=""1""","=""""","=""0.5876394""","=""""","=""0.0000022""","=""0.587639""","=""  99                             ""","=""L22136,L7344c157"""
"=""6d.7s""","=""3D""","=""2""","=""""","=""0.6530430""","=""""","=""0.0000019""","=""0.065404""","=""  86         :    11  6d.7s 1D   ""","=""L22136,L7344c157"""
"=""6d.7s""","=""3D""","=""3""","=""""","=""0.9207673""","=""""","=""0.0000020""","=""0.267724""","=""  99                             ""","=""L22136,L7344c157"""
"=""6d.7s""","=""1D""","=""2""","=""""","=""1.1267085""","=""""","=""0.0000017""","=""0.205941""","=""  68         :    16  6d2   1D   ""","=""L22136,L7344c157"""
"=""6d2""","=""3F""","=""2""","=""""","=""1.6411067""","=""""","=""0.0000000""","=""0.5143982""","=""  93                             ""","=""L22136,L7344c157"""
"=""6d2""","=""3F""","=""3""","=""""","=""1.8534612""","=""""","=""0.0000016""","=""0.212355""","=""  99                             ""","=""L22136,L7344c157"""
"=""6d2""","=""3F""","=""4""","=""""","=""2.0775842""","=""""","=""0.0000017""","=""0.224123""","=""  92         :     7  6d2   1G   ""","=""L22136,L7344c157"""
"=""6d2""","=""3P""","=""0""","=""""","=""2.199112""","=""""","=""0.000003""","=""0.121528""","=""  92         :     5  6d2   1S   ""","=""L22136,L7344c157"""
"=""6d2""","=""3P""","=""1""","=""""","=""2.357595""","=""""","=""0.000003""","=""0.158483""","=""  98                             ""","=""L22136,L7344c157"""
"=""6d2""","=""3P""","=""2""","=""""","=""2.3808639""","=""""","=""0.0000016""","=""0.023269""","=""  68         :    22  6d2   1D   ""","=""L22136,L7344c157"""
"=""6d2""","=""1G""","=""4""","=""""","=""2.5848471""","=""""","=""0.0000022""","=""0.203983""","=""  90         :     7  6d2   3F   ""","=""L22136,L7344c157"""
"=""7s.7p""","=""3P*""","=""0""","=""""","=""2.598265""","=""""","=""0.000004""","=""0.013418""","=""  98                             ""","=""L22136,L7344c157"""
"=""7s.7p""","=""3P*""","=""1""","=""""","=""2.7500356""","=""""","=""0.0000025""","=""0.151771""","=""  82         :    11  7s.7p 1P*  ""","=""L22136,L7344c157"""
"=""7s.7p""","=""3P*""","=""2""","=""""","=""3.496493""","=""""","=""0.000003""","=""0.746457""","=""  89         :     7  6d.7p 3P*  ""","=""L22136,L7344c157"""
"=""6d2""","=""1D""","=""2""","=""""","=""2.7523783""","=""""","=""0.0000024""","=""-0.744115""","=""  57         :    30  6d2   3P   ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3F*""","=""2""","=""""","=""3.2790012""","=""""","=""0.0000015""","=""0.526623""","=""  65         :    17  5f.7s 3F*  ""","=""L22136,L7344c157"""
"=""6d.7p""","=""3F*""","=""3""","=""""","=""3.7047787""","=""""","=""0.0000016""","=""0.425777""","=""  55         :    39  5f.7s 3F*  ""","=""L22136,L7344c157"""
