Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4d10""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0.000007""","=""""","=""""","=""  99                                               ""","=""L18362"""
"=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""""","=""4.85621528""","=""""","=""0.00000020""","=""4.856215""","=""1.318""","="" 100                                               ""","=""L18362,L3466"""
"=""4d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""""","=""5.05178168""","=""""","=""0.00000016""","=""0.1955664""","=""1.119""","=""  85         :    15  4d9.(2D<3/2>).5s     2[3/2]  ""","=""L18362,L3466"""
"=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""","=""""","=""5.42340791""","=""""","=""0.00000017""","=""0.3716262""","=""0.488""","="" 100                                               ""","=""L18362,L3466"""
"=""4d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""""","=""5.70935604""","=""""","=""0.00000016""","=""0.2859481""","=""1.028""","=""  85         :    14  4d9.(2D<5/2>).5s     2[5/2]  ""","=""L18362,L3466"""
"=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""","=""""","=""9.94061414""","=""""","=""0.00000015""","=""4.2312581""","=""1.464""","=""  92         :     5  4d9.(2D<5/2>).5p     2[5/2]* ""","=""L18362,L3466"""
"=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""1""","=""""","=""10.36824241""","=""""","=""""","=""0.4276283""","=""1.410""","=""  57         :    42  4d9.(2D<3/2>).5p     2[1/2]* ""","=""L18362,L3466"""
"=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""","=""""","=""10.18799633""","=""""","=""0.00000016""","=""-0.1802461""","=""1.059""","=""  89         :     9  4d9.(2D<5/2>).5p     2[5/2]* ""","=""L18362,L3466"""
"=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""4""","=""""","=""10.37371438""","=""""","=""0.00000024""","=""0.1857180""","=""1.249""","=""  99                                               ""","=""L18362,L3466"""
"=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""2""","=""""","=""10.56354748""","=""""","=""0.00000015""","=""0.1898331""","=""0.851""","=""  63         :    31  4d9.(2D<3/2>).5p     2[5/2]* ""","=""L18362,L3466"""
"=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""","=""""","=""10.71975452""","=""""","=""0.00000016""","=""0.1562070""","=""1.240""","=""  86         :    10  4d9.(2D<5/2>).5p     2[7/2]* ""","=""L18362,L3466"""
"=""4d9.(2D<3/2>).5p""","=""2[1/2]*""","=""0""","=""""","=""10.68000943""","=""""","=""0.00000021""","=""-0.0397451""","=""""","=""  99                                               ""","=""L18362"""
