Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d9""","=""2D""","=""5/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3039"""
"=""4d9""","=""2D""","=""3/2""","=""""","=""0.57147""","=""""","=""""","=""0.57147""","="""""
"=""4d8.(3F).5s""","=""4F""","=""9/2""","=""""","=""7.84154""","=""""","=""""","=""7.2701""","="""""
"=""4d8.(3F).5s""","=""4F""","=""7/2""","=""""","=""8.15310""","=""""","=""""","=""0.3116""","="""""
"=""4d8.(3F).5s""","=""4F""","=""5/2""","=""""","=""8.44817""","=""""","=""""","=""0.2951""","="""""
"=""4d8.(3F).5s""","=""4F""","=""3/2""","=""""","=""8.59777""","=""""","=""""","=""0.1496""","="""""
"=""4d8.(3F).5s""","=""2F""","=""7/2""","=""""","=""8.88798""","=""""","=""""","=""0.2902""","="""""
"=""4d8.(3F).5s""","=""2F""","=""5/2""","=""""","=""9.16602""","=""""","=""""","=""0.2780""","="""""
"=""4d8.(3P).5s""","=""4P""","=""5/2""","=""""","=""9.47268""","=""""","=""""","=""0.3067""","="""""
"=""4d8.(3P).5s""","=""4P""","=""3/2""","=""""","=""9.59746""","=""""","=""""","=""0.1248""","="""""
"=""4d8.(3P).5s""","=""4P""","=""1/2""","=""""","=""9.78151""","=""""","=""""","=""0.1841""","="""""
"=""4d8.(1D).5s""","=""2D""","=""3/2""","=""""","=""9.93453""","=""""","=""""","=""0.1530""","="""""
"=""4d8.(1D).5s""","=""2D""","=""5/2""","=""""","=""10.19502""","=""""","=""""","=""0.2605""","="""""
"=""4d8.(3P).5s""","=""2P""","=""3/2""","=""""","=""10.56095""","=""""","=""""","=""0.3659""","="""""
"=""4d8.(3P).5s""","=""2P""","=""1/2""","=""""","=""10.60133""","=""""","=""""","=""0.0404""","="""""
"=""4d8.(1G).5s""","=""2G""","=""9/2""","=""""","=""10.61256""","=""""","=""""","=""0.0112""","="""""
"=""4d8.(1G).5s""","=""2G""","=""7/2""","=""""","=""10.62843""","=""""","=""""","=""0.0159""","="""""
"=""4d8.(1S).5s""","=""2S""","=""3/2""","=""""","=""13.81635""","=""""","=""""","=""3.1879""","="""""
"=""4d8.(3F).5p""","=""4D*""","=""7/2""","=""""","=""14.30868""","=""""","=""""","=""0.4923""","="""""
"=""4d8.(3F).5p""","=""4D*""","=""5/2""","=""""","=""14.77112""","=""""","=""""","=""0.4624""","="""""
"=""4d8.(3F).5p""","=""4D*""","=""3/2""","=""""","=""15.12723""","=""""","=""""","=""0.3561""","="""""
"=""4d8.(3F).5p""","=""4D*""","=""1/2""","=""""","=""15.29982""","=""""","=""""","=""0.1726""","="""""
"=""4d8.(3F).5p""","=""4G*""","=""9/2""","=""""","=""14.62077""","=""""","=""""","=""-0.6791""","="""""
"=""4d8.(3F).5p""","=""4G*""","=""11/2""","=""""","=""14.92175""","=""""","=""""","=""0.3010""","="""""
"=""4d8.(3F).5p""","=""4G*""","=""7/2""","=""""","=""15.00975""","=""""","=""""","=""0.0880""","="""""
"=""4d8.(3F).5p""","=""4G*""","=""5/2""","=""""","=""15.19139""","=""""","=""""","=""0.1816""","="""""
"=""4d8.(3F).5p""","=""4F*""","=""9/2""","=""""","=""15.16256""","=""""","=""""","=""-0.0288""","="""""
"=""4d8.(3F).5p""","=""4F*""","=""7/2""","=""""","=""15.32763""","=""""","=""""","=""0.1651""","="""""
"=""4d8.(3F).5p""","=""4F*""","=""3/2""","=""""","=""15.36422""","=""""","=""""","=""0.0366""","="""""
