Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p""","=""2P*""","=""1/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""                                           ""","=""L4714"""
"=""3s2.3p""","=""2P*""","=""3/2""","=""""","=""0.0138938""","=""""","=""""","=""0.0138938""","=""                                           ""","="""""
"=""3s2.4s""","=""2S""","=""1/2""","=""""","=""3.1427212""","=""""","=""""","=""3.128827""","=""                                           ""","="""""
"=""3s.3p2""","=""4P""","=""1/2""","=""""","=""3.598072""","=""""","=""""","=""0.455351""","=""                                           ""","="""""
"=""3s.3p2""","=""4P""","=""3/2""","=""""","=""3.603844""","=""""","=""""","=""0.00577""","=""                                           ""","="""""
"=""3s.3p2""","=""4P""","=""5/2""","=""""","=""3.613244""","=""""","=""""","=""0.00940""","=""                                           ""","="""""
"=""3s2.3d""","=""2D""","=""3/2""","=""""","=""4.0214836""","=""""","=""""","=""0.408240""","=""  73  3s2.nd          :    21  3s.3p2 2D   ""","="""""
"=""3s2.3d""","=""2D""","=""5/2""","=""""","=""4.0216502""","=""""","=""""","=""0.000167""","=""  73  3s2.nd          :    21  3s.3p2 2D   ""","="""""
"=""3s2.4p""","=""2P*""","=""1/2""","=""""","=""4.0852554""","=""""","=""""","=""0.063605""","=""                                           ""","="""""
"=""3s2.4p""","=""2P*""","=""3/2""","=""""","=""4.0872183""","=""""","=""""","=""0.001963""","=""                                           ""","="""""
"=""3s2.5s""","=""2S""","=""1/2""","=""""","=""4.6728909""","=""""","=""""","=""0.585673""","=""                                           ""","="""""
"=""3s2.nd""","=""y 2D""","=""3/2""","=""""","=""4.8266321""","=""""","=""""","=""0.153741""","=""  73  3s2.nd          :    21  3s.3p2 2D   ""","="""""
"=""3s2.nd""","=""y 2D""","=""5/2""","=""""","=""4.8271968""","=""""","=""""","=""0.000565""","=""  73  3s2.nd          :    21  3s.3p2 2D   ""","="""""
"=""3s2.5p""","=""2P*""","=""1/2""","=""""","=""4.9930889""","=""""","=""""","=""0.165892""","=""                                           ""","="""""
"=""3s2.5p""","=""2P*""","=""3/2""","=""""","=""4.9938210""","=""""","=""""","=""0.000732""","=""                                           ""","="""""
"=""3s2.4f""","=""2F*""","=""5/2""","=""""","=""5.1229514""","=""""","=""""","=""0.129130""","=""                                           ""","="""""
"=""3s2.4f""","=""2F*""","=""7/2""","=""""","=""5.1229524""","=""""","=""""","=""0.000001""","=""                                           ""","="""""
"=""3s2.6s""","=""2S""","=""1/2""","=""""","=""5.2252410""","=""""","=""""","=""0.102289""","=""                                           ""","="""""
"=""3s2.4d""","=""2D""","=""3/2""","=""""","=""5.2363166""","=""""","=""""","=""0.011076""","=""  81  3s2.nd          :    13  3s.3p2 2D   ""","="""""
"=""3s2.4d""","=""2D""","=""5/2""","=""""","=""5.2368177""","=""""","=""""","=""0.000501""","=""  81  3s2.nd          :    13  3s.3p2 2D   ""","="""""
"=""3s2.6p""","=""2P*""","=""1/2""","=""""","=""5.3728582""","=""""","=""""","=""0.136041""","=""                                           ""","="""""
"=""3s2.6p""","=""2P*""","=""3/2""","=""""","=""5.3732134""","=""""","=""""","=""0.000355""","=""                                           ""","="""""
"=""3s2.5f""","=""2F*""","=""5/2""","=""""","=""5.4343639""","=""""","=""""","=""0.061151""","=""                                           ""","="""""
"=""3s2.5f""","=""2F*""","=""7/2""","=""""","=""5.4343644""","=""""","=""""","=""0.000000""","=""                                           ""","="""""
"=""3s2.5g""","=""2G""","=""7/2""","=""""","=""5.4398996""","=""""","=""""","=""0.005535""","=""                                           ""","="""""
"=""3s2.5g""","=""2G""","=""9/2""","=""""","=""5.4398996""","=""""","=""""","=""0.000000""","=""                                           ""","="""""
"=""3s2.5d""","=""2D""","=""3/2""","=""""","=""5.4759355""","=""""","=""""","=""0.036036""","=""  87  3s2.nd          :     7  3s.3p2 2D   ""","="""""
"=""3s2.5d""","=""2D""","=""5/2""","=""""","=""5.4762391""","=""""","=""""","=""0.000304""","=""  87  3s2.nd          :     7  3s.3p2 2D   ""","="""""
"=""3s2.7s""","=""2S""","=""1/2""","=""""","=""5.4891689""","=""""","=""""","=""0.012930""","=""                                           ""","="""""
"=""3s2.7p""","=""2P*""","=""1/2""","=""""","=""5.5693288""","=""""","=""""","=""0.080160""","=""                                           ""","="""""
"=""3s2.7p""","=""2P*""","=""3/2""","=""""","=""5.5695298""","=""""","=""""","=""0.000201""","=""                                           ""","="""""
"=""3s2.6f""","=""2F*""","=""5/2""","=""""","=""5.6034263""","=""""","=""""","=""0.033896""","=""                                           ""","="""""
"=""3s2.6f""","=""2F*""","=""7/2""","=""""","=""5.6034263""","=""""","=""""","=""0.000000""","=""                                           ""","="""""
"=""3s2.6g""","=""2G""","=""7/2""","=""""","=""5.6067785""","=""""","=""""","=""0.003352""","=""                                           ""","="""""
"=""3s2.6g""","=""2G""","=""9/2""","=""""","=""5.6067785""","=""""","=""""","=""0.000000""","=""                                           ""","="""""
"=""3s2.6d""","=""2D""","=""3/2""","=""""","=""5.6219600""","=""""","=""""","=""0.015181""","=""  89  3s2(1S)6g       :     4  3s.3p2 2D   ""","="""""
"=""3s2.6d""","=""2D""","=""5/2""","=""""","=""5.6221371""","=""""","=""""","=""0.000177""","=""  89  3s2(1S)6g       :     4  3s.3p2 2D   ""","="""""
"=""3s2.8s""","=""2S""","=""1/2""","=""""","=""5.6359800""","=""""","=""""","=""0.013843""","=""                                           ""","="""""
"=""3s2.7f""","=""2F*""","=""5/2""","=""""","=""5.7052289""","=""""","=""""","=""0.069249""","=""                                           ""","="""""
"=""3s2.7f""","=""2F*""","=""7/2""","=""""","=""5.7052289""","=""""","=""""","=""0.000000""","=""                                           ""","="""""
"=""3s2.7g""","=""2G""","=""7/2""","=""""","=""5.7073982""","=""""","=""""","=""0.002169""","=""                                           ""","="""""
"=""3s2.7g""","=""2G""","=""9/2""","=""""","=""5.7073982""","=""""","=""""","=""0.000000""","=""                                           ""","="""""
"=""3s2.7h""","=""2H*""","=""9/2""","=""""","=""5.7078721""","=""""","=""""","=""0.000474""","=""                                           ""","="""""
"=""3s2.7h""","=""2H*""","=""11/2""","=""""","=""5.7078721""","=""""","=""""","=""0.000000""","=""                                           ""","="""""
"=""3s2.7d""","=""2D""","=""3/2""","=""""","=""5.7148562""","=""""","=""""","=""0.006984""","=""                                           ""","="""""
"=""3s2.7d""","=""2D""","=""5/2""","=""""","=""5.7149663""","=""""","=""""","=""0.000110""","=""                                           ""","="""""
