Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p6.3s2""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  94         :     5  3p2   1S   ""","=""L4714"""
"=""3s.3p""","=""3P*""","=""0""","=""""","=""4.636145""","=""""","=""""","=""4.636145""","=""                                 ""","="""""
"=""3s.3p""","=""3P*""","=""1""","=""""","=""4.643693""","=""""","=""""","=""0.00755""","=""                                 ""","="""""
"=""3s.3p""","=""3P*""","=""2""","=""""","=""4.659052""","=""""","=""""","=""0.01536""","=""                                 ""","="""""
"=""3s.3p""","=""1P*""","=""1""","=""""","=""7.420705""","=""""","=""""","=""2.76165""","=""  94         :     4  3p.3d 1P*  ""","="""""
"=""3p2""","=""1D""","=""2""","=""""","=""10.598337""","=""""","=""""","=""3.17763""","=""  52         :    46  3s.3d 1D   ""","="""""
"=""3s.4s""","=""3S""","=""1""","=""""","=""11.316596""","=""""","=""""","=""0.71826""","=""                                 ""","="""""
"=""3p2""","=""3P""","=""0""","=""""","=""11.665048""","=""""","=""""","=""0.34845""","=""                                 ""","="""""
"=""3p2""","=""3P""","=""1""","=""""","=""11.672797""","=""""","=""""","=""0.00775""","=""                                 ""","="""""
"=""3p2""","=""3P""","=""2""","=""""","=""11.687827""","=""""","=""""","=""0.01503""","=""                                 ""","="""""
"=""3s.4s""","=""1S""","=""0""","=""""","=""11.821968""","=""""","=""""","=""0.13414""","=""                                 ""","="""""
"=""3s.3d""","=""3D""","=""3""","=""""","=""11.846618""","=""""","=""""","=""0.02465""","=""  99                             ""","="""""
"=""3s.3d""","=""3D""","=""2""","=""""","=""11.846753""","=""""","=""""","=""0.00014""","=""  99                             ""","="""""
"=""3s.3d""","=""3D""","=""1""","=""""","=""11.846869""","=""""","=""""","=""0.00012""","=""  99                             ""","="""""
"=""3s.4p""","=""3P*""","=""0""","=""""","=""13.071347""","=""""","=""""","=""1.22448""","=""                                 ""","="""""
"=""3s.4p""","=""3P*""","=""1""","=""""","=""13.073080""","=""""","=""""","=""0.00173""","=""                                 ""","="""""
"=""3s.4p""","=""3P*""","=""2""","=""""","=""13.076729""","=""""","=""""","=""0.00365""","=""                                 ""","="""""
"=""3s.4p""","=""1P*""","=""1""","=""""","=""13.256460""","=""""","=""""","=""0.17973""","=""                                 ""","="""""
"=""3s.3d""","=""1D""","=""2""","=""""","=""13.649399""","=""""","=""""","=""0.39294""","=""  38         :    33  3s.4d 1D   ""","="""""
"=""3p2""","=""1S""","=""0""","=""""","=""13.841265""","=""""","=""""","=""0.19187""","=""  91         :     5  3s2   1S   ""","="""""
"=""3s.5s""","=""3S""","=""1""","=""""","=""14.8896243""","=""""","=""""","=""1.048359""","=""                                 ""","="""""
"=""3s.5s""","=""1S""","=""0""","=""""","=""15.0475561""","=""""","=""""","=""0.157932""","=""                                 ""","="""""
"=""3s.4d""","=""3D""","=""3""","=""""","=""15.062034""","=""""","=""""","=""0.014478""","=""  99                             ""","="""""
"=""3s.4d""","=""3D""","=""2""","=""""","=""15.062086""","=""""","=""""","=""0.00005""","=""  99                             ""","="""""
"=""3s.4d""","=""3D""","=""1""","=""""","=""15.0621276""","=""""","=""""","=""0.000042""","=""  99                             ""","="""""
"=""3s.4f""","=""3F*""","=""2""","=""""","=""15.301941""","=""""","=""""","=""0.239813""","=""  96                             ""","="""""
"=""3s.4f""","=""3F*""","=""3""","=""""","=""15.302186""","=""""","=""""","=""0.00025""","=""  96                             ""","="""""
"=""3s.4f""","=""3F*""","=""4""","=""""","=""15.302546""","=""""","=""""","=""0.00036""","=""  96                             ""","="""""
"=""3s.4f""","=""1F*""","=""3""","=""""","=""15.30839""","=""""","=""""","=""0.00584""","=""                                 ""","="""""
"=""3s.4d""","=""1D""","=""2""","=""""","=""15.472500""","=""""","=""""","=""0.16411""","=""  54         :    24  3s.5d 1D   ""","="""""
"=""3s.5p""","=""3P*""","=""0""","=""""","=""15.585203""","=""""","=""""","=""0.11270""","=""                                 ""","="""""
"=""3s.5p""","=""3P*""","=""1""","=""""","=""15.5859083""","=""""","=""""","=""0.000705""","=""                                 ""","="""""
"=""3s.5p""","=""3P*""","=""2""","=""""","=""15.5875046""","=""""","=""""","=""0.001596""","=""                                 ""","="""""
"=""3s.5p""","=""1P*""","=""1""","=""""","=""15.6057689""","=""""","=""""","=""0.018264""","=""                                 ""","="""""
"=""3s.6s""","=""3S""","=""1""","=""""","=""16.3926349""","=""""","=""""","=""0.786866""","=""                                 ""","="""""
"=""3s.6s""","=""1S""","=""0""","=""""","=""16.4624524""","=""""","=""""","=""0.069817""","=""                                 ""","="""""
"=""3s.5d""","=""3D""","=""2""","=""""","=""16.467928""","=""""","=""""","=""0.005476""","=""                                 ""","="""""
"=""3s.5d""","=""3D""","=""3""","=""""","=""16.467940""","=""""","=""""","=""0.00001""","=""                                 ""","="""""
"=""3s.5d""","=""3D""","=""1""","=""""","=""16.467947""","=""""","=""""","=""0.00001""","=""                                 ""","="""""
"=""3s.5f""","=""3F*""","=""2""","=""""","=""16.544168""","=""""","=""""","=""0.07622""","=""  89         :     6  3s.6f 3F*  ""","="""""
"=""3s.5f""","=""3F*""","=""3""","=""""","=""16.544833""","=""""","=""""","=""0.00067""","=""  89         :     6  3s.6f 3F*  ""","="""""
"=""3s.5f""","=""3F*""","=""4""","=""""","=""16.545700""","=""""","=""""","=""0.00087""","=""  89         :     6  3s.6f 3F*  ""","="""""
"=""3s.5f""","=""1F*""","=""3""","=""""","=""16.574428""","=""""","=""""","=""0.02873""","=""                                 ""","="""""
"=""3s.5d""","=""1D""","=""2""","=""""","=""16.6035135""","=""""","=""""","=""0.029085""","=""                                 ""","="""""
"=""3s.5g""","=""3G""","=""3""","=""""","=""16.63666""","=""""","=""""","=""0.03315""","=""                                 ""","="""""
"=""3s.5g""","=""3G""","=""5""","=""""","=""16.63666""","=""""","=""""","=""0.0000""","=""                                 ""","="""""
"=""3s.5g""","=""3G""","=""4""","=""""","=""16.63666""","=""""","=""""","=""0.0000""","=""                                 ""","="""""
"=""3s.5g""","=""1G""","=""4""","=""""","=""16.63666""","=""""","=""""","=""0.0000""","=""                                 ""","="""""
"=""3s.6p""","=""1P*""","=""1""","=""""","=""16.727874""","=""""","=""""","=""0.09121""","=""                                 ""","="""""
"=""3s.6p""","=""3P*""","=""0""","=""""","=""16.7393899""","=""""","=""""","=""0.011516""","=""                                 ""","="""""
"=""3s.6p""","=""3P*""","=""1""","=""""","=""16.7398135""","=""""","=""""","=""0.000424""","=""                                 ""","="""""
"=""3s.6p""","=""3P*""","=""2""","=""""","=""16.7406102""","=""""","=""""","=""0.000797""","=""                                 ""","="""""
"=""3s.7s""","=""3S""","=""1""","=""""","=""17.171798""","=""""","=""""","=""0.431188""","=""                                 ""","="""""
"=""3s.6f""","=""3F*""","=""2""","=""""","=""17.17446""","=""""","=""""","=""0.00266""","=""  65         :    30  3p.3d 3F*  ""","="""""
"=""3s.6f""","=""3F*""","=""3""","=""""","=""17.17663""","=""""","=""""","=""0.0022""","=""  65         :    30  3p.3d 3F*  ""","="""""
"=""3s.6f""","=""3F*""","=""4""","=""""","=""17.17947""","=""""","=""""","=""0.0028""","=""  65         :    30  3p.3d 3F*  ""","="""""
"=""3s.7s""","=""1S""","=""0""","=""""","=""17.209081""","=""""","=""""","=""0.02961""","=""                                 ""","="""""
"=""3s.6d""","=""3D""","=""1""","=""""","=""17.210850""","=""""","=""""","=""0.00177""","=""                                 ""","="""""
"=""3s.6d""","=""3D""","=""2""","=""""","=""17.210850""","=""""","=""""","=""0.00000""","=""                                 ""","="""""
