Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2s2.2p6""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""                                                    ""","=""L4714"""
"=""2s2.2p5.(2P*).3s""","=""3P*""","=""2""","=""""","=""76.45414""","=""""","=""""","=""76.45414""","=""                                                    ""","="""""
"=""2s2.2p5.(2P*).3s""","=""3P*""","=""1""","=""""","=""76.68099""","=""""","=""""","=""0.2268""","=""                                                    ""","="""""
"=""2s2.2p5.(2P*).3s""","=""3P*""","=""0""","=""""","=""76.87765""","=""""","=""""","=""0.1967""","=""                                                    ""","="""""
"=""2s2.2p5.(2P*).3s""","=""1P*""","=""1""","=""""","=""77.45510""","=""""","=""""","=""0.5774""","=""                                                    ""","="""""
"=""2s2.2p5.(2P*).3p""","=""3S""","=""1""","=""""","=""83.27182""","=""""","=""""","=""5.8167""","=""  99                                                ""","="""""
"=""2s2.2p5.(2P*).3p""","=""3D""","=""3""","=""""","=""84.41586""","=""""","=""""","=""1.1440""","="" 100                                                ""","="""""
"=""2s2.2p5.(2P*).3p""","=""3D""","=""2""","=""""","=""84.51796""","=""""","=""""","=""0.1021""","=""  88         :    10  2s2.2p5.(2P*).3p      1D      ""","="""""
"=""2s2.2p5.(2P*).3p""","=""3D""","=""1""","=""""","=""84.67895""","=""""","=""""","=""0.1610""","=""  89         :     6  2s2.2p5.(2P*).3p      1P      ""","="""""
"=""2s2.2p5.(2P*).3p""","=""1D""","=""2""","=""""","=""85.01946""","=""""","=""""","=""0.3405""","=""  56         :    42  2s2.2p5.(2P*).3p      3P      ""","="""""
"=""2s2.2p5.(2P*).3p""","=""1P""","=""1""","=""""","=""85.17207""","=""""","=""""","=""0.1526""","=""  60         :    29  2s2.2p5.(2P*).3p      3P      ""","="""""
"=""2s2.2p5.(2P*).3p""","=""3P""","=""2""","=""""","=""85.28011""","=""""","=""""","=""0.1080""","=""  55         :    35  2s2.2p5.(2P*).3p      1D      ""","="""""
"=""2s2.2p5.(2P*).3p""","=""3P""","=""0""","=""""","=""85.33951""","=""""","=""""","=""0.0594""","="" 100                                                ""","="""""
"=""2s2.2p5.(2P*).3p""","=""3P""","=""1""","=""""","=""85.38164""","=""""","=""""","=""0.0421""","=""  65         :    34  2s2.2p5.(2P*).3p      1P      ""","="""""
"=""2s2.2p5.(2P*).3p""","=""1S""","=""0""","=""""","=""88.53673""","=""""","=""""","=""3.1551""","="" 100                                                ""","="""""
"=""2s2.2p5.(2P*).3d""","=""3P*""","=""0""","=""""","=""94.12799""","=""""","=""""","=""5.5913""","="" 100                                                ""","="""""
"=""2s2.2p5.(2P*).3d""","=""3P*""","=""1""","=""""","=""94.17800""","=""""","=""""","=""0.0500""","=""  98                                                ""","="""""
"=""2s2.2p5.(2P*).3d""","=""3P*""","=""2""","=""""","=""94.28655""","=""""","=""""","=""0.1086""","=""  95                                                ""","="""""
"=""2s2.2p5.(2P*).3d""","=""3F*""","=""4""","=""""","=""94.43733""","=""""","=""""","=""0.1508""","="" 100                                                ""","="""""
"=""2s2.2p5.(2P*).3d""","=""3F*""","=""3""","=""""","=""94.50974""","=""""","=""""","=""0.0724""","=""  76         :    22  2s2.2p5.(2P*).3d      1F*     ""","="""""
