Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2s2.2p5""","=""2P*""","=""3/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""                                               ""","=""L4714"""
"=""2s2.2p5""","=""2P*""","=""1/2""","=""""","=""0.4268""","=""""","=""""","=""0.4268""","=""                                               ""","="""""
"=""2s.2p6""","=""2S""","=""1/2""","=""""","=""44.4875""","=""""","=""""","=""44.061""","=""                                               ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""""","=""93.21629""","=""""","=""""","=""48.7288""","=""                                               ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""""","=""93.48278""","=""""","=""""","=""0.2665""","=""                                               ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""""","=""93.63750""","=""""","=""""","=""0.1547""","=""                                               ""","="""""
"=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""","=""""","=""94.75497""","=""""","=""""","=""1.1175""","=""                                               ""","="""""
"=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""","=""""","=""95.07012""","=""""","=""""","=""0.3152""","=""                                               ""","="""""
"=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""","=""""","=""98.76859""","=""""","=""""","=""3.6985""","=""                                               ""","="""""
"=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""","=""""","=""98.77237""","=""""","=""""","=""0.0038""","=""                                               ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""","=""""","=""101.34033""","=""""","=""""","=""2.5680""","=""  99                                           ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""","=""""","=""101.43597""","=""""","=""""","=""0.0956""","=""  98                                           ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""","=""""","=""101.53830""","=""""","=""""","=""0.1023""","=""  99                                           ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""","=""""","=""102.3808""","=""""","=""""","=""0.8425""","="" 100                                           ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""","=""""","=""102.53803""","=""""","=""""","=""0.1572""","=""  95         :     4  2s2.2p4.(3P).3p    2D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""","=""""","=""102.66327""","=""""","=""""","=""0.1252""","=""  97                                           ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""1/2""","=""""","=""102.73158""","=""""","=""""","=""0.0683""","="" 100                                           ""","="""""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""","=""""","=""103.15704""","=""""","=""""","=""0.4255""","=""  95         :     4  2s2.2p4.(3P).3p    4D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""3/2""","=""""","=""103.41332""","=""""","=""""","=""0.2563""","=""  90         :     6  2s2.2p4.(3P).3p    2P*   ""","="""""
