Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p3""","=""4S*""","=""3/2""","=""""","=""0.00000""","=""""","=""0.00004""","=""""","="" 100                                       ""","=""L15349"""
"=""3s2.3p3""","=""2D*""","=""3/2""","=""""","=""2.61490""","=""""","=""0.00004""","=""2.61490""","=""  99                                       ""","=""L15349"""
"=""3s2.3p3""","=""2D*""","=""5/2""","=""""","=""2.63092""","=""""","=""0.00004""","=""0.01602""","="" 100                                       ""","=""L15349"""
"=""3s2.3p3""","=""2P*""","=""1/2""","=""""","=""4.321420""","=""""","=""0.000025""","=""1.69050""","="" 100                                       ""","=""L15349"""
"=""3s2.3p3""","=""2P*""","=""3/2""","=""""","=""4.343464""","=""""","=""0.000025""","=""0.02204""","=""  98                                       ""","=""L15349"""
"=""3s.3p4""","=""4P""","=""5/2""","=""""","=""14.57600""","=""""","=""0.00006""","=""10.23254""","=""  86         :    13  3s2.3p2.(3P).3d 4P   ""","=""L15349"""
"=""3s.3p4""","=""4P""","=""3/2""","=""""","=""14.69407""","=""""","=""0.00006""","=""0.11807""","=""  86         :    13  3s2.3p2.(3P).3d 4P   ""","=""L15349"""
"=""3s.3p4""","=""4P""","=""1/2""","=""""","=""14.75946""","=""""","=""0.00004""","=""0.06539""","=""  86         :    13  3s2.3p2.(3P).3d 4P   ""","=""L15349"""
"=""3s.3p4""","=""2D""","=""3/2""","=""""","=""18.09192""","=""""","=""0.00004""","=""3.33246""","=""  72         :    24  3s2.3p2.(1D).3d 2D   ""","=""L15349"""
"=""3s.3p4""","=""2D""","=""5/2""","=""""","=""18.10162""","=""""","=""0.00004""","=""0.00970""","=""  72         :    24  3s2.3p2.(1D).3d 2D   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""","=""""","=""20.62556""","=""""","=""0.00004""","=""2.52394""","=""  62         :    31  3s.3p4          2P   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""","=""""","=""20.76048""","=""""","=""0.00004""","=""0.13492""","=""  62         :    31  3s.3p4          2P   ""","=""L15349"""
"=""3s.3p4""","=""2S""","=""1/2""","=""""","=""22.04842""","=""""","=""0.00005""","=""1.28794""","=""  72         :    22  3s2.3p2.(1D).3d 2S   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""","=""""","=""22.40177""","=""""","=""0.00009""","=""0.3533""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""","=""""","=""22.44508""","=""""","=""0.00005""","=""0.0433""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""","=""""","=""22.50726""","=""""","=""0.00010""","=""0.0622""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4F""","=""9/2""","=""""","=""22.58938""","=""""","=""0.00014""","=""0.0821""","=""  97                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","=""""","=""23.22105""","=""""","=""0.00010""","=""0.6317""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","=""""","=""23.23433""","=""""","=""0.00007""","=""0.0133""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","=""""","=""23.28687""","=""""","=""0.00006""","=""0.05254""","=""  92                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","=""""","=""23.41125""","=""""","=""0.00006""","=""0.12438""","=""  73         :    14  3s2.3p2.(1D).3d 2F   ""","=""L15349"""
"=""3s2.3p2.(1D).3d""","=""2G""","=""7/2""","=""""","=""25.75904""","=""""","=""0.00007""","=""2.34779""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(1D).3d""","=""2G""","=""9/2""","=""""","=""25.77127""","=""""","=""0.00014""","=""0.0122""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""","=""""","=""27.374074""","=""""","=""0.000025""","=""1.60280""","=""  86         :    11  3s.3p4          4P   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""","=""""","=""27.43781""","=""""","=""0.00004""","=""0.06374""","=""  85         :    12  3s.3p4          4P   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""","=""""","=""27.47830""","=""""","=""0.00004""","=""0.04049""","=""  85         :    10  3s.3p4          4P   ""","=""L15349"""
"=""3s.3p4""","=""2P""","=""3/2""","=""""","=""27.64303""","=""""","=""0.00004""","=""0.16473""","=""  44         :    40  3s2.3p2.(1D).3d 2P   ""","=""L15349"""
"=""3s.3p4""","=""2P""","=""1/2""","=""""","=""27.77485""","=""""","=""0.00005""","=""0.13182""","=""  43         :    45  3s2.3p2.(1D).3d 2P   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""","=""""","=""27.86599""","=""""","=""0.00004""","=""0.09114""","=""  55         :    40  3s2.3p2.(1S).3d 2D   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""","=""""","=""28.03813""","=""""","=""0.00005""","=""0.17214""","=""  56         :    39  3s2.3p2.(1S).3d 2D   ""","=""L15349"""
"=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""","=""""","=""29.5918""","=""""","=""0.0005""","=""1.5537""","=""  72         :    17  3s.3p4          2D   ""","=""L15349"""
"=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""","=""""","=""29.6384""","=""""","=""0.0004""","=""0.0466""","=""  72         :    18  3s.3p4          2D   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""","=""""","=""30.57797""","=""""","=""0.00004""","=""0.9396""","=""  56         :    40  3s2.3p2.(1D).3d 2F   ""","=""L15349"""
"=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""","=""""","=""30.59156""","=""""","=""0.00005""","=""0.01359""","=""  56         :    39  3s2.3p2.(1D).3d 2F   ""","=""L15349"""
"=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""""","=""31.022731""","=""""","=""0.000025""","=""0.43117""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""""","=""31.107903""","=""""","=""0.000024""","=""0.08517""","=""  61         :    19  3s2.3p2.(1D).3d 2P   ""","=""L15349"""
"=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""""","=""31.239970""","=""""","=""0.000024""","=""0.13207""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""""","=""31.75084""","=""""","=""0.00004""","=""0.51087""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""""","=""31.906537""","=""""","=""0.000020""","=""0.15570""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""","=""""","=""33.19569""","=""""","=""0.00005""","=""1.28915""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""","=""""","=""33.19826""","=""""","=""0.00004""","=""0.00257""","=""  98                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""","=""""","=""35.454050""","=""""","=""0.000025""","=""2.25579""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""""","=""35.487315""","=""""","=""0.000025""","=""0.03327""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""","=""""","=""35.552196""","=""""","=""0.000025""","=""0.06488""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""","=""""","=""35.65176""","=""""","=""0.00004""","=""0.09956""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""","=""""","=""35.84660""","=""""","=""0.00005""","=""0.19484""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""","=""""","=""35.860433""","=""""","=""0.000025""","=""0.01383""","=""  97                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""","=""""","=""35.934402""","=""""","=""0.000025""","=""0.07397""","=""  94         :     5  3s2.3p2.(3P).4p 2D*  ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""","=""""","=""35.98660""","=""""","=""0.00004""","=""0.05220""","=""  82         :    16  3s2.3p2.(1D).4p 2D*  ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""","=""""","=""36.16162""","=""""","=""0.00004""","=""0.17502""","=""  79         :    15  3s2.3p2.(1D).4p 2D*  ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""","=""""","=""36.171646""","=""""","=""0.000025""","=""0.01003""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""","=""""","=""36.65843""","=""""","=""0.00005""","=""0.48678""","=""  85         :    13  3s2.3p2.(1D).4p 2P*  ""","=""L15349"""
"=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""","=""""","=""36.67480""","=""""","=""0.00004""","=""0.01637""","=""  83         :    15  3s2.3p2.(1D).4p 2P*  ""","=""L15349"""
"=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""","=""""","=""37.64971""","=""""","=""0.00004""","=""0.97491""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""","=""""","=""37.68984""","=""""","=""0.00007""","=""0.04013""","=""  99                                       ""","=""L15349"""
"=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""","=""""","=""37.917765""","=""""","=""0.000025""","=""0.22793""","=""  84         :    16  3s2.3p2.(3P).4p 2D*  ""","=""L15349"""
"=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""","=""""","=""37.926717""","=""""","=""0.000025""","=""0.00895""","=""  83         :    16  3s2.3p2.(3P).4p 2D*  ""","=""L15349"""
"=""Ar V (3p2 3P<0>)""","=""Limit""","=""---""","=""[""","=""59.58""","=""]""","=""0.18""","=""""","=""                                           ""","=""L11770"""
