Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3s2.3p2""","=""3P""","=""0""","=""""","=""0.0000000""","=""""","=""0.0000016""","=""""","=""L15349"""
"=""3s2.3p2""","=""3P""","=""1""","=""""","=""0.0946292""","=""""","=""0.0000014""","=""0.094629""","=""L15349"""
"=""3s2.3p2""","=""3P""","=""2""","=""""","=""0.251534""","=""""","=""0.000010""","=""0.156905""","=""L15349"""
"=""3s2.3p2""","=""1D""","=""2""","=""""","=""2.020776""","=""""","=""0.000009""","=""1.76924""","=""L15349"""
"=""3s2.3p2""","=""1S""","=""0""","=""""","=""4.70054""","=""""","=""0.00004""","=""2.67976""","=""L15349"""
"=""3s.3p3""","=""5S*""","=""2""","=""""","=""10.42794""","=""+x""","=""0.00012""","=""5.7274""","=""L15349"""
"=""3s.3p3""","=""3D*""","=""1""","=""""","=""15.08004""","=""""","=""0.00010""","=""4.6521""","=""L15349"""
"=""3s.3p3""","=""3D*""","=""2""","=""""","=""15.08578""","=""""","=""0.00004""","=""0.0057""","=""L15349"""
"=""3s.3p3""","=""3D*""","=""3""","=""""","=""15.10166""","=""""","=""0.00004""","=""0.01588""","=""L15349"""
"=""3s.3p3""","=""3P*""","=""2""","=""""","=""17.57632""","=""""","=""0.00012""","=""2.4747""","=""L15349"""
"=""3s.3p3""","=""3P*""","=""1""","=""""","=""17.57730""","=""""","=""0.00007""","=""0.0010""","=""L15349"""
"=""3s.3p3""","=""3P*""","=""0""","=""""","=""17.59244""","=""""","=""0.00025""","=""0.0151""","=""L15349"""
"=""3s.3p3""","=""1D*""","=""2""","=""""","=""19.11978""","=""""","=""0.00005""","=""1.5273""","=""L15349"""
"=""3s.3p3""","=""3S*""","=""1""","=""""","=""23.74754""","=""""","=""0.00009""","=""4.6278""","=""L15349"""
"=""3s.3p3""","=""1P*""","=""1""","=""""","=""24.22102""","=""""","=""0.00009""","=""0.4735""","=""L15349"""
"=""3s2.3p.3d""","=""3P*""","=""2""","=""""","=""26.9755""","=""""","=""0.0004""","=""2.7545""","=""L15349"""
