Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p2""","=""3P""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""L3465"""
"=""4s2.4p2""","=""3P""","=""1""","=""""","=""0.131856""","=""""","=""""","=""0.131856""","="""""
"=""4s2.4p2""","=""3P""","=""2""","=""""","=""0.315087""","=""""","=""""","=""0.18323""","="""""
"=""4s2.4p2""","=""1D""","=""2""","=""""","=""1.251722""","=""""","=""""","=""0.93663""","="""""
"=""4s2.4p2""","=""1S""","=""0""","=""""","=""2.80187""","=""""","=""""","=""1.55015""","="""""
"=""4s.4p3""","=""5S*""","=""2""","=""""","=""6.796452""","=""""","=""""","=""3.99458""","="""""
"=""4s.4p3""","=""3D*""","=""1""","=""""","=""9.143821""","=""""","=""""","=""2.34737""","="""""
"=""4s.4p3""","=""3D*""","=""2""","=""""","=""9.157762""","=""""","=""""","=""0.01394""","="""""
"=""4s.4p3""","=""3D*""","=""3""","=""""","=""9.205135""","=""""","=""""","=""0.04737""","="""""
"=""4s2.4p.(2P*<1/2>).5s""","=""11*""","=""0""","=""""","=""9.7613867""","=""""","=""""","=""0.556252""","="""""
"=""4s2.4p.(2P*<1/2>).5s""","=""11*""","=""1""","=""""","=""9.810663""","=""""","=""""","=""0.049276""","="""""
"=""4s2.4p.(2P*<3/2>).5s""","=""21*""","=""2""","=""""","=""10.1058187""","=""""","=""""","=""0.295156""","="""""
"=""4s2.4p.(2P*<3/2>).5s""","=""21*""","=""1""","=""""","=""10.2682739""","=""""","=""""","=""0.162455""","="""""
"=""4s2.4p.(2P*).4d""","=""1D*""","=""2""","=""""","=""10.3031866""","=""""","=""""","=""0.034913""","="""""
"=""4s.4p3""","=""3P*""","=""1""","=""""","=""10.4935497""","=""""","=""""","=""0.190363""","="""""
"=""4s.4p3""","=""3P*""","=""0""","=""""","=""10.4950672""","=""""","=""""","=""0.001517""","="""""
"=""4s.4p3""","=""3P*""","=""2""","=""""","=""10.551782""","=""""","=""""","=""0.056715""","="""""
"=""4s2.4p.(2P*).4d""","=""3F*""","=""2""","=""""","=""11.0134101""","=""""","=""""","=""0.461628""","="""""
"=""4s2.4p.(2P*).4d""","=""3F*""","=""3""","=""""","=""11.1027421""","=""""","=""""","=""0.089332""","="""""
