Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p""","=""2P*""","=""1/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L3465"""
"=""4s2.4p""","=""2P*""","=""3/2""","=""""","=""0.3645""","=""""","=""""","=""0.3645""","="""""
"=""4s.4p2""","=""2D""","=""3/2""","=""""","=""10.5771""","=""""","=""""","=""10.213""","="""""
"=""4s.4p2""","=""2D""","=""5/2""","=""""","=""10.6171""","=""""","=""""","=""0.040""","="""""
"=""4s2.5s""","=""2S""","=""1/2""","=""""","=""13.2284""","=""""","=""""","=""2.611""","="""""
"=""4s.4p2""","=""2S""","=""1/2""","=""""","=""13.3665""","=""""","=""""","=""0.138""","="""""
"=""4s.4p2""","=""2P""","=""1/2""","=""""","=""14.1263""","=""""","=""""","=""0.760""","="""""
"=""4s.4p2""","=""2P""","=""3/2""","=""""","=""14.3108""","=""""","=""""","=""0.184""","="""""
"=""4s2.4d""","=""2D""","=""3/2""","=""""","=""14.5869""","=""""","=""""","=""0.276""","="""""
"=""4s2.4d""","=""2D""","=""5/2""","=""""","=""14.5984""","=""""","=""""","=""0.011""","="""""
"=""4s2.5p""","=""2P*""","=""1/2""","=""""","=""16.2987""","=""""","=""""","=""1.700""","="""""
"=""4s2.5p""","=""2P*""","=""3/2""","=""""","=""16.3885""","=""""","=""""","=""0.090""","="""""
"=""4p3""","=""2P*""","=""3/2""","=""""","=""20.0712""","=""""","=""""","=""3.683""","="""""
"=""4p3""","=""2P*""","=""1/2""","=""""","=""20.0914""","=""""","=""""","=""0.020""","="""""
"=""4s2.6s""","=""2S""","=""1/2""","=""""","=""20.19572""","=""""","=""""","=""0.1043""","="""""
"=""4s2.4f""","=""2F*""","=""7/2""","=""""","=""20.3467""","=""""","=""""","=""0.1510""","="""""
"=""4s2.4f""","=""2F*""","=""5/2""","=""""","=""20.3477""","=""""","=""""","=""0.001""","="""""
"=""4s2.5d""","=""2D""","=""3/2""","=""""","=""20.5346""","=""""","=""""","=""0.187""","="""""
"=""4s2.5d""","=""2D""","=""5/2""","=""""","=""20.5452""","=""""","=""""","=""0.011""","="""""
"=""4s2.5g""","=""2G""","=""7/2""","=""""","=""23.4215""","=""""","=""""","=""2.876""","="""""
"=""4s2.5g""","=""2G""","=""9/2""","=""""","=""23.4215""","=""""","=""""","=""0.000""","="""""
"=""As IV (4s2 1S<0>)""","=""Limit""","=""---""","=""""","=""28.349""","=""""","=""0.012""","=""""","=""L9358"""
