Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3d10.4s2""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L3465"""
"=""3d10.4s.4p""","=""3P*""","=""0""","=""""","=""9.3995""","=""""","=""""","=""9.3995""","="""""
"=""3d10.4s.4p""","=""3P*""","=""1""","=""""","=""9.5421""","=""""","=""""","=""0.143""","="""""
"=""3d10.4s.4p""","=""3P*""","=""2""","=""""","=""9.8558""","=""""","=""""","=""0.314""","="""""
"=""3d10.4s.4p""","=""1P*""","=""1""","=""""","=""13.8890""","=""""","=""""","=""4.033""","="""""
"=""3d10.4s.4d""","=""1D""","=""2""","=""""","=""22.2630""","=""""","=""""","=""8.374""","="""""
"=""3d10.4p2""","=""3P""","=""0""","=""""","=""22.3090""","=""""","=""""","=""0.046""","="""""
"=""3d10.4p2""","=""3P""","=""1""","=""""","=""22.4992""","=""""","=""""","=""0.190""","="""""
"=""3d10.4p2""","=""3P""","=""2""","=""""","=""22.8619""","=""""","=""""","=""0.363""","="""""
"=""3d10.4p2""","=""1D""","=""2""","=""""","=""25.3744""","=""""","=""""","=""2.513""","="""""
"=""3d10.4s.4d""","=""3D""","=""1""","=""""","=""26.11070""","=""""","=""""","=""0.7363""","="""""
"=""3d10.4s.4d""","=""3D""","=""2""","=""""","=""26.12717""","=""""","=""""","=""0.0165""","="""""
"=""3d10.4s.4d""","=""3D""","=""3""","=""""","=""26.15231""","=""""","=""""","=""0.0251""","="""""
"=""3d10.4p2""","=""1S""","=""0""","=""""","=""26.2453""","=""""","=""""","=""0.0930""","="""""
"=""3d10.4s.5s""","=""3S""","=""1""","=""""","=""27.29234""","=""""","=""""","=""1.0470""","="""""
"=""3d10.4s.5s""","=""1S""","=""0""","=""""","=""28.44452""","=""""","=""""","=""1.1522""","="""""
"=""3d10.4s.5p""","=""3P*""","=""0""","=""""","=""31.14632""","=""""","=""""","=""2.7018""","="""""
"=""3d10.4s.5p""","=""3P*""","=""1""","=""""","=""31.17792""","=""""","=""""","=""0.0316""","="""""
"=""3d10.4s.5p""","=""3P*""","=""2""","=""""","=""31.27935""","=""""","=""""","=""0.1014""","="""""
"=""3d10.4s.5p""","=""1P*""","=""1""","=""""","=""31.49693""","=""""","=""""","=""0.2176""","="""""
"=""3d10.4s.4f""","=""3F*""","=""2""","=""""","=""35.2680""","=""""","=""""","=""3.7711""","="""""
"=""3d10.4s.4f""","=""3F*""","=""3""","=""""","=""35.3020""","=""""","=""""","=""0.034""","="""""
"=""3d10.4s.4f""","=""3F*""","=""4""","=""""","=""35.3532""","=""""","=""""","=""0.051""","="""""
"=""3d10.4s.4f""","=""1F*""","=""3""","=""""","=""35.4260""","=""""","=""""","=""0.073""","="""""
"=""3d10.4s.5d""","=""1D""","=""2""","=""""","=""36.43082""","=""""","=""""","=""1.0048""","="""""
"=""""","=""2""","=""2""","=""""","=""36.52729""","=""""","=""""","=""0.0965""","="""""
"=""3d10.4s.5d""","=""3D""","=""1""","=""""","=""36.64735""","=""""","=""""","=""0.1201""","="""""
"=""3d10.4s.5d""","=""3D""","=""2""","=""""","=""36.65456""","=""""","=""""","=""0.0072""","="""""
"=""3d10.4s.5d""","=""3D""","=""3""","=""""","=""36.66587""","=""""","=""""","=""0.0113""","="""""
"=""""","=""3""","=""0""","=""""","=""36.9406""","=""""","=""""","=""0.2747""","="""""
"=""""","=""1""","=""2""","=""""","=""36.9618""","=""""","=""""","=""0.021""","="""""
"=""3d10.4s.6s""","=""3S""","=""1""","=""""","=""37.05579""","=""""","=""""","=""0.0940""","="""""
"=""3d10.4s.6s""","=""1S""","=""0""","=""""","=""37.28191""","=""""","=""""","=""0.2261""","="""""
"=""As V (4s 2S<1/2>)""","=""Limit""","=""---""","=""""","=""50.15""","=""""","=""0.06""","=""""","=""L9358"""
