Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5d10.6s""","=""2S""","=""1/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""1.997""","=""L1336"""
"=""5d9.6s2""","=""2D""","=""5/2""","=""""","=""1.1358412""","=""""","=""""","=""1.1358412""","=""1.192""","=""L1336"""
"=""5d9.6s2""","=""2D""","=""3/2""","=""""","=""2.6576250""","=""""","=""""","=""1.521784""","=""0.804""","=""L1336"""
"=""5d10.6p""","=""2P*""","=""1/2""","=""""","=""4.6319246""","=""""","=""""","=""1.974300""","=""0.661""","=""L1336"""
"=""5d10.6p""","=""2P*""","=""3/2""","=""""","=""5.1050014""","=""""","=""""","=""0.473077""","=""1.334""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4P*""","=""5/2""","=""""","=""5.2276115""","=""""","=""""","=""0.122610""","=""1.532""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""7/2""","=""""","=""5.6458926""","=""""","=""""","=""0.418281""","=""1.258""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""4F*""","=""5/2""","=""""","=""5.7249678""","=""""","=""""","=""0.079075""","=""1.011""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4D*""","=""5/2""","=""""","=""5.75026""","=""""","=""""","=""0.02529""","=""""","=""L3466"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4D*""","=""7/2""","=""""","=""6.3267765""","=""""","=""""","=""0.57652""","=""1.372""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""3/2""","=""""","=""5.8281789""","=""""","=""""","=""-0.498598""","=""1.422""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4P*""","=""1/2""","=""""","=""6.595503""","=""""","=""""","=""0.767324""","=""""","=""L4231"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4F*""","=""9/2""","=""""","=""6.0376767""","=""""","=""""","=""-0.557826""","=""""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""4F*""","=""3/2""","=""""","=""6.38333""","=""""","=""""","=""0.34565""","=""""","=""L3466"""
"=""5d9<5/2>.6s<1/2>.6p<1/2>""","=""2D*""","=""3/2""","=""""","=""6.3519002""","=""""","=""""","=""-0.03143""","=""1.064""","=""L1336"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""5/2""","=""""","=""6.40427""","=""""","=""""","=""0.05237""","=""1.222""","=""L3466"""
"=""5d9<5/2>.6s<1/2>.6p<3/2>""","=""2F*""","=""7/2""","=""""","=""6.54663""","=""""","=""""","=""0.1424""","=""""","=""L3466"""
"=""5d10.7s""","=""2S""","=""1/2""","=""""","=""6.7553082""","=""""","=""""","=""0.20868""","=""1.995""","=""L1336"""
"=""5d9<3/2>.6s<1/2>.6p<1/2>""","=""4D*""","=""1/2""","=""""","=""6.90995""","=""""","=""""","=""0.15464""","=""""","=""L3466"""
"=""5d9<3/2>.6s<1/2>.6p<1/2>""","=""4D*""","=""3/2""","=""""","=""6.9562262""","=""""","=""""","=""0.04628""","=""1.16""","=""L1336"""
"=""5d9<3/2>.6s<1/2>.6p<1/2>""","=""2F*""","=""5/2""","=""""","=""7.2675525""","=""""","=""""","=""0.311326""","=""0.984""","=""L1336"""
"=""5d9<3/2>.6s<1/2>.6p<1/2>""","=""2P*""","=""3/2""","=""""","=""7.2959015""","=""""","=""""","=""0.028349""","=""""","=""L1336"""
"=""5d9<3/2>.6s<1/2>.6p<3/2>""","=""2F*""","=""5/2""","=""""","=""7.40349""","=""""","=""""","=""0.10759""","=""""","=""L3466"""
"=""5d10.7p""","=""2P*""","=""1/2""","=""""","=""7.443125""","=""""","=""""","=""0.03964""","=""""","=""L4231"""
"=""5d10.7p""","=""2P*""","=""3/2""","=""""","=""7.529373""","=""""","=""""","=""0.08625""","=""1.33?""","=""L4231"""
"=""5d9<3/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""5/2""","=""""","=""7.59466""","=""""","=""""","=""0.06529""","=""1.30""","=""L3466"""
"=""5d9<3/2>.6s<1/2>.6p<3/2>""","=""2D*""","=""3/2""","=""""","=""7.63288""","=""""","=""""","=""0.0382""","=""""","=""L3466"""
"=""5d10.6d""","=""2D""","=""3/2""","=""""","=""7.68102""","=""""","=""""","=""0.0481""","=""0.787""","=""L3466"""
"=""5d10.6d""","=""2D""","=""5/2""","=""""","=""7.69120""","=""""","=""""","=""0.0102""","=""1.193""","=""L3466"""
"=""5d9<3/2>.6s<1/2>.6p<3/2>""","=""2P*""","=""3/2""","=""""","=""7.81164""","=""""","=""""","=""0.1204""","=""""","=""L3466"""
"=""5d10.8s""","=""2S""","=""1/2""","=""""","=""8.02703""","=""""","=""""","=""0.2154""","=""2.01""","=""L3466"""
"=""5d10.8p""","=""2P*""","=""1/2""","=""""","=""8.25800""","=""""","=""""","=""0.2310""","=""""","=""L3466"""
"=""5d10.8p""","=""2P*""","=""3/2""","=""""","=""8.29582""","=""""","=""""","=""0.0378""","=""""","=""L3466"""
"=""5d10.7d""","=""2D""","=""3/2""","=""""","=""8.36514""","=""""","=""""","=""0.0693""","=""""","=""L3466"""
"=""5d10.7d""","=""2D""","=""5/2""","=""""","=""8.37026""","=""""","=""""","=""0.0051""","=""""","=""L3466"""
"=""5d10.5f""","=""2F*""","=""7/2""","=""""","=""8.36711""","=""""","=""""","=""-0.0031""","=""""","=""L3466"""
"=""5d10.5f""","=""2F*""","=""5/2""","=""""","=""8.36769""","=""""","=""""","=""0.0006""","=""""","=""L3466"""
"=""5d9.6s.(3D<3>).7s""","=""4D""","=""7/2""","=""""","=""8.40755""","=""""","=""""","=""0.0399""","=""1.423""","=""L3466"""
"=""5d9.6s.(3D<3>).7s""","=""4D""","=""5/2""","=""""","=""8.51835""","=""""","=""""","=""0.1108""","=""1.270""","=""L3466"""
"=""5d10.9s""","=""2S""","=""1/2""","=""""","=""8.51530""","=""""","=""""","=""-0.0030""","=""""","=""L3466"""
"=""5d10.8d""","=""2D""","=""3/2""","=""""","=""8.67534""","=""""","=""""","=""0.1600""","=""""","=""L3466"""
"=""5d10.8d""","=""2D""","=""5/2""","=""""","=""8.67984""","=""""","=""""","=""0.0045""","=""""","=""L3466"""
"=""5d10.10s""","=""2S""","=""1/2""","=""""","=""8.75543""","=""""","=""""","=""0.0756""","=""""","=""L3466"""
"=""5d9.6s.(3D<2>).7s""","=""4D""","=""3/2""","=""""","=""8.75989""","=""""","=""""","=""0.0045""","=""0.905""","=""L3466"""
"=""5d9.6s.(3D<2>).7s""","=""2D""","=""5/2""","=""""","=""8.83040""","=""""","=""""","=""0.0705""","=""""","=""L3466"""
"=""5d10.9d""","=""2D""","=""3/2""","=""""","=""8.84682""","=""""","=""""","=""0.0164""","=""""","=""L3466"""
"=""5d10.9d""","=""2D""","=""5/2""","=""""","=""8.85004""","=""""","=""""","=""0.0032""","=""""","=""L3466"""
"=""5d10.11s""","=""2S""","=""1/2""","=""""","=""8.89138""","=""""","=""""","=""0.0413""","=""""","=""L3466"""
"=""5d10.10d""","=""2D""","=""3/2""","=""""","=""8.94717""","=""""","=""""","=""0.0558""","=""""","=""L3466"""
"=""5d10.10d""","=""2D""","=""5/2""","=""""","=""8.94804""","=""""","=""""","=""0.0009""","=""""","=""L3466"""
