Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5d10""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""""","=""L11702"""
"=""5d9.6s""","=""3D""","=""3""","=""""","=""1.8646693""","=""""","=""""","=""1.8646693""","=""""","=""L11702"""
"=""5d9.6s""","=""3D""","=""2""","=""""","=""2.1871576""","=""""","=""""","=""0.322488""","=""""","=""L11702"""
"=""5d9.6s""","=""3D""","=""1""","=""""","=""3.4425152""","=""""","=""""","=""1.255358""","=""""","=""L11702"""
"=""5d9.6s""","=""1D""","=""2""","=""""","=""3.6725668""","=""""","=""""","=""0.230052""","=""1.04""","=""L11702"""
"=""5d8.6s2""","=""3F""","=""4""","=""""","=""5.0187254""","=""""","=""""","=""1.346159""","=""1.13""","=""L11702"""
"=""5d8.6s2""","=""3F""","=""3""","=""""","=""6.4690625""","=""""","=""""","=""1.450337""","=""1.15""","=""L11702"""
"=""5d8.6s2""","=""""","=""2""","=""""","=""6.0145843""","=""""","=""""","=""-0.454478""","=""1.02""","=""L11702"""
"=""5d8.6s2""","=""""","=""2""","=""""","=""7.2148426""","=""""","=""""","=""1.200258""","=""1.08""","=""L11702"""
"=""5d8.6s2""","=""3P""","=""0""","=""""","=""7.2593028""","=""""","=""""","=""0.044460""","=""""","=""L11702"""
"=""5d8.6s2""","=""3P""","=""1""","=""""","=""7.6559522""","=""""","=""""","=""0.396649""","=""""","=""L11702"""
"=""5d9.6p""","=""(5/2,1/2)*""","=""2""","=""""","=""7.8176151""","=""""","=""""","=""0.161663""","=""1.45""","=""L11702"""
"=""5d9.6p""","=""(5/2,1/2)*""","=""3""","=""""","=""8.0594185""","=""""","=""""","=""0.241803""","=""1.04""","=""L11702"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""4""","=""""","=""8.9882505""","=""""","=""""","=""0.928832""","=""1.15""","=""L11702"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""2""","=""""","=""9.0729518""","=""""","=""""","=""0.084701""","=""1.12""","=""L11702"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""3""","=""""","=""9.2729613""","=""""","=""""","=""0.200010""","=""1.30""","=""L11702"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""1""","=""""","=""10.1245283""","=""""","=""""","=""0.851567""","=""""","=""L11702"""
"=""5d9.6p""","=""(3/2,1/2)*""","=""1""","=""""","=""9.1009161""","=""""","=""""","=""-1.023612""","=""1.04""","=""L11702"""
"=""5d9.6p""","=""(3/2,1/2)*""","=""2""","=""""","=""9.5045915""","=""""","=""""","=""0.403675""","=""1.38""","=""L11702"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""0""","=""""","=""10.2428034""","=""""","=""""","=""0.738212""","=""""","=""L11702"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""3""","=""""","=""10.6254707""","=""""","=""""","=""0.382667""","=""""","=""L11702"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""1""","=""""","=""10.6263844""","=""""","=""""","=""0.000914""","=""1.11""","=""L11702"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""2""","=""""","=""10.7327748""","=""""","=""""","=""0.106390""","=""1.29""","=""L11702"""
"=""5d9.7s""","=""(5/2,1/2)""","=""3""","=""""","=""13.4117367""","=""""","=""""","=""2.678962""","=""1.20""","=""L11702"""
"=""5d9.7s""","=""(5/2,1/2)""","=""2""","=""""","=""13.4685823""","=""""","=""""","=""0.056846""","=""0.95""","=""L11702"""
"=""5d9.6d""","=""(5/2,3/2)""","=""1""","=""""","=""14.388434""","=""""","=""""","=""0.919852""","=""""","=""L11702"""
"=""5d9.6d""","=""(5/2,3/2)""","=""4""","=""""","=""14.4994966""","=""""","=""""","=""0.111063""","=""""","=""L11702"""
"=""5d9.6d""","=""(5/2,3/2)""","=""2""","=""""","=""14.5142882""","=""""","=""""","=""0.014792""","=""""","=""L11702"""
"=""5d9.6d""","=""(5/2,3/2)""","=""3""","=""""","=""14.5696309""","=""""","=""""","=""0.055343""","=""""","=""L11702"""
"=""5d9.7p""","=""(5/2,1/2)*""","=""2""","=""""","=""14.809479""","=""""","=""""","=""0.239848""","=""""","=""L11702"""
"=""5d9.7p""","=""(5/2,1/2)*""","=""3""","=""""","=""14.9099826""","=""""","=""""","=""0.100504""","=""""","=""L11702"""
"=""5d9.7s""","=""(3/2,1/2)""","=""1""","=""""","=""14.9801338""","=""""","=""""","=""0.070151""","=""""","=""L11702"""
"=""5d9.7s""","=""(3/2,1/2)""","=""2""","=""""","=""15.0168147""","=""""","=""""","=""0.036681""","=""""","=""L11702"""
"=""5d9.7p""","=""(5/2,3/2)*""","=""2""","=""""","=""15.09932""","=""""","=""""","=""0.08251""","=""""","=""L3466"""
"=""5d9.7p""","=""(5/2,3/2)*""","=""1""","=""""","=""15.10896""","=""""","=""""","=""0.0096""","=""""","=""L3466"""
"=""5d9.7p""","=""(5/2,3/2)*""","=""4""","=""""","=""15.25772""","=""""","=""""","=""0.1488""","=""""","=""L3466"""
"=""5d9.7p""","=""(5/2,3/2)*""","=""3""","=""""","=""15.29268""","=""""","=""""","=""0.0350""","=""1.03""","=""L3466"""
"=""Au III (5d9 2D<5/2>)""","=""Limit""","=""---""","=""""","=""20.203""","=""""","=""0.025""","=""""","=""""","=""L11702"""
