Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""1s2.2s2""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  93                      :     7  1s2.2p2    1S   ""","=""L12120"""
"=""1s2.2s.2p""","=""3P*""","=""0""","=""""","=""4.629017""","=""""","=""0.000005""","=""4.629017""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.2p""","=""3P*""","=""1""","=""""","=""4.629775""","=""""","=""0.000004""","=""0.000758""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.2p""","=""3P*""","=""2""","=""""","=""4.631777""","=""""","=""0.000004""","=""0.002002""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.2p""","=""1P*""","=""1""","=""""","=""9.100007""","=""""","=""0.000004""","=""4.468230""","=""  97                                               ""","=""L12120"""
"=""1s2.2p2""","=""3P""","=""0""","=""""","=""12.263448""","=""""","=""0.000005""","=""3.163441""","="" 100                                               ""","=""L12120"""
"=""1s2.2p2""","=""3P""","=""1""","=""""","=""12.264501""","=""""","=""0.000004""","=""0.001053""","="" 100                                               ""","=""L12120"""
"=""1s2.2p2""","=""3P""","=""2""","=""""","=""12.266161""","=""""","=""0.000004""","=""0.001660""","="" 100                                               ""","=""L12120"""
"=""1s2.2p2""","=""1D""","=""2""","=""""","=""12.691366""","=""""","=""0.000004""","=""0.425205""","=""  94                                               ""","=""L12120"""
"=""1s2.2p2""","=""1S""","=""0""","=""""","=""15.827970""","=""""","=""0.000004""","=""3.136604""","=""  80                      :    15  1s2.2s.3s  1S   ""","=""L12120"""
"=""1s2.2s.3s""","=""3S""","=""1""","=""""","=""16.089904""","=""""","=""0.000022""","=""0.26193""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.3s""","=""1S""","=""0""","=""""","=""17.062984""","=""""","=""0.000020""","=""0.97308""","=""  81                      :    11  1s2.2p2    1S   ""","=""L12120"""
"=""1s2.2s.3p""","=""3P*""","=""0""","=""""","=""17.852479""","=""""","=""0.000022""","=""0.78949""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.3p""","=""3P*""","=""1""","=""""","=""17.852554""","=""""","=""0.000022""","=""0.00008""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.3p""","=""3P*""","=""2""","=""""","=""17.852994""","=""""","=""0.000022""","=""0.00044""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.3p""","=""1P*""","=""1""","=""""","=""17.866488""","=""""","=""0.000009""","=""0.01349""","=""  91                      :     7  1s2.2p.3s  1P*  ""","=""L12120"""
"=""1s2.2s.3d""","=""3D""","=""3""","=""""","=""18.678180""","=""""","=""0.000020""","=""0.81169""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.3d""","=""3D""","=""2""","=""""","=""18.678180""","=""""","=""0.000020""","=""0.00000""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.3d""","=""3D""","=""1""","=""""","=""18.678180""","=""""","=""0.000020""","=""0.00000""","=""  98                                               ""","=""L12120"""
"=""1s2.2s.3d""","=""1D""","=""2""","=""""","=""19.178635""","=""""","=""0.000009""","=""0.50045""","=""  94                                               ""","=""L12120"""
