Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""1s2""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0.000009""","=""""","="" 100                        ""","=""L12548"""
"=""1s.2s""","=""3S""","=""1""","=""[""","=""198.5676""","=""]""","=""0.0012""","=""198.568""","="" 100                        ""","=""L12548c207"""
"=""1s.2s""","=""1S""","=""0""","=""[""","=""202.8052""","=""]""","=""0.0014""","=""4.238""","="" 100                        ""","=""L12548c207"""
"=""1s.2p""","=""3P*""","=""1""","=""[""","=""202.9538""","=""]""","=""0.0012""","=""0.149""","="" 100                        ""","=""L12548c207"""
"=""1s.2p""","=""3P*""","=""0""","=""[""","=""202.9558""","=""]""","=""0.0012""","=""0.002""","="" 100                        ""","=""L12548c207"""
"=""1s.2p""","=""3P*""","=""2""","=""[""","=""202.9604""","=""]""","=""0.0012""","=""0.005""","="" 100                        ""","=""L12548c207"""
"=""1s.2p""","=""1P*""","=""1""","=""[""","=""205.5652""","=""]""","=""0.0012""","=""2.605""","="" 100                        ""","=""L12548c207"""
"=""1s.3s""","=""3S""","=""1""","=""[""","=""233.4329""","=""]""","=""0.0010""","=""27.868""","="" 100                        ""","=""L12548c207"""
"=""1s.3s""","=""1S""","=""0""","=""[""","=""234.5527""","=""]""","=""0.0016""","=""1.120""","=""  99                        ""","=""L12548c207"""
"=""1s.3p""","=""3P*""","=""0""","=""[""","=""234.6087""","=""]""","=""0.0005""","=""0.056""","="" 100                        ""","=""L12548c207"""
"=""1s.3p""","=""3P*""","=""1""","=""[""","=""234.6087""","=""]""","=""0.0005""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.3p""","=""3P*""","=""2""","=""[""","=""234.6087""","=""]""","=""0.0005""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.3d""","=""3D""","=""1""","=""[""","=""235.1615""","=""]""","=""0.0005""","=""0.5528""","="" 100                        ""","=""L12548c207"""
"=""1s.3d""","=""3D""","=""2""","=""[""","=""235.1615""","=""]""","=""0.0005""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.3d""","=""3D""","=""3""","=""[""","=""235.1615""","=""]""","=""0.0005""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.3d""","=""1D""","=""2""","=""[""","=""235.1796""","=""]""","=""0.0006""","=""0.0181""","="" 100                        ""","=""L12548c207"""
"=""1s.3p""","=""1P*""","=""1""","=""[""","=""235.3519""","=""]""","=""0.0012""","=""0.172""","="" 100                        ""","=""L12548c207"""
"=""1s.4s""","=""3S""","=""1""","=""[""","=""245.04952""","=""]""","=""0.00017""","=""9.6976""","="" 100                        ""","=""L12548c207"""
"=""1s.4s""","=""1S""","=""0""","=""[""","=""245.5020""","=""]""","=""0.0012""","=""0.4525""","=""  99                        ""","=""L12548c207"""
"=""1s.4p""","=""3P*""","=""0""","=""[""","=""245.52736""","=""]""","=""0.00012""","=""0.025""","="" 100                        ""","=""L12548c207"""
"=""1s.4p""","=""3P*""","=""1""","=""[""","=""245.52736""","=""]""","=""0.00012""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.4p""","=""3P*""","=""2""","=""[""","=""245.52736""","=""]""","=""0.00012""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.4d""","=""3D""","=""1""","=""[""","=""245.75662""","=""]""","=""0.00014""","=""0.2293""","="" 100                        ""","=""L12548c207"""
"=""1s.4d""","=""3D""","=""2""","=""[""","=""245.75662""","=""]""","=""0.00014""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.4d""","=""3D""","=""3""","=""[""","=""245.75662""","=""]""","=""0.00014""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.4d""","=""1D""","=""2""","=""[""","=""245.7663""","=""]""","=""0.0011""","=""0.0097""","="" 100                        ""","=""L12548c207"""
"=""1s.4f""","=""3F*""","=""2""","=""[""","=""245.7682""","=""]""","=""0.0025""","=""0.002""","="" 100                        ""","=""L12548c207"""
"=""1s.4f""","=""3F*""","=""3""","=""[""","=""245.7682""","=""]""","=""0.0025""","=""0.000""","=""  70         :    30   1F*  ""","=""L12548c207"""
"=""1s.4f""","=""3F*""","=""4""","=""[""","=""245.7682""","=""]""","=""0.0025""","=""0.000""","="" 100                        ""","=""L12548c207"""
"=""1s.4f""","=""1F*""","=""3""","=""[""","=""245.76842""","=""]""","=""0.00021""","=""0.000""","=""  70         :    30   3F*  ""","=""L12548c207"""
"=""1s.4p""","=""1P*""","=""1""","=""[""","=""245.8357""","=""]""","=""0.0012""","=""0.0673""","="" 100                        ""","=""L12548c207"""
"=""1s.5s""","=""3S""","=""1""","=""[""","=""250.30375""","=""]""","=""0.00014""","=""4.4681""","="" 100                        ""","=""L12548c207"""
"=""1s.5s""","=""1S""","=""0""","=""[""","=""250.5302""","=""]""","=""0.0012""","=""0.2264""","=""  99                        ""","=""L12548c207"""
"=""1s.5p""","=""3P*""","=""0""","=""[""","=""250.54381""","=""]""","=""0.00014""","=""0.0136""","="" 100                        ""","=""L12548c207"""
"=""1s.5p""","=""3P*""","=""1""","=""[""","=""250.54381""","=""]""","=""0.00014""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.5p""","=""3P*""","=""2""","=""[""","=""250.54381""","=""]""","=""0.00014""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.5d""","=""3D""","=""1""","=""[""","=""250.66009""","=""]""","=""0.00009""","=""0.1163""","="" 100                        ""","=""L12548c207"""
"=""1s.5d""","=""3D""","=""2""","=""[""","=""250.66009""","=""]""","=""0.00009""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.5d""","=""3D""","=""3""","=""[""","=""250.66009""","=""]""","=""0.00009""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.5d""","=""1D""","=""2""","=""[""","=""250.6652""","=""]""","=""0.0012""","=""0.005""","="" 100                        ""","=""L12548c207"""
"=""1s.5f""","=""3F*""","=""2""","=""[""","=""250.66662""","=""]""","=""0.00012""","=""0.001""","="" 100                        ""","=""L12548c207"""
"=""1s.5f""","=""3F*""","=""3""","=""[""","=""250.66662""","=""]""","=""0.00012""","=""0.0000""","=""  80         :    20   1F*  ""","=""L12548c207"""
"=""1s.5f""","=""3F*""","=""4""","=""[""","=""250.66662""","=""]""","=""0.00012""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.5f""","=""1F*""","=""3""","=""[""","=""250.66670""","=""]""","=""0.00016""","=""0.0001""","=""  80         :    20   3F*  ""","=""L12548c207"""
"=""1s.5g""","=""1G""","=""4""","=""[""","=""250.66711""","=""]""","=""0.00009""","=""0.0004""","=""  55         :    45   3G   ""","=""L12548c207"""
"=""1s.5g""","=""3G""","=""3""","=""[""","=""250.66711""","=""]""","=""0.00009""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.5g""","=""3G""","=""4""","=""[""","=""250.66711""","=""]""","=""0.00009""","=""0.0000""","=""  55         :    45   1G   ""","=""L12548c207"""
"=""1s.5g""","=""3G""","=""5""","=""[""","=""250.66711""","=""]""","=""0.00009""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.5p""","=""1P*""","=""1""","=""[""","=""250.7001""","=""]""","=""0.0012""","=""0.033""","="" 100                        ""","=""L12548c207"""
"=""1s.6s""","=""3S""","=""1""","=""[""","=""253.11925""","=""]""","=""0.00015""","=""2.4192""","="" 100                        ""","=""L12548c207"""
"=""1s.6s""","=""1S""","=""0""","=""[""","=""253.2486""","=""]""","=""0.0012""","=""0.1294""","=""  99                        ""","=""L12548c207"""
"=""1s.6p""","=""3P*""","=""0""","=""[""","=""253.25652""","=""]""","=""0.00015""","=""0.0079""","="" 100                        ""","=""L12548c207"""
"=""1s.6p""","=""3P*""","=""1""","=""[""","=""253.25652""","=""]""","=""0.00015""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.6p""","=""3P*""","=""2""","=""[""","=""253.25652""","=""]""","=""0.00015""","=""0.0000""","="" 100                        ""","=""u45"""
"=""1s.6d""","=""3D""","=""1""","=""[""","=""253.32330""","=""]""","=""0.00015""","=""0.0668""","="" 100                        ""","=""L12548c207"""
"=""1s.6d""","=""3D""","=""2""","=""[""","=""253.32330""","=""]""","=""0.00015""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.6d""","=""3D""","=""3""","=""[""","=""253.32330""","=""]""","=""0.00015""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.6d""","=""1D""","=""2""","=""[""","=""253.3263""","=""]""","=""0.0012""","=""0.0030""","="" 100                        ""","=""L12548c207"""
"=""1s.6f""","=""3F*""","=""2""","=""[""","=""253.32738""","=""]""","=""0.00011""","=""0.001""","="" 100                        ""","=""L12548c207"""
"=""1s.6f""","=""3F*""","=""3""","=""[""","=""253.32738""","=""]""","=""0.00011""","=""0.0000""","=""  85         :    15   1F*  ""","=""L12548c207"""
"=""1s.6f""","=""3F*""","=""4""","=""[""","=""253.32738""","=""]""","=""0.00011""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.6f""","=""1F*""","=""3""","=""[""","=""253.32743""","=""]""","=""0.00017""","=""0.0000""","=""  85         :    15   3F*  ""","=""L12548c207"""
"=""1s.6g""","=""1G""","=""4""","=""[""","=""253.32770""","=""]""","=""0.00014""","=""0.0003""","="" 100                        ""","=""L12548c207"""
"=""1s.6g""","=""3G""","=""3""","=""[""","=""253.32770""","=""]""","=""0.00014""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.6g""","=""3G""","=""4""","=""[""","=""253.32770""","=""]""","=""0.00014""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.6g""","=""3G""","=""5""","=""[""","=""253.32770""","=""]""","=""0.00014""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.6h""","=""1H*""","=""5""","=""[""","=""253.32802""","=""]""","=""0.00015""","=""0.0003""","=""  61         :    39   3H*  ""","=""L12548c207"""
"=""1s.6h""","=""3H*""","=""4""","=""[""","=""253.32802""","=""]""","=""0.00015""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.6h""","=""3H*""","=""5""","=""[""","=""253.32802""","=""]""","=""0.00015""","=""0.0000""","=""  61         :    39   1H*  ""","=""L12548c207"""
"=""1s.6h""","=""3H*""","=""6""","=""[""","=""253.32802""","=""]""","=""0.00015""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.6p""","=""1P*""","=""1""","=""[""","=""253.3469""","=""]""","=""0.0005""","=""0.0189""","="" 100                        ""","=""u45"""
"=""1s.7s""","=""3S""","=""1""","=""[""","=""254.80136""","=""]""","=""0.00012""","=""1.4545""","="" 100                        ""","=""u45"""
"=""1s.7s""","=""1S""","=""0""","=""[""","=""254.8813""","=""]""","=""0.0009""","=""0.0799""","=""  99                        ""","=""u45"""
"=""1s.7p""","=""3P*""","=""2""","=""[""","=""254.88717""","=""]""","=""0.00012""","=""0.0059""","="" 100                        ""","=""u45"""
"=""1s.7p""","=""3P*""","=""0""","=""[""","=""254.88720""","=""]""","=""0.00012""","=""0.0000""","="" 100                        ""","=""u45"""
"=""1s.7p""","=""3P*""","=""1""","=""[""","=""254.88721""","=""]""","=""0.00012""","=""0.0000""","="" 100                        ""","=""u45"""
"=""1s.7d""","=""3D""","=""1""","=""[""","=""254.9288""","=""]""","=""0.0007""","=""0.0416""","="" 100                        ""","=""L12548c207"""
"=""1s.7d""","=""3D""","=""2""","=""[""","=""254.9288""","=""]""","=""0.0007""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.7d""","=""3D""","=""3""","=""[""","=""254.9288""","=""]""","=""0.0007""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.7d""","=""1D""","=""2""","=""[""","=""254.9312""","=""]""","=""0.0004""","=""0.0024""","="" 100                        ""","=""u45"""
"=""1s.7f""","=""1F*""","=""3""","=""[""","=""254.93154""","=""]""","=""0.00011""","=""0.0003""","=""  79         :    21   3F*  ""","=""L12548c207"""
"=""1s.7f""","=""3F*""","=""2""","=""[""","=""254.93154""","=""]""","=""0.00011""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.7f""","=""3F*""","=""3""","=""[""","=""254.93154""","=""]""","=""0.00011""","=""0.0000""","=""  79         :    21   1F*  ""","=""L12548c207"""
"=""1s.7f""","=""3F*""","=""4""","=""[""","=""254.93154""","=""]""","=""0.00011""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.7g""","=""1G""","=""4""","=""[""","=""254.93176""","=""]""","=""0.00016""","=""0.0002""","="" 100                        ""","=""L12548c207"""
"=""1s.7g""","=""3G""","=""3""","=""[""","=""254.93176""","=""]""","=""0.00016""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.7g""","=""3G""","=""4""","=""[""","=""254.93176""","=""]""","=""0.00016""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.7g""","=""3G""","=""5""","=""[""","=""254.93176""","=""]""","=""0.00016""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.7i""","=""1I""","=""6""","=""[""","=""254.93192""","=""]""","=""0.00025""","=""0.0002""","=""  54         :    46   3I   ""","=""u48"""
"=""1s.7i""","=""3I""","=""5""","=""[""","=""254.93192""","=""]""","=""0.00025""","=""0.0000""","="" 100                        ""","=""u48"""
"=""1s.7i""","=""3I""","=""6""","=""[""","=""254.93192""","=""]""","=""0.00025""","=""0.0000""","=""  54         :    46   1I   ""","=""u48"""
"=""1s.7i""","=""3I""","=""7""","=""[""","=""254.93192""","=""]""","=""0.00025""","=""0.0000""","="" 100                        ""","=""u48"""
"=""1s.7h""","=""1H*""","=""5""","=""[""","=""254.93227""","=""]""","=""0.00014""","=""0.0003""","=""  62         :    38   3H*  ""","=""L12548c207"""
"=""1s.7h""","=""3H*""","=""4""","=""[""","=""254.93227""","=""]""","=""0.00014""","=""0.0000""","="" 100                        ""","=""L12548c207"""
"=""1s.7h""","=""3H*""","=""5""","=""[""","=""254.93227""","=""]""","=""0.00014""","=""0.0000""","=""  62         :    38   1H*  ""","=""L12548c207"""
"=""1s.7h""","=""3H*""","=""6""","=""[""","=""254.93227""","=""]""","=""0.00014""","=""0.0000""","="" 100                        ""","=""L12548c207"""
