Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""1s""","=""2S""","=""1/2""","=""""","=""0.0000000""","=""""","=""0.0000006""","=""""","="" 100                    ""","="""""
"=""2p""","=""2P*""","=""1/2""","=""(""","=""255.1592460""","="")""","=""0.0000006""","=""255.1592460""","="" 100                    ""","=""L19200"""
"=""2p""","=""2P*""","=""3/2""","=""(""","=""255.187634988""","="")""","=""0.0000006""","=""0.02838899""","="" 100                    ""","=""L19200"""
"=""2s""","=""2S""","=""1/2""","=""(""","=""255.1609190""","="")""","=""0.0000006""","=""-0.02671599""","="" 100                    ""","=""L19200"""
"=""3p""","=""2P*""","=""1/2""","=""(""","=""302.42171956""","="")""","=""0.00000006""","=""47.2608006""","="" 100                    ""","=""L12548,L19200"""
"=""3p""","=""2P*""","=""3/2""","=""(""","=""302.430131242""","="")""","=""0.000000025""","=""0.00841168""","="" 100                    ""","=""L12548,L19200"""
"=""3s""","=""2S""","=""1/2""","=""(""","=""302.42221880""","="")""","=""0.00000011""","=""-0.00791244""","="" 100                    ""","=""L12548,L19200"""
"=""3d""","=""2D""","=""3/2""","=""(""","=""302.4301172788""","="")""","=""0.0000000012""","=""0.00789848""","="" 100                    ""","=""L12548,L19200"""
"=""3d""","=""2D""","=""5/2""","=""(""","=""302.4329194878""","="")""","=""0.0000000012""","=""0.002802209""","="" 100                    ""","=""L12548,L19200"""
"=""4p""","=""2P*""","=""1/2""","=""(""","=""318.962431200""","="")""","=""0.000000025""","=""16.52951171""","="" 100                    ""","=""L12548,L19200"""
"=""4p""","=""2P*""","=""3/2""","=""(""","=""318.965979777""","="")""","=""0.000000012""","=""0.00354858""","="" 100                    ""","=""L12548,L19200"""
"=""4s""","=""2S""","=""1/2""","=""(""","=""318.96264242""","="")""","=""0.00000005""","=""-0.00333736""","="" 100                    ""","=""L12548,L19200"""
"=""4d""","=""2D""","=""3/2""","=""(""","=""318.96597381""","="")""","=""0.00000005""","=""0.00333139""","="" 100                    ""","=""L12548,L19200"""
"=""4d""","=""2D""","=""5/2""","=""(""","=""318.96715603""","="")""","=""0.00000005""","=""0.00118222""","="" 100                    ""","=""L12548,L19200"""
"=""4f""","=""2F*""","=""5/2""","=""(""","=""318.967153895""","="")""","=""0.000000012""","=""-0.00000213""","="" 100                    ""","=""L12548,L19200"""
"=""4f""","=""2F*""","=""7/2""","=""(""","=""318.967744915""","="")""","=""0.000000012""","=""0.00059102""","="" 100                    ""","=""L12548,L19200"""
"=""5p""","=""2P*""","=""1/2""","=""(""","=""326.617924998""","="")""","=""0.000000012""","=""7.65018008""","="" 100                    ""","=""L12548,L19200"""
"=""5p""","=""2P*""","=""3/2""","=""(""","=""326.619741814""","="")""","=""0.000000007""","=""0.00181682""","="" 100                    ""","=""L12548,L19200"""
"=""5s""","=""2S""","=""1/2""","=""(""","=""326.618033299""","="")""","=""0.000000025""","=""-0.00170852""","="" 100                    ""","=""L12548,L19200"""
"=""5d""","=""2D""","=""3/2""","=""(""","=""326.619738738""","="")""","=""0.000000025""","=""0.00170544""","="" 100                    ""","=""L12548,L19200"""
"=""5d""","=""2D""","=""5/2""","=""(""","=""326.620344029""","="")""","=""0.000000025""","=""0.00060529""","="" 100                    ""","=""L12548,L19200"""
"=""5f""","=""2F*""","=""5/2""","=""(""","=""326.620342938""","="")""","=""0.000000012""","=""-0.00000109""","="" 100                    ""","=""L12548,L19200"""
"=""5f""","=""2F*""","=""7/2""","=""(""","=""326.620645534""","="")""","=""0.000000012""","=""0.00030260""","="" 100                    ""","=""L12548,L19200"""
"=""5g""","=""2G""","=""7/2""","=""(""","=""326.620644967""","="")""","=""0.000000004""","=""-0.00000057""","="" 100                    ""","=""L12548,L19200"""
"=""5g""","=""2G""","=""9/2""","=""(""","=""326.620826520""","="")""","=""0.000000004""","=""0.000181553""","="" 100                    ""","=""L12548,L19200"""
"=""6p""","=""2P*""","=""1/2""","=""(""","=""330.776259196""","="")""","=""0.000000011""","=""4.15543268""","="" 100                    ""","=""L12548,L19200"""
"=""6p""","=""2P*""","=""3/2""","=""(""","=""330.777310569""","="")""","=""0.000000009""","=""0.00105137""","="" 100                    ""","=""L12548,L19200"""
"=""6s""","=""2S""","=""1/2""","=""(""","=""330.776321910""","="")""","=""0.000000012""","=""-0.00098866""","="" 100                    ""","=""L12548,L19200"""
"=""6d""","=""2D""","=""3/2""","=""(""","=""330.777308775""","="")""","=""0.000000025""","=""0.00098687""","="" 100                    ""","=""L12548,L19200"""
"=""6d""","=""2D""","=""5/2""","=""(""","=""330.777659055""","="")""","=""0.000000025""","=""0.00035028""","="" 100                    ""","=""L12548,L19200"""
"=""6f""","=""2F*""","=""5/2""","=""(""","=""330.777658422""","="")""","=""0.000000012""","=""-0.00000063""","="" 100                    ""","=""L12548,L19200"""
"=""6f""","=""2F*""","=""7/2""","=""(""","=""330.777833538""","="")""","=""0.000000012""","=""0.00017512""","="" 100                    ""","=""L12548,L19200"""
"=""6g""","=""2G""","=""7/2""","=""(""","=""330.777833204""","="")""","=""0.000000004""","=""-0.00000033""","="" 100                    ""","=""L12548,L19200"""
"=""6g""","=""2G""","=""9/2""","=""(""","=""330.777938270""","="")""","=""0.000000004""","=""0.000105066""","="" 100                    ""","=""L12548,L19200"""
"=""6h""","=""2H*""","=""9/2""","=""(""","=""330.7779380646""","="")""","=""0.0000000010""","=""-0.000000205""","="" 100                    ""","=""L12548,L19200"""
"=""6h""","=""2H*""","=""11/2""","=""(""","=""330.7780081064""","="")""","=""0.0000000010""","=""0.000070042""","="" 100                    ""","=""L12548,L19200"""
"=""7p""","=""2P*""","=""1/2""","=""(""","=""333.283508424""","="")""","=""0.000000010""","=""2.50550032""","="" 100                    ""","=""L12548,L19200"""
"=""7p""","=""2P*""","=""3/2""","=""(""","=""333.284170499""","="")""","=""0.000000009""","=""0.00066208""","="" 100                    ""","=""L12548,L19200"""
"=""7s""","=""2S""","=""1/2""","=""(""","=""333.283547939""","="")""","=""0.000000010""","=""-0.00062256""","="" 100                    ""","=""L12548,L19200"""
"=""7d""","=""2D""","=""3/2""","=""(""","=""333.284169360""","="")""","=""0.000000012""","=""0.00062142""","="" 100                    ""","=""L12548,L19200"""
"=""7d""","=""2D""","=""5/2""","=""(""","=""333.284389941""","="")""","=""0.000000012""","=""0.00022058""","="" 100                    ""","=""L12548,L19200"""
"=""7f""","=""2F*""","=""5/2""","=""(""","=""333.284389543""","="")""","=""0.000000010""","=""-0.00000040""","="" 100                    ""","=""L12548,L19200"""
"=""7f""","=""2F*""","=""7/2""","=""(""","=""333.284499822""","="")""","=""0.000000010""","=""0.00011028""","="" 100                    ""","=""L12548,L19200"""
"=""7g""","=""2G""","=""7/2""","=""(""","=""333.284499612""","="")""","=""0.000000004""","=""-0.00000021""","="" 100                    ""","=""L12548,L19200"""
"=""7g""","=""2G""","=""9/2""","=""(""","=""333.284565776""","="")""","=""0.000000004""","=""0.000066164""","="" 100                    ""","=""L12548,L19200"""
"=""7h""","=""2H*""","=""9/2""","=""(""","=""333.2845656465""","="")""","=""0.0000000012""","=""-0.000000129""","="" 100                    ""","=""L12548,L19200"""
"=""7h""","=""2H*""","=""11/2""","=""(""","=""333.2846097551""","="")""","=""0.0000000012""","=""0.000044109""","="" 100                    ""","=""L12548,L19200"""
"=""7i""","=""2I""","=""11/2""","=""(""","=""333.2846096659""","="")""","=""0.0000000004""","=""-0.000000089""","="" 100                    ""","=""L12548,L19200"""
"=""7i""","=""2I""","=""13/2""","=""(""","=""333.2846411713""","="")""","=""0.0000000004""","=""0.0000315054""","="" 100                    ""","=""L12548,L19200"""
"=""8p""","=""2P*""","=""1/2""","=""(""","=""334.910761243""","="")""","=""0.000000007""","=""1.626120072""","="" 100                    ""","=""L12548,L19200"""
"=""8p""","=""2P*""","=""3/2""","=""(""","=""334.911204773""","="")""","=""0.000000007""","=""0.000443530""","="" 100                    ""","=""L12548,L19200"""
"=""8s""","=""2S""","=""1/2""","=""(""","=""334.910787724""","="")""","=""0.000000006""","=""-0.000417049""","="" 100                    ""","=""L12548,L19200"""
"=""8d""","=""2D""","=""3/2""","=""(""","=""334.911204007""","="")""","=""0.000000009""","=""0.00041628""","="" 100                    ""","=""L12548,L19200"""
"=""8d""","=""2D""","=""5/2""","=""(""","=""334.911351783""","="")""","=""0.000000009""","=""0.00014778""","="" 100                    ""","=""L12548,L19200"""
"=""8f""","=""2F*""","=""5/2""","=""(""","=""334.911351511""","="")""","=""0.000000007""","=""-0.00000027""","="" 100                    ""","=""L12548,L19200"""
"=""8f""","=""2F*""","=""7/2""","=""(""","=""334.911425391""","="")""","=""0.000000007""","=""0.000073880""","="" 100                    ""","=""L12548,L19200"""
"=""8g""","=""2G""","=""7/2""","=""(""","=""334.9114252496""","="")""","=""0.0000000025""","=""-0.000000141""","="" 100                    ""","=""L12548,L19200"""
"=""8g""","=""2G""","=""9/2""","=""(""","=""334.9114695740""","="")""","=""0.0000000025""","=""0.000044324""","="" 100                    ""","=""L12548,L19200"""
"=""8h""","=""2H*""","=""9/2""","=""(""","=""334.9114694872""","="")""","=""0.0000000012""","=""-0.000000087""","="" 100                    ""","=""L12548,L19200"""
"=""8h""","=""2H*""","=""11/2""","=""(""","=""334.9114990363""","="")""","=""0.0000000012""","=""0.000029549""","="" 100                    ""","=""L12548,L19200"""
"=""8i""","=""2I""","=""11/2""","=""(""","=""334.9114989764""","="")""","=""0.0000000005""","=""-0.000000060""","="" 100                    ""","=""L12548,L19200"""
"=""8i""","=""2I""","=""13/2""","=""(""","=""334.9115200826""","="")""","=""0.0000000005""","=""0.0000211062""","="" 100                    ""","=""L12548,L19200"""
"=""8k""","=""2K*""","=""13/2""","=""(""","=""334.91152003955""","="")""","=""0.00000000012""","=""-0.0000000431""","="" 100                    ""","=""L12548,L19200"""
"=""8k""","=""2K*""","=""15/2""","=""(""","=""334.91153586898""","="")""","=""0.00000000012""","=""0.0000158294""","="" 100                    ""","=""L12548,L19200"""
"=""9p""","=""2P*""","=""1/2""","=""(""","=""336.026373867""","="")""","=""0.000000006""","=""1.114837998""","="" 100                    ""","=""L12548,L19200"""
"=""9p""","=""2P*""","=""3/2""","=""(""","=""336.026685368""","="")""","=""0.000000006""","=""0.000311501""","="" 100                    ""","=""L12548,L19200"""
"=""9s""","=""2S""","=""1/2""","=""(""","=""336.026392471""","="")""","=""0.000000005""","=""-0.000292897""","="" 100                    ""","=""L12548,L19200"""
"=""9d""","=""2D""","=""3/2""","=""(""","=""336.026684828""","="")""","=""0.000000006""","=""0.000292357""","="" 100                    ""","=""L12548,L19200"""
"=""9d""","=""2D""","=""5/2""","=""(""","=""336.026788615""","="")""","=""0.000000006""","=""0.000103787""","="" 100                    ""","=""L12548,L19200"""
"=""9f""","=""2F*""","=""5/2""","=""(""","=""336.026788424""","="")""","=""0.000000006""","=""-0.000000191""","="" 100                    ""","=""L12548,L19200"""
"=""9f""","=""2F*""","=""7/2""","=""(""","=""336.026840311""","="")""","=""0.000000006""","=""0.000051887""","="" 100                    ""","=""L12548,L19200"""
"=""9g""","=""2G""","=""7/2""","=""(""","=""336.0268402123""","="")""","=""0.0000000025""","=""-0.000000099""","="" 100                    ""","=""L12548,L19200"""
"=""9g""","=""2G""","=""9/2""","=""(""","=""336.0268713435""","="")""","=""0.0000000025""","=""0.000031131""","="" 100                    ""","=""L12548,L19200"""
"=""9h""","=""2H*""","=""9/2""","=""(""","=""336.0268712820""","="")""","=""0.0000000011""","=""-0.000000061""","="" 100                    ""","=""L12548,L19200"""
"=""9h""","=""2H*""","=""11/2""","=""(""","=""336.0268920353""","="")""","=""0.0000000011""","=""0.000020753""","="" 100                    ""","=""L12548,L19200"""
"=""9i""","=""2I""","=""11/2""","=""(""","=""336.0268919937""","="")""","=""0.0000000005""","=""-0.000000042""","="" 100                    ""","=""L12548,L19200"""
"=""9i""","=""2I""","=""13/2""","=""(""","=""336.0269068172""","="")""","=""0.0000000005""","=""0.0000148235""","="" 100                    ""","=""L12548,L19200"""
"=""9k""","=""2K*""","=""13/2""","=""(""","=""336.02690678688""","="")""","=""0.00000000025""","=""-0.0000000303""","="" 100                    ""","=""L12548,L19200"""
"=""9k""","=""2K*""","=""15/2""","=""(""","=""336.02691790442""","="")""","=""0.00000000025""","=""0.0000111175""","="" 100                    ""","=""L12548,L19200"""
"=""9l""","=""2L""","=""15/2""","=""(""","=""336.02691788139""","="")""","=""0.00000000006""","=""-0.0000000230""","="" 100                    ""","=""L12548,L19200"""
"=""9l""","=""2L""","=""17/2""","=""(""","=""336.02692652832""","="")""","=""0.00000000006""","=""0.00000864693""","="" 100                    ""","=""L12548,L19200"""
"=""10p""","=""2P*""","=""1/2""","=""(""","=""336.824349499""","="")""","=""0.000000005""","=""0.797422971""","="" 100                    ""","=""L12548,L19200"""
"=""10p""","=""2P*""","=""3/2""","=""(""","=""336.824576579""","="")""","=""0.000000005""","=""0.000227080""","="" 100                    ""","=""L12548,L19200"""
"=""10s""","=""2S""","=""1/2""","=""(""","=""336.824363062""","="")""","=""0.000000004""","=""-0.000213517""","="" 100                    ""","=""L12548,L19200"""
"=""10d""","=""2D""","=""3/2""","=""(""","=""336.824576185""","="")""","=""0.000000005""","=""0.000213123""","="" 100                    ""","=""L12548,L19200"""
"=""10d""","=""2D""","=""5/2""","=""(""","=""336.824651845""","="")""","=""0.000000005""","=""0.000075660""","="" 100                    ""","=""L12548,L19200"""
"=""10f""","=""2F*""","=""5/2""","=""(""","=""336.824651706""","="")""","=""0.000000005""","=""-0.000000139""","="" 100                    ""","=""L12548,L19200"""
"=""10f""","=""2F*""","=""7/2""","=""(""","=""336.824689531""","="")""","=""0.000000005""","=""0.000037825""","="" 100                    ""","=""L12548,L19200"""
"=""10g""","=""2G""","=""7/2""","=""(""","=""336.8246894597""","="")""","=""0.0000000025""","=""-0.000000071""","="" 100                    ""","=""L12548,L19200"""
"=""10g""","=""2G""","=""9/2""","=""(""","=""336.8247121537""","="")""","=""0.0000000025""","=""0.000022694""","="" 100                    ""","=""L12548,L19200"""
"=""10h""","=""2H*""","=""9/2""","=""(""","=""336.8247121097""","="")""","=""0.0000000009""","=""-0.000000044""","="" 100                    ""","=""L12548,L19200"""
