Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0.00006""","=""""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""""","=""16.461480""","=""""","=""0.000025""","=""16.46148""","=""         or  :        5p5.5d  (3/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""""","=""16.684320""","=""""","=""0.000025""","=""0.22284""","=""         or  :        5p5.5d  (3/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""17.107729""","=""""","=""0.000025""","=""0.42341""","=""         or  :        5p5.5d  (3/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""18.976354""","=""""","=""0.000025""","=""1.86863""","=""         or  :        5p5.5d  (3/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""""","=""17.225280""","=""""","=""0.000025""","=""-1.75107""","=""         or  :        5p5.5d  (3/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""""","=""17.416416""","=""""","=""0.000025""","=""0.19114""","=""         or  :        5p5.5d  (3/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""17.721060""","=""""","=""0.000025""","=""0.30464""","=""         or  :        5p5.5d  (3/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""18.233967""","=""""","=""0.000025""","=""0.51291""","=""         or  :        5p5.5d  (3/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""""","=""18.862339""","=""""","=""0.000025""","=""0.62837""","=""         or  :        5p5.6s  (3/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""""","=""19.154841""","=""""","=""0.000025""","=""0.29250""","=""         or  :        5p5.6s  (3/2,1/2)* ""","=""L3667"""
"=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""19.432818""","=""""","=""0.000025""","=""0.27798""","=""         or  :        5p5.5d  (1/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""19.975005""","=""""","=""0.000025""","=""0.54219""","=""         or  :        5p5.5d  (1/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""19.776620""","=""""","=""0.000025""","=""-0.19838""","=""         or  :        5p5.5d  (1/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""22.320467""","=""""","=""0.000025""","=""2.54385""","=""         or  :        5p5.5d  (1/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""""","=""20.648827""","=""""","=""0.000025""","=""-1.67164""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""""","=""20.901724""","=""""","=""0.000025""","=""0.25290""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""""","=""20.990171""","=""""","=""0.000025""","=""0.08845""","=""         or  :        5p5.6s  (1/2,1/2)* ""","=""L3667"""
"=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""""","=""21.101184""","=""""","=""0.000025""","=""0.11101""","=""         or  :        5p5.6s  (1/2,1/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""""","=""21.250691""","=""""","=""0.000025""","=""0.14951""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""""","=""21.390112""","=""""","=""0.000025""","=""0.13942""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""""","=""21.291640""","=""""","=""0.000025""","=""-0.09847""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""""","=""22.639340""","=""""","=""0.000025""","=""1.34770""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""""","=""21.793706""","=""""","=""0.000025""","=""-0.84563""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""""","=""22.165472""","=""""","=""0.000025""","=""0.37177""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""""","=""22.018782""","=""""","=""0.000025""","=""-0.14669""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""""","=""23.266950""","=""""","=""0.000025""","=""1.24817""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""""","=""22.258955""","=""""","=""0.000025""","=""-1.00800""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""""","=""22.542332""","=""""","=""0.000025""","=""0.28338""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""""","=""22.654693""","=""""","=""0.000025""","=""0.11236""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""""","=""22.855609""","=""""","=""0.000025""","=""0.20092""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""","=""""","=""23.457228""","=""""","=""0.000025""","=""0.60162""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<1/2>).4f""","=""2[7/2]""","=""4""","=""""","=""23.806445""","=""""","=""0.000025""","=""0.34922""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","=""""","=""23.694887""","=""""","=""0.000025""","=""-0.11156""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""","=""""","=""24.351771""","=""""","=""0.000025""","=""0.65688""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""","=""""","=""24.380663""","=""""","=""0.000025""","=""0.02889""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""","=""""","=""24.872292""","=""""","=""0.000025""","=""0.49163""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""","=""""","=""24.781084""","=""""","=""0.000025""","=""-0.09121""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""0""","=""""","=""24.959135""","=""""","=""0.000025""","=""0.17805""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""","=""""","=""26.885655""","=""""","=""0.000025""","=""1.92652""","=""         or  :        5p5.6d  (3/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""","=""""","=""26.956731""","=""""","=""0.000025""","=""0.07108""","=""         or  :        5p5.6d  (3/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""","=""""","=""27.025489""","=""""","=""0.000025""","=""0.06876""","=""         or  :        5p5.7s  (3/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""""","=""27.132361""","=""""","=""0.000025""","=""0.10687""","=""         or  :        5p5.7s  (3/2,1/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""","=""""","=""27.056452""","=""""","=""0.000025""","=""-0.07591""","=""         or  :        5p5.6d  (3/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""","=""""","=""27.080880""","=""""","=""0.000025""","=""0.02443""","=""         or  :        5p5.6d  (3/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""","=""""","=""27.118506""","=""""","=""0.000025""","=""0.03763""","=""         or  :        5p5.6d  (3/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""","=""""","=""27.616674""","=""""","=""0.000025""","=""0.49817""","=""         or  :        5p5.6d  (3/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""","=""""","=""27.185057""","=""""","=""0.000025""","=""-0.43162""","=""         or  :        5p5.6d  (3/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""","=""""","=""27.257257""","=""""","=""0.000025""","=""0.07220""","=""         or  :        5p5.6d  (3/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""","=""""","=""28.289125""","=""""","=""0.000025""","=""1.03187""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""","=""""","=""28.306915""","=""""","=""0.000025""","=""0.01779""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""","=""""","=""28.314222""","=""""","=""0.000025""","=""0.00731""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""","=""""","=""28.768032""","=""""","=""0.000025""","=""0.45381""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).5f""","=""2[9/2]""","=""5""","=""""","=""28.358208""","=""""","=""0.000025""","=""-0.40982""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""","=""""","=""28.358847""","=""""","=""0.000025""","=""0.00064""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""","=""""","=""28.399643""","=""""","=""0.000025""","=""0.04080""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""","=""""","=""28.517304""","=""""","=""0.000025""","=""0.11766""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""","=""""","=""28.405640""","=""""","=""0.000025""","=""-0.11166""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""","=""""","=""28.448931""","=""""","=""0.000025""","=""0.04329""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).5f""","=""2[7/2]""","=""3""","=""""","=""28.485810""","=""""","=""0.000025""","=""0.03688""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).5f""","=""2[7/2]""","=""4""","=""""","=""28.503582""","=""""","=""0.000025""","=""0.01777""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""","=""""","=""28.538274""","=""""","=""0.000025""","=""0.03469""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""","=""""","=""28.599676""","=""""","=""0.000025""","=""0.06140""","=""                                         ""","=""L3667"""
"=""5p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""","=""""","=""29.209391""","=""""","=""0.000025""","=""0.60972""","=""         or  :        5p5.6d  (1/2,3/2)* ""","=""L3667"""
"=""5p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""","=""""","=""29.312778""","=""""","=""0.000025""","=""0.10339""","=""         or  :        5p5.6d  (1/2,5/2)* ""","=""L3667"""
"=""5p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""","=""""","=""29.220187""","=""""","=""0.000025""","=""-0.09259""","=""         or  :        5p5.7s  (1/2,1/2)* ""","=""L3667"""
"=""5p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""","=""""","=""29.252252""","=""""","=""0.000025""","=""0.03206""","=""         or  :        5p5.7s  (1/2,1/2)* ""","=""L3667"""
"=""5p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""","=""""","=""29.268408""","=""""","=""0.000025""","=""0.01616""","=""         or  :        5p5.6d  (1/2,5/2)* ""","=""L3667"""
