Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5s2.5p5""","=""2P*""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                           ""","=""L11023"""
"=""5s2.5p5""","=""2P*""","=""1/2""","=""""","=""2.17586""","=""""","=""0.00005""","=""2.17586""","=""                                           ""","=""L11023"""
"=""5s.5p6""","=""2S""","=""1/2""","=""""","=""15.59784""","=""""","=""0.00007""","=""13.42198""","=""  63         :    35  5p4.(1D).5d     2S   ""","=""L11023"""
"=""5s2.5p4.(3P).5d""","=""4D""","=""5/2""","=""""","=""17.84900""","=""""","=""0.00015""","=""2.2512""","=""  78         :     6  5p4.(3P).5d     4F   ""","=""L11023"""
"=""5s2.5p4.(3P).5d""","=""4D""","=""3/2""","=""""","=""17.92638""","=""""","=""0.00015""","=""0.0774""","=""  69         :    10  5p4.(3P).5d     4P   ""","=""L11023"""
"=""5s2.5p4.(3P).5d""","=""4D""","=""1/2""","=""""","=""18.16629""","=""""","=""0.00011""","=""0.2399""","=""  57         :    19  5p4.(1D).5d     2P   ""","=""L11023"""
"=""5s2.5p4.(3P).5d""","=""4P""","=""3/2""","=""""","=""19.60761""","=""""","=""0.00011""","=""1.4413""","=""  36         :    17  5p4.(3P).5d     2D   ""","=""L11023"""
"=""5s2.5p4.(3P).5d""","=""4P""","=""1/2""","=""""","=""19.79711""","=""""","=""0.00011""","=""0.1895""","=""  82         :    14  5p4.(3P).5d     4D   ""","=""L11023"""
"=""5s2.5p4.(3P).5d""","=""4P""","=""5/2""","=""""","=""20.30967""","=""""","=""0.00017""","=""0.5126""","=""  54         :    15  5p4.(3P).5d     2F   ""","=""L11023"""
"=""5s2.5p4.(1D).5d""","=""2P""","=""1/2""","=""""","=""19.64697""","=""""","=""0.00017""","=""-0.6627""","=""  32         :    34  5p4.(3P).5d     2P   ""","=""L11023"""
"=""5s2.5p4.(1D).5d""","=""2P""","=""3/2""","=""""","=""20.97077""","=""""","=""0.00012""","=""1.3238""","=""  29         :    29  5p4.(3P).5d     4P   ""","=""L11023"""
"=""5s2.5p4.(3P).5d""","=""4F""","=""5/2""","=""""","=""20.05847""","=""""","=""0.00017""","=""-0.9123""","=""  82         :     6  5p4.(3P).5d     4D   ""","=""L11023"""
"=""5s2.5p4.(3P).5d""","=""4F""","=""3/2""","=""""","=""20.15922""","=""""","=""0.00011""","=""0.1008""","=""  75         :    14  5p4.(3P).5d     4P   ""","=""L11023"""
"=""5s2.5p4.(1D).5d""","=""2D""","=""3/2""","=""""","=""20.32055""","=""""","=""0.00011""","=""0.1613""","=""  23         :    27  5p4.(3P).5d     4D   ""","=""L11023"""
"=""5s2.5p4.(1D).5d""","=""2D""","=""5/2""","=""""","=""21.17773""","=""""","=""0.00020""","=""0.8572""","=""  28         :    24  5p4.(3P).5d     4P   ""","=""L11023"""
"=""5s2.5p4.(3P).5d""","=""2F""","=""5/2""","=""""","=""21.44914""","=""""","=""0.00020""","=""0.2714""","=""  54         :    19  5p4.(1D).5d     2F   ""","=""L11023"""
"=""5s2.5p4.(1D).5d""","=""2F""","=""5/2""","=""""","=""22.15229""","=""""","=""0.00021""","=""0.7032""","=""  40         :    39  5p4.(3P).6s     4P   ""","=""L11023"""
"=""5s2.5p4.(3P).6s""","=""(2,1/2)""","=""3/2""","=""""","=""22.62135""","=""""","=""0.00021""","=""0.4691""","=""  80     or  :    58  5s2.5p4.(3P).6s 2P   ""","=""L11023"""
"=""5s2.5p4.(3P).6s""","=""(0,1/2)""","=""1/2""","=""""","=""23.69805""","=""""","=""0.00024""","=""1.0767""","=""  65     or  :    66  5s2.5p4.(3P).6s 4P   ""","=""L11023"""
"=""5s2.5p4.(1S).5d""","=""2D""","=""3/2""","=""""","=""23.84274""","=""""","=""0.00015""","=""0.1447""","=""  31         :    30  5p4.(1D).5d     2P   ""","=""L11023"""
