Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5s2.5p4""","=""3P""","=""2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""  85         :    15  5s2.5p4      1D   ""","=""L5760"""
"=""5s2.5p4""","=""3P""","=""0""","=""""","=""1.40126""","=""""","=""0.00011""","=""1.40126""","=""  71         :    29  5s2.5p4      1S   ""","=""L5760"""
"=""5s2.5p4""","=""3P""","=""1""","=""""","=""2.03695""","=""""","=""0.00011""","=""0.6357""","="" 100                                    ""","=""L5760"""
"=""5s2.5p4""","=""1D""","=""2""","=""""","=""3.06495""","=""""","=""0.00011""","=""1.0280""","=""  85         :    15  5s2.5p4      3P   ""","=""L5760"""
"=""5s2.5p4""","=""1S""","=""0""","=""""","=""6.34560""","=""""","=""0.00011""","=""3.2807""","=""  71         :    29  5s2.5p4      3P   ""","=""L5760"""
"=""5s.5p5""","=""3P*""","=""2""","=""""","=""16.16766""","=""""","=""0.00011""","=""9.8221""","=""  81         :    12  5p3.(2D*).5d 3P*  ""","=""L9527"""
"=""5s.5p5""","=""3P*""","=""1""","=""""","=""17.22339""","=""""","=""0.00011""","=""1.0557""","=""  68         :    12  5p3.(2D*).5d 3P*  ""","=""L9527"""
"=""5s.5p5""","=""3P*""","=""0""","=""""","=""18.34123""","=""""","=""0.00011""","=""1.1178""","=""  75         :    14  5p3.(2D*).5d 3P*  ""","=""L9527"""
"=""5p3.(4S*).5d""","=""5D*""","=""3""","=""""","=""19.77238""","=""""","=""0.00012""","=""1.4311""","=""  72         :     8  5p3.(2P*).5d 3F*  ""","=""L9527"""
"=""5p3.(4S*).5d""","=""5D*""","=""2""","=""""","=""19.77474""","=""""","=""0.00012""","=""0.0024""","=""  67         :     8  5p3.(2P*).5d 3D*  ""","=""L9527"""
"=""5p3.(4S*).5d""","=""5D*""","=""0""","=""""","=""19.83884""","=""""","=""0.00012""","=""0.0641""","=""  81         :     8  5p3.(2P*).5d 3P*  ""","=""L9527"""
"=""5p3.(4S*).5d""","=""5D*""","=""1""","=""""","=""19.90244""","=""""","=""0.00012""","=""0.0636""","=""  80         :     5  5s.5p5       3P*  ""","=""L9527"""
"=""5s.5p5""","=""1P*""","=""1""","=""""","=""20.24092""","=""""","=""0.00012""","=""0.3385""","=""  42         :    34  5p3.(2D*).5d 1P*  ""","=""L9527"""
"=""5p3.(2D*).5d""","=""3D*""","=""2""","=""""","=""20.61597""","=""""","=""0.00025""","=""0.3751""","=""  18         :    22  5p3.(4S*).5d 5D*  ""","=""L9527"""
"=""5p3.(2D*).5d""","=""3D*""","=""1""","=""""","=""23.47765""","=""""","=""0.00025""","=""2.8617""","=""  40         :    37  5p3.(2P*).5d 3D*  ""","=""L9527"""
"=""5p3.(2D*).5d""","=""3D*""","=""3""","=""""","=""25.25298""","=""""","=""0.00025""","=""1.7753""","=""  26         :    32  5p3.(2P*).5d 3F*  ""","=""L9527"""
"=""5p3.(4S*).5d""","=""3D*""","=""3""","=""""","=""21.50320""","=""""","=""0.00025""","=""-3.7498""","=""  26         :    23  5p3.(2D*).5d 3D*  ""","=""L9527"""
"=""5p3.(4S*).5d""","=""3D*""","=""1""","=""""","=""21.64962""","=""""","=""0.00025""","=""0.1464""","=""  48         :    40  5p3.(2D*).5d 3D*  ""","=""L9527"""
"=""5p3.(4S*).5d""","=""3D*""","=""2""","=""""","=""24.76659""","=""""","=""0.00025""","=""3.1170""","=""  19         :    35  5p3.(2P*).5d 3D*  ""","=""L9527"""
"=""5p3.(2D*).5d""","=""3F*""","=""2""","=""""","=""21.90020""","=""""","=""0.00025""","=""-2.8664""","=""  47         :    25  5p3.(2D*).5d 3D*  ""","=""L9527"""
"=""5p3.(2D*).5d""","=""3F*""","=""3""","=""""","=""22.17123""","=""""","=""0.00025""","=""0.2710""","=""  62         :    14  5p3.(2D*).5d 3D*  ""","=""L9527"""
"=""5p3.(2D*).5d""","=""1S*""","=""0""","=""""","=""22.11147""","=""""","=""0.00025""","=""-0.0598""","=""  81         :     9  5p3.(2P*).5d 3P*  ""","=""L9527"""
