Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s2""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0.000004""","=""""","=""L11891"""
"=""1s.2s""","=""3S""","=""1""","=""[""","=""118.593204""","=""]""","=""0.000025""","=""118.59320""","=""L11891c206"""
"=""1s.2s""","=""1S""","=""0""","=""[""","=""121.65187""","=""]""","=""0.00006""","=""3.05867""","=""L11891c206"""
"=""1s.2p""","=""3P*""","=""1""","=""[""","=""121.92256""","=""]""","=""0.00004""","=""0.27069""","=""L11891c206"""
"=""1s.2p""","=""3P*""","=""0""","=""[""","=""121.92399""","=""]""","=""0.00004""","=""0.00143""","=""L11891c206"""
"=""1s.2p""","=""3P*""","=""2""","=""[""","=""121.92440""","=""]""","=""0.00004""","=""0.00041""","=""L11891c206"""
"=""1s.2p""","=""1P*""","=""1""","=""[""","=""123.66994""","=""]""","=""0.00006""","=""1.74554""","=""L11891c206"""
"=""1s.3s""","=""3S""","=""1""","=""[""","=""139.01100""","=""]""","=""0.00011""","=""15.3411""","=""L11891c206"""
"=""1s.3s""","=""1S""","=""0""","=""[""","=""139.8190""","=""]""","=""0.0006""","=""0.8080""","=""L11891c206"""
"=""1s.3p""","=""3P*""","=""0""","=""[""","=""139.89327""","=""]""","=""0.00009""","=""0.0743""","=""L11891c206"""
"=""1s.3p""","=""3P*""","=""1""","=""[""","=""139.89327""","=""]""","=""0.00009""","=""0.0000""","=""L11891c206"""
"=""1s.3p""","=""3P*""","=""2""","=""[""","=""139.89327""","=""]""","=""0.00009""","=""0.0000""","=""L11891c206"""
"=""1s.3d""","=""3D""","=""1""","=""[""","=""140.27499""","=""]""","=""0.00012""","=""0.3817""","=""L11891c206"""
"=""1s.3d""","=""3D""","=""2""","=""[""","=""140.27499""","=""]""","=""0.00012""","=""0.0000""","=""L11891c206"""
"=""1s.3d""","=""3D""","=""3""","=""[""","=""140.27499""","=""]""","=""0.00012""","=""0.0000""","=""L11891c206"""
