Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""1s""","=""2S""","=""1/2""","=""""","=""0.00000000""","=""""","=""0.00000010""","=""""","="" 100                    ""","="""""
"=""2p""","=""2P*""","=""1/2""","=""(""","=""163.28461592""","="")""","=""0.00000011""","=""163.2846159""","="" 100                    ""","=""L19200"""
"=""2p""","=""2P*""","=""3/2""","=""(""","=""163.296240501""","="")""","=""0.00000011""","=""0.01162458""","="" 100                    ""","=""L19200"""
"=""2s""","=""2S""","=""1/2""","=""(""","=""163.28535939""","="")""","=""0.00000010""","=""-0.01088111""","="" 100                    ""","=""L19200"""
"=""3p""","=""2P*""","=""1/2""","=""(""","=""193.527000810""","="")""","=""0.000000012""","=""30.24164142""","="" 100                    ""","=""L3620c107"""
"=""3p""","=""2P*""","=""3/2""","=""(""","=""193.530445162""","="")""","=""0.000000007""","=""0.00344435""","="" 100                    ""","=""L3620c107"""
"=""3s""","=""2S""","=""1/2""","=""(""","=""193.52722252""","="")""","=""0.00000004""","=""-0.00322264""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""3/2""","=""(""","=""193.5304394628""","="")""","=""0.0000000005""","=""0.00321694""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""5/2""","=""(""","=""193.5315871398""","="")""","=""0.0000000004""","=""0.0011476770""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""1/2""","=""(""","=""204.111362964""","="")""","=""0.000000006""","=""10.579775824""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""3/2""","=""(""","=""204.112816024""","="")""","=""0.000000004""","=""0.001453060""","="" 100                    ""","=""L3620c107"""
"=""4s""","=""2S""","=""1/2""","=""(""","=""204.111456746""","="")""","=""0.000000012""","=""-0.00135928""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""3/2""","=""(""","=""204.112813592""","="")""","=""0.000000012""","=""0.00135685""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""5/2""","=""(""","=""204.113297775""","="")""","=""0.000000012""","=""0.00048418""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""5/2""","=""(""","=""204.113296902""","="")""","=""0.000000007""","=""-0.00000087""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""7/2""","=""(""","=""204.113538971""","="")""","=""0.000000007""","=""0.000242069""","="" 100                    ""","=""L3620c107"""
"=""5p""","=""2P*""","=""1/2""","=""(""","=""209.010208832""","="")""","=""0.000000004""","=""4.896669861""","="" 100                    ""","=""L3620c107"""
"=""5p""","=""2P*""","=""3/2""","=""(""","=""209.0109527844""","="")""","=""0.0000000012""","=""0.000743952""","="" 100                    ""","=""L3620c107"""
"=""5s""","=""2S""","=""1/2""","=""(""","=""209.010256916""","="")""","=""0.000000009""","=""-0.000695868""","="" 100                    ""","=""L3620c107"""
"=""5d""","=""2D""","=""3/2""","=""(""","=""209.010951524""","="")""","=""0.000000012""","=""0.00069461""","="" 100                    ""","=""L3620c107"""
