Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""6s2.6p2""","=""3P""","=""0""","=""""","=""0.000000""","=""""","=""0.000006""","=""""","=""  83         :    17         1S         ""","=""L9887"""
"=""6s2.6p2""","=""3P""","=""1""","=""""","=""1.652139""","=""""","=""0.00009""","=""1.65214""","="" 100                                    ""","=""L9887"""
"=""6s2.6p2""","=""3P""","=""2""","=""""","=""2.1116614""","=""""","=""0.0000025""","=""0.45952""","=""  52         :    48         1D         ""","=""L9887"""
"=""6s2.6p2""","=""1D""","=""2""","=""""","=""4.2078647""","=""""","=""0.0000025""","=""2.096203""","=""  52         :    48         3P         ""","=""L9887"""
"=""6s2.6p2""","=""1S""","=""0""","=""""","=""5.4768492""","=""""","=""0.0000025""","=""1.268985""","=""  82         :    17         3P         ""","=""L9887"""
"=""6s2.6p.7s""","=""(1/2,1/2)*""","=""0""","=""""","=""8.5715101""","=""""","=""0.0000025""","=""3.094661""","="" 100                                    ""","=""L9887"""
"=""6s2.6p.7s""","=""(1/2,1/2)*""","=""1""","=""""","=""8.6291111""","=""""","=""0.0000025""","=""0.057601""","=""  98                                    ""","=""L9887"""
"=""6s.6p3""","=""5S*""","=""2""","=""""","=""9.4412370""","=""""","=""0.0000025""","=""0.812126""","=""  55         :    18         3P*        ""","=""L9887"""
"=""6s2.6p.6d""","=""(1/2,3/2)*""","=""2""","=""""","=""9.8060517""","=""""","=""0.0000025""","=""0.364815""","=""  97                                    ""","=""L9887"""
"=""6s2.6p.6d""","=""(1/2,3/2)*""","=""1""","=""""","=""9.9902836""","=""""","=""0.0000025""","=""0.184232""","=""  73         :    13  6s.6p3 3D*        ""","=""L9887"""
"=""6s2.6p.6d""","=""(1/2,5/2)*""","=""2""","=""""","=""10.1728579""","=""""","=""0.0000025""","=""0.182574""","=""  71         :    26  6s.6p3 5S*        ""","=""L9887"""
"=""6s2.6p.6d""","=""(1/2,5/2)*""","=""3""","=""""","=""10.1985993""","=""""","=""0.0000025""","=""0.025741""","=""  94                                    ""","=""L9887"""
"=""6s2.6p.7p""","=""(1/2,1/2)""","=""1""","=""""","=""10.4494435""","=""""","=""0.0000025""","=""0.250844""","="" 100                                    ""","=""L9887"""
"=""6s2.6p.7p""","=""(1/2,1/2)""","=""0""","=""""","=""10.7963924""","=""""","=""0.0000025""","=""0.346949""","=""  98                                    ""","=""L9887"""
"=""6s2.6p.7p""","=""(1/2,3/2)""","=""1""","=""""","=""10.9808694""","=""""","=""0.0000025""","=""0.184477""","="" 100                                    ""","=""L9887"""
"=""6s2.6p.7p""","=""(1/2,3/2)""","=""2""","=""""","=""11.0084923""","=""""","=""0.0000025""","=""0.027623""","=""  99                                    ""","=""L9887"""
"=""6s2.6p.7s""","=""(3/2,1/2)*""","=""2""","=""""","=""11.0062562""","=""""","=""0.0000025""","=""-0.002236""","=""  99                                    ""","=""L9887"""
"=""6s2.6p.7s""","=""(3/2,1/2)*""","=""1""","=""""","=""11.1444034""","=""""","=""0.0000025""","=""0.138147""","=""  84         :     6  6p.6d  (3/2,5/2)* ""","=""L9887"""
"=""6s.6p3""","=""3D*""","=""1""","=""""","=""11.7093438""","=""""","=""0.0000025""","=""0.564940""","=""  44         :    22  6p.6d  (1/2,3/2)* ""","=""L9887"""
"=""6s.6p3""","=""3D*""","=""2""","=""""","=""11.7698993""","=""""","=""0.0000025""","=""0.060556""","=""  48         :    31  6p.6d  (3/2,3/2)* ""","=""L9887"""
"=""6s.6p3""","=""3D*""","=""3""","=""""","=""11.9102142""","=""""","=""0.0000025""","=""0.140315""","=""  50         :    31  6p.6d  (3/2,5/2)* ""","=""L9887"""
"=""6s2.6p.6d""","=""(3/2,5/2)*""","=""2""","=""""","=""12.2758401""","=""""","=""0.0000025""","=""0.365626""","=""  55         :    19         (3/2,3/2)* ""","=""L9887"""
"=""6s2.6p.6d""","=""(3/2,5/2)*""","=""4""","=""[""","=""12.36""","=""]+x""","=""0.05""","=""0.08""","="" 100                                    ""","=""L9887"""
"=""6s2.6p.6d""","=""(3/2,5/2)*""","=""1""","=""""","=""13.2181072""","=""""","=""0.0000025""","=""0.86""","=""  64         :    13  6p.7d  (1/2,3/2)* ""","=""L9887"""
"=""6s2.6p.6d""","=""(3/2,5/2)*""","=""3""","=""""","=""13.3914164""","=""""","=""0.0000025""","=""0.173309""","=""  41         :    36  6p.7d  (1/2,5/2)* ""","=""L9887"""
"=""6s2.6p.6d""","=""(3/2,3/2)*""","=""0""","=""""","=""12.4210403""","=""""","=""0.0000025""","=""-0.970376""","=""  72         :    18  6s.6p3 3P*        ""","=""L9887"""
"=""6s2.6p.6d""","=""(3/2,3/2)*""","=""1""","=""""","=""12.4597835""","=""""","=""0.0000025""","=""0.038743""","=""  64         :    12  6p.6d  (3/2,5/2)* ""","=""L9887"""
"=""6s2.6p.6d""","=""(3/2,3/2)*""","=""2""","=""""","=""12.6875098""","=""""","=""0.0000025""","=""0.227726""","=""  38         :    34  6p.6d  (3/2,3/2)* ""","=""L9887"""
"=""6s2.6p.6d""","=""(3/2,3/2)*""","=""3""","=""""","=""12.7708070""","=""""","=""0.0000025""","=""0.083297""","=""  59         :    28  6p.7d  (1/2,5/2)* ""","=""L9887"""
"=""6s2.6p.8s""","=""(1/2,1/2)*""","=""1""","=""""","=""12.5646120""","=""""","=""0.0000025""","=""-0.206195""","=""  86         :    11  6p.6d  (3/2,3/2)* ""","=""L9887"""
"=""6s2.6p.8s""","=""(1/2,1/2)*""","=""0""","=""""","=""12.5798627""","=""""","=""0.0000025""","=""0.015251""","=""  90         :    10  6p.6d  (3/2,3/2)* ""","=""L9887"""
"=""6s2.6p.7p""","=""(3/2,1/2)""","=""2""","=""""","=""13.0289455""","=""""","=""0.0000025""","=""0.449083""","=""  50         :    47  6p.5f  (1/2,5/2)  ""","=""L9887"""
"=""6s2.6p.7p""","=""(3/2,1/2)""","=""1""","=""""","=""13.0519340""","=""""","=""0.0000025""","=""0.022988""","=""  85         :    13         (3/2,3/2)  ""","=""L9887"""
"=""6s2.6p.5f""","=""(1/2,7/2)""","=""3""","=""""","=""13.0542630""","=""""","=""0.0000025""","=""0.002329""","=""  82         :    13  6p.7p  (3/2,3/2)  ""","=""L9887"""
"=""6s2.6p.5f""","=""(1/2,7/2)""","=""4""","=""""","=""13.1086088""","=""""","=""0.0000025""","=""0.054346""","="" 100                                    ""","=""L9887"""
"=""6s2.6p.5f""","=""(1/2,5/2)""","=""3""","=""""","=""13.0742633""","=""""","=""0.0000025""","=""-0.034346""","=""  95                                    ""","=""L9887"""
"=""6s2.6p.5f""","=""(1/2,5/2)""","=""2""","=""""","=""13.1980543""","=""""","=""0.0000025""","=""0.123791""","=""  51         :    41  6p.7p  (3/2,1/2)  ""","=""L9887"""
"=""6s2.6p.7d""","=""(1/2,3/2)*""","=""2""","=""""","=""13.0837049""","=""""","=""0.0000025""","=""-0.114349""","=""  95                                    ""","=""L9887"""
"=""6s2.6p.7d""","=""(1/2,3/2)*""","=""1""","=""""","=""13.4060063""","=""""","=""0.0000025""","=""0.322301""","=""  75         :     8  6p.6d  (3/2,5/2)* ""","=""L9887"""
"=""6s2.6p.8p""","=""(1/2,1/2)""","=""0""","=""""","=""13.3873""","=""""","=""""","=""-0.0187""","=""         or  :               3P         ""","=""L3466"""
"=""6s2.6p.7p""","=""(3/2,3/2)""","=""3""","=""""","=""13.4250900""","=""""","=""0.0000025""","=""0.0378""","=""  86         :    13  6p.5f  (1/2,7/2)  ""","=""L9887"""
"=""6s2.6p.7p""","=""(3/2,3/2)""","=""1""","=""""","=""13.4406662""","=""""","=""0.0000025""","=""0.015576""","=""  76         :    14         (3/2,1/2)  ""","=""L9887"""
"=""6s2.6p.7p""","=""(3/2,3/2)""","=""2""","=""""","=""13.6266057""","=""""","=""0.0000025""","=""0.185939""","=""  69         :    22  6p.8p  (1/2,3/2)  ""","=""L9887"""
"=""6s2.6p.7p""","=""(3/2,3/2)""","=""0""","=""""","=""13.9669284""","=""""","=""0.0000025""","=""0.340323""","=""  89         :     5  6p.8p  (1/2,1/2)  ""","=""L9887"""
"=""6s2.6p.8p""","=""(1/2,3/2)""","=""2""","=""""","=""13.5004557""","=""""","=""0.0000025""","=""-0.466473""","=""  73         :    26  6p.7p  (3/2,3/2)  ""","=""L9887"""
"=""6s2.6p.8p""","=""(1/2,3/2)""","=""1""","=""""","=""13.5273531""","=""""","=""0.0000025""","=""0.026897""","=""  92                                    ""","=""L9887"""
"=""6s2.6p.7d""","=""(1/2,5/2)*""","=""2""","=""""","=""13.5338830""","=""""","=""0.0000025""","=""0.006530""","=""  34         :    31  6s.6p3 3D*        ""","=""L9887"""
"=""6s2.6p.9s""","=""(1/2,1/2)*""","=""0""","=""""","=""14.2059980""","=""""","=""0.0000025""","=""0.672115""","=""  87         :    11  6s.6p3 3P*        ""","=""L9887"""
"=""6s2.6p.9s""","=""(1/2,1/2)*""","=""1""","=""""","=""14.2102471""","=""""","=""0.0000025""","=""0.004249""","=""  76         :     9  6s.6p3 3P*        ""","=""L9887"""
"=""6s2.6p.6f""","=""(1/2,5/2)""","=""3""","=""""","=""14.3743010""","=""""","=""0.0000025""","=""0.164054""","="" 100     or  :               3G         ""","=""L9887"""
"=""6s2.6p.6f""","=""(1/2,5/2)""","=""2""","=""""","=""14.4087471""","=""""","=""0.0000025""","=""0.034446""","=""  99     or  :               3F         ""","=""L9887"""
"=""6s2.6p.6f""","=""(1/2,7/2)""","=""3""","=""""","=""14.3934471""","=""""","=""0.0000025""","=""-0.015300""","=""  99     or  :               3F         ""","=""L9887"""
"=""6s2.6p.6f""","=""(1/2,7/2)""","=""4""","=""""","=""14.3996322""","=""""","=""0.0000025""","=""0.006185""","="" 100     or  :               3F         ""","=""L9887"""
"=""6s2.6p.8d""","=""(1/2,5/2)*""","=""2""","=""""","=""14.4990609""","=""""","=""0.0000025""","=""0.099429""","=""  49         :    40         (1/2,3/2)* ""","=""L9887"""
"=""6s2.6p.8d""","=""(1/2,5/2)*""","=""3""","=""""","=""14.5339926""","=""""","=""0.0000025""","=""0.034932""","=""  96                                    ""","=""L9887"""
"=""6s2.6p.5g""","=""(1/2,7/2)*""","=""3""","=""""","=""14.5066""","=""""","=""""","=""-0.0274""","=""                                        ""","=""L3466"""
"=""6s2.6p.8d""","=""(1/2,3/2)*""","=""1""","=""""","=""14.5340""","=""""","=""0.0017""","=""0.027""","=""  91     or  :               3D*        ""","=""L6771"""
"=""6s2.6p.9d""","=""(1/2,3/2)*""","=""2""","=""""","=""15.1605429""","=""""","=""0.0000025""","=""0.6265""","=""  89                                    ""","=""L9887"""
"=""6s2.6p.9d""","=""(1/2,3/2)*""","=""1""","=""""","=""15.2090""","=""""","=""0.0019""","=""0.0485""","=""  83     or  :               3D*        ""","=""L6771"""
"=""6s2.6p.8f""","=""(1/2,5/2)""","=""3""","=""""","=""15.5146221""","=""""","=""0.0000025""","=""0.3056""","=""  72         :    16         (1/2,7/2)  ""","=""L9887"""
"=""6s2.6p.8f""","=""(1/2,7/2)""","=""4""","=""""","=""15.5289339""","=""""","=""0.0000025""","=""0.014312""","=""  88         :    12  6p.5f  (3/2,7/2)  ""","=""L9887"""
"=""6s2.6p.5f""","=""(3/2,5/2)""","=""3""","=""""","=""15.5458512""","=""""","=""0.0000025""","=""0.016917""","=""  82         :     8  6p.8f  (1/2,5/2)  ""","=""L9887"""
