Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""6s2.6p""","=""2P*""","=""1/2""","=""""","=""0.000000""","=""""","=""0.000007""","=""""","=""  98                                                          ""","=""L21488"""
"=""6s2.6p""","=""2P*""","=""3/2""","=""""","=""2.577406""","=""""","=""0.000005""","=""2.577406""","=""  98                                                          ""","=""L21488"""
"=""6s.6p2.(3P)""","=""4P""","=""1/2""","=""""","=""8.710350""","=""""","=""0.000006""","=""6.132944""","=""  84                           :    12  6s.6p2.(1S)      2S   ""","=""L21488"""
"=""6s.6p2.(3P)""","=""4P""","=""3/2""","=""""","=""10.295407""","=""""","=""0.000000""","=""1.585057""","=""  96                           :     2  6s.6p2.(1D)      2D   ""","=""L21488"""
"=""6s.6p2.(3P)""","=""4P""","=""5/2""","=""""","=""11.063865""","=""""","=""0.000007""","=""0.76846""","=""  61                           :    31  6s.6p2.(1D)      2D   ""","=""L21488"""
"=""6s2.7s""","=""2S""","=""1/2""","=""""","=""11.787992""","=""""","=""0.000010""","=""0.72413""","=""  97                                                          ""","=""L21488"""
"=""6s2.6d""","=""2D""","=""3/2""","=""""","=""11.921662""","=""""","=""0.000010""","=""0.13367""","=""  51                           :    41  6s.6p2.(1D)      2D   ""","=""L21488"""
"=""6s2.6d""","=""2D""","=""5/2""","=""""","=""12.701719""","=""""","=""0.000007""","=""0.78006""","=""  70                           :    21  6s.6p2.(3P)      4P   ""","=""L21488"""
"=""6s.6p2.(3P)""","=""2P""","=""1/2""","=""""","=""13.397042""","=""""","=""0.000014""","=""0.69532""","=""  72                           :    15  6s.6p2.(1S)      2S   ""","=""L21488"""
"=""6s.6p2.(3P)""","=""2P""","=""3/2""","=""""","=""16.23752""","=""""","=""0.00005""","=""2.84048""","=""  78                           :    14  6s.6p2.(1D)      2D   ""","=""L21488"""
"=""6s.6p2.(1D)""","=""2D""","=""3/2""","=""""","=""13.463000""","=""""","=""0.000016""","=""-2.77452""","=""  46  6s2.6d 2D                :    39  6s.6p2.(1D)      2D   ""","=""L21488"""
"=""6s.6p2.(1D)""","=""2D""","=""5/2""","=""""","=""14.433534""","=""""","=""0.000015""","=""0.97053""","=""  59                           :    21  6s2.6d           2D   ""","=""L21488"""
"=""6s2.7p""","=""2P*""","=""1/2""","=""""","=""14.505333""","=""""","=""0.000025""","=""0.07180""","=""  98                                                          ""","=""L21488"""
