Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5d10.6s2""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L3466"""
"=""5d10.6s.6p""","=""3P*""","=""0""","=""""","=""8.7983""","=""""","=""""","=""8.7983""","="""""
"=""5d10.6s.6p""","=""3P*""","=""1""","=""""","=""9.4136""","=""""","=""""","=""0.615""","="""""
"=""5d10.6s.6p""","=""3P*""","=""2""","=""""","=""11.9549""","=""""","=""""","=""2.541""","="""""
"=""5d10.6s.6p""","=""1P*""","=""1""","=""""","=""14.2088""","=""""","=""""","=""2.254""","="""""
"=""5d10.6p2""","=""3P""","=""0""","=""""","=""20.6498""","=""""","=""""","=""6.441""","="""""
"=""5d10.6p2""","=""3P""","=""1""","=""""","=""22.9388""","=""""","=""""","=""2.289""","="""""
"=""5d10.6p2""","=""3P""","=""2""","=""""","=""25.0986""","=""""","=""""","=""2.160""","="""""
"=""5d10.6s.6d""","=""1D""","=""2""","=""""","=""22.8329""","=""""","=""""","=""-2.266""","="""""
"=""5d10.6s.6d""","=""3D""","=""1""","=""""","=""24.4436""","=""""","=""""","=""1.611""","="""""
"=""5d10.6s.6d""","=""3D""","=""2""","=""""","=""24.5277""","=""""","=""""","=""0.084""","="""""
"=""5d10.6s.6d""","=""3D""","=""3""","=""""","=""24.7682""","=""""","=""""","=""0.241""","="""""
"=""5d10.6s.7s""","=""3S""","=""1""","=""""","=""24.4802""","=""""","=""""","=""-0.288""","="""""
"=""5d10.6s.7s""","=""1S""","=""0""","=""""","=""24.9929""","=""""","=""""","=""0.513""","="""""
"=""5d10.6p2""","=""1D""","=""2""","=""""","=""27.0066""","=""""","=""""","=""2.014""","="""""
"=""5d9.6s2.6p""","=""(3/2,1/2)*""","=""2""","=""""","=""27.8087""","=""""","=""""","=""0.802""","="""""
"=""5d9.6s2.6p""","=""(3/2,1/2)*""","=""1""","=""""","=""28.2841""","=""""","=""""","=""0.475""","="""""
"=""5d10.6s.7p""","=""3P(F=9/2)<1>*""","=""0,1""","=""""","=""27.84494""","=""""","=""""","=""-0.4392""","="""""
"=""5d10.6s.7p""","=""3P(F=7/2)*""","=""0,1""","=""""","=""27.84688""","=""""","=""""","=""0.0019""","="""""
"=""5d10.6s.7p""","=""3P(F=9/2)<2>*""","=""0,1""","=""""","=""27.84772""","=""""","=""""","=""0.0008""","="""""
"=""5d10.6s.7p""","=""3P(F=11/2)*""","=""0,1""","=""""","=""27.84833""","=""""","=""""","=""0.0006""","="""""
"=""5d9.6s2.6p""","=""(5/2,3/2)*""","=""4""","=""""","=""27.9729""","=""""","=""""","=""0.1246""","="""""
"=""5d9.6s2.6p""","=""(5/2,3/2)*""","=""2""","=""""","=""28.5953""","=""""","=""""","=""0.622""","="""""
"=""5d9.6s2.6p""","=""(5/2,3/2)*""","=""1""","=""""","=""29.4712""","=""""","=""""","=""0.876""","="""""
"=""5d10.6s.7p""","=""1P*""","=""1""","=""""","=""28.7535""","=""""","=""""","=""-0.718""","="""""
"=""5d10.6s.7p""","=""3P*""","=""2""","=""""","=""28.8421""","=""""","=""""","=""0.089""","="""""
"=""5d9.6s2.6p""","=""(5/2,3/2)*?""","=""3""","=""""","=""28.9178""","=""""","=""""","=""0.076""","="""""
"=""5d10.6s.5f""","=""3F*?""","=""3""","=""""","=""29.0067""","=""""","=""""","=""0.089""","="""""
"=""5d10.6s.5f""","=""3F*""","=""2""","=""""","=""29.1576""","=""""","=""""","=""0.151""","="""""
"=""5d10.6s.5f""","=""3F*""","=""4""","=""""","=""29.2177""","=""""","=""""","=""0.060""","="""""
"=""5d10.6s.5f""","=""1F*?""","=""3""","=""""","=""29.3245""","=""""","=""""","=""0.107""","="""""
"=""5d10.6s.8s""","=""3S""","=""1""","=""""","=""33.0634""","=""""","=""""","=""3.739""","="""""
"=""5d10.6s.7d""","=""3D""","=""1""","=""""","=""33.1752""","=""""","=""""","=""0.112""","="""""
"=""5d10.6s.7d""","=""3D""","=""2""","=""""","=""33.2099""","=""""","=""""","=""0.035""","="""""
"=""5d10.6s.7d""","=""3D""","=""3""","=""""","=""33.3133""","=""""","=""""","=""0.103""","="""""
"=""5d10.6s.8s""","=""1S""","=""0""","=""""","=""33.2514""","=""""","=""""","=""-0.062""","="""""
"=""5d10.6s.7d""","=""1D""","=""2""","=""""","=""33.4457""","=""""","=""""","=""0.194""","="""""
"=""Bi V (6s 2S<1/2>)""","=""Limit""","=""---""","=""""","=""45.37""","=""""","=""0.06""","=""""","=""L14078"""
