Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p4""","=""3P""","=""2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3465"""
"=""4s2.4p4""","=""3P""","=""1""","=""""","=""0.38886""","=""""","=""""","=""0.38886""","="""""
"=""4s2.4p4""","=""3P""","=""0""","=""""","=""0.47579""","=""""","=""""","=""0.0869""","="""""
"=""4s2.4p4""","=""1D""","=""2""","=""""","=""1.49886""","=""""","=""""","=""1.0231""","="""""
"=""4s2.4p4""","=""1S""","=""0""","=""""","=""3.45508""","=""""","=""""","=""1.9562""","="""""
"=""4s2.4p3.(4S*).5s""","=""5S*""","=""2""","=""""","=""11.64472""","=""""","=""""","=""8.1896""","="""""
"=""4s.4p5""","=""3P*""","=""2""","=""""","=""11.956017""","=""""","=""""","=""0.31130""","="""""
"=""4s.4p5""","=""3P*""","=""1""","=""""","=""12.249540""","=""""","=""""","=""0.29352""","="""""
"=""4s.4p5""","=""3P*""","=""0""","=""""","=""12.42748""","=""""","=""""","=""0.17794""","="""""
"=""4s2.4p3.(4S*).5s""","=""3S*""","=""1""","=""""","=""12.20855""","=""""","=""""","=""-0.2189""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""3""","=""""","=""12.89902""","=""""","=""""","=""0.6905""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""2""","=""""","=""12.90399""","=""""","=""""","=""0.0050""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""4""","=""""","=""12.90547""","=""""","=""""","=""0.0015""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""1""","=""""","=""12.91211""","=""""","=""""","=""0.0066""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""0""","=""""","=""12.91809""","=""""","=""""","=""0.0060""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""1""","=""""","=""13.56759""","=""""","=""""","=""0.6495""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""2""","=""""","=""13.59871""","=""""","=""""","=""0.0311""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""3""","=""""","=""13.68488""","=""""","=""""","=""0.0862""","="""""
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""2""","=""""","=""13.82761""","=""""","=""""","=""0.1427""","="""""
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""1""","=""""","=""13.93421""","=""""","=""""","=""0.1066""","="""""
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""3""","=""""","=""13.94309""","=""""","=""""","=""0.0089""","="""""
"=""4s2.4p3.(2D*).5s""","=""1D*""","=""2""","=""""","=""14.00209""","=""""","=""""","=""0.0590""","="""""
"=""4s.4p5""","=""1P*""","=""1""","=""""","=""14.05226""","=""""","=""""","=""0.0502""","="""""
