Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p3""","=""4S*""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3465"""
"=""4s2.4p3""","=""2D*""","=""3/2""","=""""","=""1.86497""","=""""","=""""","=""1.86497""","="""""
"=""4s2.4p3""","=""2D*""","=""5/2""","=""""","=""2.02107""","=""""","=""""","=""0.1561""","="""""
"=""4s2.4p3""","=""2P*""","=""1/2""","=""""","=""3.33703""","=""""","=""""","=""1.3160""","="""""
"=""4s2.4p3""","=""2P*""","=""3/2""","=""""","=""3.54334""","=""""","=""""","=""0.2063""","="""""
"=""4s.4p4""","=""2D""","=""5/2""","=""""","=""11.3260""","=""""","=""""","=""7.7827""","="""""
"=""4s.4p4""","=""2D""","=""3/2""","=""""","=""11.3396""","=""""","=""""","=""0.014""","="""""
"=""4s.4p4""","=""2S""","=""1/2""","=""""","=""12.9018""","=""""","=""""","=""1.562""","="""""
"=""4s2.4p2.4d""","=""1""","=""3/2""","=""""","=""17.04574""","=""""","=""""","=""4.1439""","="""""
"=""4s2.4p2.4d""","=""2""","=""1/2""","=""""","=""17.05168""","=""""","=""""","=""0.0059""","="""""
"=""4s2.4p2.4d""","=""3""","=""3/2""","=""""","=""17.33200""","=""""","=""""","=""0.2803""","="""""
"=""4s2.4p2.4d""","=""4""","=""5/2""","=""""","=""17.60533""","=""""","=""""","=""0.2733""","="""""
"=""4s2.4p2.4d""","=""5""","=""1/2""","=""""","=""17.85309""","=""""","=""""","=""0.2478""","="""""
"=""4s2.4p2.4d""","=""6""","=""3/2""","=""""","=""17.99936""","=""""","=""""","=""0.1463""","="""""
"=""4s2.4p2.(3P).5s""","=""4P""","=""1/2""","=""""","=""18.02940""","=""""","=""""","=""0.0300""","="""""
"=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""","=""""","=""18.30880""","=""""","=""""","=""0.2794""","="""""
"=""4s2.4p2.(3P).5s""","=""4P""","=""5/2""","=""""","=""18.62984""","=""""","=""""","=""0.3210""","="""""
"=""4s2.4p2.4d""","=""7""","=""3/2""","=""""","=""18.29480""","=""""","=""""","=""-0.3350""","="""""
"=""4s2.4p2.(3P).5s""","=""2P""","=""1/2""","=""""","=""18.49838""","=""""","=""""","=""0.2036""","="""""
"=""4s2.4p2.(3P).5s""","=""2P""","=""3/2""","=""""","=""18.85921""","=""""","=""""","=""0.3608""","="""""
"=""4s2.4p2.4d""","=""8""","=""5/2""","=""""","=""18.71142""","=""""","=""""","=""-0.1478""","="""""
"=""4s2.4p2.4d""","=""9""","=""3/2""","=""""","=""18.72945""","=""""","=""""","=""0.0180""","="""""
"=""4s2.4p2.(1D).5s""","=""2D""","=""5/2""","=""""","=""19.55810""","=""""","=""""","=""0.8286""","="""""
"=""4s2.4p2.(1D).5s""","=""2D""","=""3/2""","=""""","=""19.65303""","=""""","=""""","=""0.0949""","="""""
"=""4s2.4p2.(3P).5p""","=""4D*""","=""1/2""","=""""","=""21.47181""","=""""","=""""","=""1.8188""","="""""
"=""4s2.4p2.(3P).5p""","=""4D*""","=""3/2""","=""""","=""21.55341""","=""""","=""""","=""0.0816""","="""""
"=""4s2.4p2.(3P).5p""","=""4D*""","=""5/2""","=""""","=""21.81011""","=""""","=""""","=""0.2567""","="""""
"=""4s2.4p2.(3P).5p""","=""4D*""","=""7/2""","=""""","=""22.10917""","=""""","=""""","=""0.2991""","="""""
"=""4s2.4p2.(3P).5p""","=""4P*""","=""1/2""","=""""","=""21.90436""","=""""","=""""","=""-0.2048""","="""""
"=""4s2.4p2.(3P).5p""","=""4P*""","=""3/2""","=""""","=""22.08535""","=""""","=""""","=""0.1810""","="""""
"=""4s2.4p2.(3P).5p""","=""4P*""","=""5/2""","=""""","=""22.34862""","=""""","=""""","=""0.2633""","="""""
"=""4s2.4p2.(3P).5p""","=""2D*""","=""3/2""","=""""","=""22.40341""","=""""","=""""","=""0.0548""","="""""
"=""4s2.4p2.(3P).5p""","=""2D*""","=""5/2""","=""""","=""22.83527""","=""""","=""""","=""0.4319""","="""""
"=""4s2.4p2.(3P).5p""","=""4S*""","=""3/2""","=""""","=""22.56733""","=""""","=""""","=""-0.2679""","="""""
"=""4s2.4p2.(3P).5p""","=""2S*""","=""1/2""","=""""","=""22.67318""","=""""","=""""","=""0.1059""","="""""
"=""4s2.4p2.5p""","=""1*""","=""3/2""","=""""","=""22.89088""","=""""","=""""","=""0.2177""","=""L3465"""
"=""4s2.4p2.5p""","=""2*""","=""3/2""","=""""","=""22.98942""","=""""","=""""","=""0.0985""","=""L3465"""
"=""4s2.4p2.(3P).5p""","=""2P*""","=""1/2""","=""""","=""22.99069""","=""""","=""""","=""0.0013""","="""""
"=""4s2.4p2.5p""","=""3*""","=""3/2""","=""""","=""23.28028""","=""""","=""""","=""0.2896""","=""L3465"""
"=""4s2.4p2.5p""","=""4*""","=""1/2""","=""""","=""23.31437""","=""""","=""""","=""0.0341""","=""L3465"""
"=""4s2.4p2.5p""","=""5*""","=""5/2""","=""""","=""23.79298""","=""""","=""""","=""0.4786""","=""L3465"""
