Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p2""","=""3P""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L1157"""
"=""4s2.4p2""","=""3P""","=""1""","=""""","=""0.32509""","=""""","=""""","=""0.32509""","="""""
"=""4s2.4p2""","=""3P""","=""2""","=""""","=""0.69579""","=""""","=""""","=""0.3707""","="""""
"=""4s2.4p2""","=""1D""","=""2""","=""""","=""2.00735""","=""""","=""""","=""1.3116""","="""""
"=""4s.4p3""","=""5S*""","=""2""","=""""","=""10.42133""","=""""","=""""","=""8.4140""","="""""
"=""4s.4p3""","=""3D*""","=""1""","=""""","=""15.80100""","=""""","=""""","=""5.3797""","="""""
"=""4s.4p3""","=""3D*""","=""2""","=""""","=""15.82064""","=""""","=""""","=""0.0196""","="""""
"=""4s.4p3""","=""3D*""","=""3""","=""""","=""15.93368""","=""""","=""""","=""0.1130""","="""""
"=""4s.4p3""","=""3P*""","=""0""","=""""","=""17.32088""","=""""","=""""","=""1.3872""","="""""
"=""4s.4p3""","=""3P*""","=""1""","=""""","=""17.61463""","=""""","=""""","=""0.2937""","="""""
"=""4s.4p3""","=""3P*""","=""2""","=""""","=""17.65654""","=""""","=""""","=""0.0419""","="""""
"=""4s.4p3""","=""1D*""","=""2""","=""""","=""17.84552""","=""""","=""""","=""0.1890""","="""""
"=""4s2.4p.4d""","=""3F*""","=""3""","=""""","=""19.77705""","=""""","=""""","=""1.9315""","="""""
"=""4s2.4p.4d""","=""3F*""","=""4""","=""""","=""20.04051""","=""""","=""""","=""0.2635""","="""""
"=""4s2.4p.4d""","=""3F*""","=""2""","=""""","=""20.21978""","=""""","=""""","=""0.1793""","="""""
"=""4s.4p3""","=""3S*""","=""1""","=""""","=""20.00101""","=""""","=""""","=""-0.2188""","="""""
"=""4s.4p3""","=""1P*""","=""1""","=""""","=""20.14619""","=""""","=""""","=""0.1452""","="""""
"=""4s2.4p.4d""","=""3D*""","=""1""","=""""","=""20.74957""","=""""","=""""","=""0.6034""","="""""
"=""4s2.4p.4d""","=""3D*""","=""2""","=""""","=""21.00336""","=""""","=""""","=""0.2538""","="""""
"=""4s2.4p.4d""","=""3D*""","=""3""","=""""","=""21.35689""","=""""","=""""","=""0.3535""","="""""
"=""4s2.4p.4d""","=""3P*""","=""2""","=""""","=""21.82803""","=""""","=""""","=""0.4711""","="""""
"=""4s2.4p.4d""","=""3P*""","=""0""","=""""","=""22.10725""","=""""","=""""","=""0.2792""","="""""
"=""4s2.4p.4d""","=""3P*""","=""1""","=""""","=""22.31092""","=""""","=""""","=""0.2037""","="""""
"=""4s2.4p.4d""","=""1F*""","=""3""","=""""","=""22.07431""","=""""","=""""","=""-0.2366""","="""""
"=""4s2.4p.5s""","=""3P*""","=""0""","=""""","=""22.31636""","=""""","=""""","=""0.2420""","="""""
"=""4s2.4p.5s""","=""3P*""","=""1""","=""""","=""22.54529""","=""""","=""""","=""0.2289""","="""""
"=""4s2.4p.5s""","=""3P*""","=""2""","=""""","=""23.05619""","=""""","=""""","=""0.5109""","="""""
"=""4s2.4p.4d""","=""1P*""","=""1""","=""""","=""22.47452""","=""""","=""""","=""-0.5817""","="""""
"=""4s2.4p.4d""","=""1D*""","=""2""","=""""","=""22.62753""","=""""","=""""","=""0.1530""","="""""
"=""4s2.4p.5s""","=""1P*""","=""1""","=""""","=""23.19764""","=""""","=""""","=""0.5701""","="""""
"=""4s2.4p.5p""","=""3D""","=""1""","=""""","=""26.78648""","=""""","=""""","=""3.5888""","="""""
"=""4s2.4p.5p""","=""3D""","=""2""","=""""","=""26.83447""","=""""","=""""","=""0.0480""","="""""
"=""4s2.4p.5p""","=""3D""","=""3""","=""""","=""27.31893""","=""""","=""""","=""0.4845""","="""""
"=""4s2.4p.5p""","=""3P""","=""0""","=""""","=""26.79988""","=""""","=""""","=""-0.5191""","="""""
"=""4s2.4p.5p""","=""3P""","=""1""","=""""","=""27.13196""","=""""","=""""","=""0.3321""","="""""
"=""4s2.4p.5p""","=""3P""","=""2""","=""""","=""27.45008""","=""""","=""""","=""0.3181""","="""""
"=""4s2.4p.5p""","=""3S""","=""1""","=""""","=""27.63660""","=""""","=""""","=""0.1865""","="""""
"=""4s2.4p.5p""","=""1D""","=""2""","=""""","=""27.99923""","=""""","=""""","=""0.3626""","="""""
"=""4s2.4p.6s""","=""3P*""","=""2""","=""""","=""32.78365""","=""""","=""""","=""4.7844""","="""""
"=""4s2.4p.6s""","=""1P*""","=""1""","=""""","=""32.91012""","=""""","=""""","=""0.1265""","="""""
"=""Br V (4p 2P*<1/2>)""","=""Limit""","=""---""","=""""","=""47.782""","=""""","=""0.012""","=""""","=""L18581"""
