Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4s2.4p""","=""2P*""","=""1/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""L3465"""
"=""4s2.4p""","=""2P*""","=""3/2""","=""""","=""0.7551""","=""""","=""""","=""0.7551""","="""""
"=""4s.4p2""","=""2D""","=""3/2""","=""""","=""15.2427""","=""""","=""""","=""14.488""","="""""
"=""4s.4p2""","=""2D""","=""5/2""","=""""","=""15.3279""","=""""","=""""","=""0.085""","="""""
"=""4s.4p2""","=""2P""","=""1/2""","=""""","=""19.6091""","=""""","=""""","=""4.281""","="""""
"=""4s.4p2""","=""2P""","=""3/2""","=""""","=""19.9628""","=""""","=""""","=""0.354""","="""""
"=""4s2.4d""","=""2D""","=""3/2""","=""""","=""23.3053""","=""""","=""""","=""3.342""","="""""
"=""4s2.4d""","=""2D""","=""5/2""","=""""","=""23.3824""","=""""","=""""","=""0.077""","="""""
"=""4s2.5s""","=""2S""","=""1/2""","=""""","=""26.4719""","=""""","=""""","=""3.090""","="""""
"=""Br VI (4s2 1S<0>)""","=""Limit""","=""---""","=""""","=""59.595""","=""""","=""0.025""","=""""","=""L14906"""
