Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""2s2.2p2""","=""3P""","=""0""","=""""","=""0.0000000000""","=""""","=""0.00000016""","=""""","=""""","=""  98                                                ""","=""L20057"""
"=""2s2.2p2""","=""3P""","=""1""","=""""","=""0.0020354130""","=""""","=""0.00000016""","=""0.002035413""","=""1.5010623(50)""","=""  98                                                ""","=""L20057,L3172"""
"=""2s2.2p2""","=""3P""","=""2""","=""""","=""0.0053825826""","=""""","=""0.00000016""","=""0.003347170""","=""1.5010469(50)""","=""  98                                                ""","=""L20057,L3172"""
"=""2s2.2p2""","=""1D""","=""2""","=""""","=""1.2637284""","=""""","=""0.0000004""","=""1.258345817""","=""""","=""  98                                                ""","=""L20057"""
"=""2s2.2p2""","=""1S""","=""0""","=""""","=""2.6840136""","=""""","=""0.0000004""","=""1.4202852""","=""""","=""  94         :     4  2p4                   1S      ""","=""L20057"""
"=""2s.2p3""","=""5S*""","=""2""","=""""","=""4.1826219""","=""""","=""0.0000022""","=""1.498608""","=""""","="" 100                                                ""","=""L20057"""
"=""2s2.2p.3s""","=""3P*""","=""0""","=""""","=""7.48039414""","=""""","=""0.00000006""","=""3.297772""","=""""","=""  96                                                ""","=""L20057"""
"=""2s2.2p.3s""","=""3P*""","=""1""","=""""","=""7.48277598""","=""""","=""0.00000004""","=""0.00238184""","=""""","=""  96                                                ""","=""L20057"""
"=""2s2.2p.3s""","=""3P*""","=""2""","=""""","=""7.48779869""","=""""","=""0.00000005""","=""0.00502271""","=""""","=""  96                                                ""","=""L20057"""
"=""2s2.2p.3s""","=""1P*""","=""1""","=""""","=""7.68476777""","=""""","=""0.00000005""","=""0.19696908""","=""0.97""","=""  97                                                ""","=""L20057,L292"""
"=""2s.2p3""","=""3D*""","=""3""","=""""","=""7.945771557""","=""""","=""0.000000012""","=""0.26100379""","=""""","=""  96                                                ""","=""L20057"""
"=""2s.2p3""","=""3D*""","=""1""","=""""","=""7.94613476""","=""""","=""0.00000007""","=""0.00036320""","=""""","=""  96                                                ""","=""L20057"""
