Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""2s2.2p""","=""2P*""","=""1/2""","=""""","=""0.0000000000""","=""""","=""0.0000000000""","=""""","=""0.66576(6)""","=""  96         :     3  2p3                   2P*  ""","=""L22145,L6720"""
"=""2s2.2p""","=""2P*""","=""3/2""","=""""","=""0.007859989""","=""""","=""0.000000003""","=""0.007859989""","=""1.33412(6)""","=""  96         :     3  2p3                   2P*  ""","=""L22145,L6720"""
"=""2s.2p2""","=""4P""","=""1/2""","=""""","=""5.33167""","=""""","=""0.00004""","=""5.32381""","=""(2.6704)""","=""  99                                             ""","=""L22145,L15072"""
"=""2s.2p2""","=""4P""","=""3/2""","=""""","=""5.33441""","=""""","=""0.00004""","=""0.00274""","=""(1.7349)""","=""  99                                             ""","=""L22145,L15072"""
"=""2s.2p2""","=""4P""","=""5/2""","=""""","=""5.33792""","=""""","=""0.00004""","=""0.00351""","=""(1.6013)""","=""  99                                             ""","=""L22145,L15072"""
"=""2s.2p2""","=""2D""","=""5/2""","=""""","=""9.2901455""","=""""","=""0.0000021""","=""3.95223""","=""(1.2004)""","=""  97                                             ""","=""L22145,L15072"""
"=""2s.2p2""","=""2D""","=""3/2""","=""""","=""9.290459""","=""""","=""0.000003""","=""0.000314""","=""(0.7995)""","=""  97                                             ""","=""L22145,L15072"""
"=""2s.2p2""","=""2S""","=""1/2""","=""""","=""11.963687""","=""""","=""0.000003""","=""2.673228""","=""(2.0022)""","=""  84         :    12  2s2.3s                2S   ""","=""L22145,L15072"""
"=""2s.2p2""","=""2P""","=""1/2""","=""""","=""13.715650""","=""""","=""0.000005""","=""1.751963""","=""(0.6659)""","=""  96         :     2  2p2.(3P).3s           2P   ""","=""L22145,L15072"""
"=""2s.2p2""","=""2P""","=""3/2""","=""""","=""13.720784""","=""""","=""0.000005""","=""0.005134""","=""(1.3340)""","=""  96         :     2  2p2.(3P).3s           2P   ""","=""L22145,L15072"""
"=""2s2.3s""","=""2S""","=""1/2""","=""""","=""14.4488269""","=""""","=""0.0000024""","=""0.728043""","=""(2.0023)""","=""  82         :    13  2s.2p2                2S   ""","=""L22145,L15072"""
