Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s2.2s2""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","="""""
"=""1s2.2s.2p""","=""3P*""","=""0""","=""""","=""6.492688""","=""""","=""""","=""6.492688""","="""""
"=""1s2.2s.2p""","=""3P*""","=""1""","=""""","=""6.495625""","=""""","=""""","=""0.00294""","="""""
"=""1s2.2s.2p""","=""3P*""","=""2""","=""""","=""6.502613""","=""""","=""""","=""0.00699""","="""""
"=""1s2.2s.2p""","=""1P*""","=""1""","=""""","=""12.690036""","=""""","=""""","=""6.18742""","="""""
"=""1s2.2p2""","=""3P""","=""0""","=""""","=""17.038615""","=""""","=""""","=""4.34858""","="""""
"=""1s2.2p2""","=""3P""","=""1""","=""""","=""17.042174""","=""""","=""""","=""0.00356""","="""""
"=""1s2.2p2""","=""3P""","=""2""","=""""","=""17.048076""","=""""","=""""","=""0.00590""","="""""
"=""1s2.2p2""","=""1D""","=""2""","=""""","=""18.086335""","=""""","=""""","=""1.03826""","="""""
"=""1s2.2p2""","=""1S""","=""0""","=""""","=""22.629581""","=""""","=""""","=""4.54325""","="""""
"=""1s2.2s.3s""","=""3S""","=""1""","=""""","=""29.534648""","=""""","=""""","=""6.90507""","="""""
"=""1s2.2s.3s""","=""1S""","=""0""","=""""","=""30.645207""","=""""","=""""","=""1.11056""","="""""
"=""1s2.2s.3p""","=""1P*""","=""1""","=""""","=""32.103388""","=""""","=""""","=""1.45818""","="""""
"=""1s2.2s.3p""","=""3P*""","=""0""","=""""","=""32.199384""","=""""","=""""","=""0.09600""","="""""
"=""1s2.2s.3p""","=""3P*""","=""1""","=""""","=""32.200087""","=""""","=""""","=""0.00070""","="""""
"=""1s2.2s.3p""","=""3P*""","=""2""","=""""","=""32.201709""","=""""","=""""","=""0.00162""","="""""
"=""1s2.2s.3d""","=""3D""","=""1""","=""""","=""33.477076""","=""""","=""""","=""1.27537""","="""""
"=""1s2.2s.3d""","=""3D""","=""2""","=""""","=""33.477213""","=""""","=""""","=""0.00014""","="""""
"=""1s2.2s.3d""","=""3D""","=""3""","=""""","=""33.477561""","=""""","=""""","=""0.00035""","="""""
"=""1s2.2s.3d""","=""1D""","=""2""","=""""","=""34.279506""","=""""","=""""","=""0.80194""","="""""
"=""1s2.2p.(2P*).3s""","=""3P*""","=""0""","=""""","=""38.213986""","=""""","=""""","=""3.93448""","="""""
"=""1s2.2p.(2P*).3s""","=""3P*""","=""1""","=""""","=""38.217994""","=""""","=""""","=""0.00401""","="""""
"=""1s2.2p.(2P*).3s""","=""3P*""","=""2""","=""""","=""38.226472""","=""""","=""""","=""0.00848""","="""""
"=""1s2.2s.4s""","=""3S""","=""1""","=""""","=""38.367799""","=""""","=""""","=""0.14133""","="""""
"=""1s2.2p.(2P*).3s""","=""1P*""","=""1""","=""""","=""38.435885""","=""""","=""""","=""0.06809""","="""""
"=""1s2.2s.4s""","=""1S""","=""0""","=""""","=""38.648542""","=""""","=""""","=""0.21266""","="""""
