Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s2""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0.00004""","=""""","=""L21139"""
"=""1s.2s""","=""3S""","=""1""","=""(""","=""298.962205""","="")""","=""0.000004""","=""298.96220""","=""L21139"""
"=""1s.2s""","=""1S""","=""0""","=""(""","=""304.387768""","="")""","=""0.000004""","=""5.425563""","=""L21139"""
"=""1s.2p""","=""3P*""","=""1""","=""(""","=""304.4034097""","="")""","=""0.0000010""","=""0.015642""","=""L21139"""
"=""1s.2p""","=""3P*""","=""0""","=""(""","=""304.4049606""","="")""","=""0.0000010""","=""0.001551""","=""L21139"""
"=""1s.2p""","=""3P*""","=""2""","=""(""","=""304.4202464""","="")""","=""0.0000008""","=""0.015286""","=""L21139"""
"=""1s.2p""","=""1P*""","=""1""","=""(""","=""307.9024628""","="")""","=""0.0000003""","=""3.4822164""","=""L21139"""
"=""1s.3s""","=""3S""","=""1""","=""(""","=""352.0643""","="")""","=""0.0004""","=""44.1618""","=""L21139"""
"=""1s.3s""","=""1S""","=""0""","=""(""","=""353.5004""","="")""","=""0.0004""","=""1.4361""","=""L21139"""
"=""1s.3p""","=""3P*""","=""1""","=""(""","=""353.53156""","="")""","=""0.00020""","=""0.0312""","=""L21139"""
"=""1s.3p""","=""3P*""","=""0""","=""(""","=""353.53173""","="")""","=""0.00020""","=""0.0002""","=""L21139"""
"=""1s.3p""","=""3P*""","=""2""","=""(""","=""353.53653""","="")""","=""0.00020""","=""0.0048""","=""L21139"""
"=""1s.3d""","=""3D""","=""1""","=""(""","=""354.26298""","="")""","=""0.00021""","=""0.7264""","=""L22382c208,L19700"""
"=""1s.3d""","=""3D""","=""2""","=""(""","=""354.26309""","="")""","=""0.00021""","=""0.0001""","=""L22382c208,L19700"""
"=""1s.3d""","=""3D""","=""3""","=""(""","=""354.26450""","="")""","=""0.00021""","=""0.0014""","=""L22382c208,L19700"""
"=""1s.3d""","=""1D""","=""2""","=""(""","=""354.29174""","="")""","=""0.00021""","=""0.0272""","=""L22382c208,L19700"""
"=""1s.3p""","=""1P*""","=""1""","=""(""","=""354.51908""","="")""","=""0.00022""","=""0.2273""","=""L21139"""
"=""1s.4s""","=""3S""","=""1""","=""(""","=""369.9139""","="")""","=""0.0004""","=""15.3948""","=""L21139"""
