Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0.00016""","=""""","=""  96                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3P*""","=""0""","=""""","=""25.21507""","=""""","=""0.00003""","=""25.2151""","="" 100                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3P*""","=""1""","=""""","=""25.27442""","=""""","=""0.00003""","=""0.05935""","="" 100                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3P*""","=""2""","=""""","=""25.39725""","=""""","=""0.00003""","=""0.12283""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3F*""","=""4""","=""""","=""26.32309""","=""""","=""0.00004""","=""0.92584""","="" 100                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3F*""","=""3""","=""""","=""26.45567""","=""""","=""0.00003""","=""0.13258""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""3F*""","=""2""","=""""","=""26.57404""","=""""","=""0.00003""","=""0.11837""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""1D*""","=""2""","=""""","=""27.998883""","=""""","=""0.000021""","=""1.42484""","=""  56         :    43                          3D*     ""","=""L7185"""
"=""3s2.3p5.3d""","=""3D*""","=""3""","=""""","=""28.061785""","=""""","=""0.000017""","=""0.06290""","=""  84         :    16                          1F*     ""","=""L7185"""
"=""3s2.3p5.3d""","=""3D*""","=""2""","=""""","=""28.192588""","=""""","=""0.000014""","=""0.13080""","=""  56         :    43                          1D*     ""","=""L7185"""
"=""3s2.3p5.3d""","=""3D*""","=""1""","=""""","=""28.197988""","=""""","=""0.000016""","=""0.00540""","="" 100                                                  ""","=""L7185"""
"=""3s2.3p5.3d""","=""1F*""","=""3""","=""""","=""28.319721""","=""""","=""0.000016""","=""0.12173""","=""  84         :    15                          3D*     ""","=""L7185"""
"=""3s2.3p5.4s""","=""3P*""","=""2""","=""""","=""30.072019""","=""""","=""0.000004""","=""1.75230""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.4s""","=""3P*""","=""1""","=""""","=""30.2435201""","=""""","=""0.0000025""","=""0.171501""","=""  82         :    18                          1P*     ""","=""L7185"""
"=""3s2.3p5.4s""","=""3P*""","=""0""","=""""","=""30.451992""","=""""","=""0.000004""","=""0.208472""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.4s""","=""1P*""","=""1""","=""""","=""30.710438""","=""""","=""0.000006""","=""0.258446""","=""  81         :    18                          3P*     ""","=""L7185"""
"=""3s2.3p5.4p""","=""3S""","=""1""","=""""","=""33.747098""","=""""","=""0.000006""","=""3.036660""","=""  96                                                  ""","=""L7185"""
"=""3s2.3p5.4p""","=""3D""","=""3""","=""""","=""34.346400""","=""""","=""0.000006""","=""0.599302""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.4p""","=""3D""","=""2""","=""""","=""34.390844""","=""""","=""0.000004""","=""0.044444""","=""  74         :    22                          1D      ""","=""L7185"""
"=""3s2.3p5.4p""","=""3D""","=""1""","=""""","=""34.544603""","=""""","=""0.000004""","=""0.153759""","=""  76         :    14                          1P      ""","=""L7185"""
"=""3s2.3p5.3d""","=""1P*""","=""1""","=""""","=""34.635437""","=""""","=""0.000011""","=""0.09083""","=""  88         :    10  3s2.3p5.4d              1P*     ""","=""L7185"""
"=""3s2.3p5.4p""","=""1D""","=""2""","=""""","=""34.683563""","=""""","=""0.000005""","=""0.04813""","=""  51         :    41                          3P      ""","=""L7185"""
"=""3s2.3p5.4p""","=""1P""","=""1""","=""""","=""34.856862""","=""""","=""0.000004""","=""0.173299""","=""  56         :    22                          3D      ""","=""L7185"""
"=""3s2.3p5.4p""","=""3P""","=""2""","=""""","=""34.948944""","=""""","=""0.000005""","=""0.092082""","=""  55         :    26                          1D      ""","=""L7185"""
"=""3s2.3p5.4p""","=""3P""","=""0""","=""""","=""34.972861""","=""""","=""0.000005""","=""0.023917""","=""  97                                                  ""","=""L7185"""
"=""3s2.3p5.4p""","=""3P""","=""1""","=""""","=""35.034392""","=""""","=""0.000004""","=""0.061531""","=""  68         :    29                          1P      ""","=""L7185"""
"=""3s2.3p5.4p""","=""1S""","=""0""","=""""","=""36.071256""","=""""","=""0.000009""","=""1.036864""","=""  95                                                  ""","=""L7185"""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""","=""""","=""40.005148""","=""""","=""0.000006""","=""3.93389""","=""  99                                                  ""","=""L7185"""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""""","=""40.047337""","=""""","=""0.000010""","=""0.04219""","=""  67         :    25  3s2.3p5.(2P*<3/2>).4d   2[3/2]* ""","=""L7185"""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""""","=""40.128113""","=""""","=""0.000006""","=""0.08078""","=""  80         :    18  3s2.3p5.(2P*<1/2>).4d   2[3/2]* ""","=""L7185"""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""","=""""","=""40.662119""","=""""","=""0.000007""","=""0.534006""","=""  48         :    41  3s2.3p5.(2P*<1/2>).4d   2[3/2]* ""","=""L7185"""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""""","=""40.184548""","=""""","=""0.000011""","=""-0.47757""","="" 100                                                  ""","=""L7185"""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""""","=""40.252768""","=""""","=""0.000007""","=""0.06822""","=""  80         :    13  3s2.3p5.(2P*<3/2>).4d   2[5/2]* ""","=""L7185"""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""""","=""40.352848""","=""""","=""0.000006""","=""0.100080""","=""  82         :    17  3s2.3p5.(2P*<1/2>).4d   2[5/2]* ""","=""L7185"""
"=""3s2.3p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""3""","=""""","=""40.441949""","=""""","=""0.000007""","=""0.089101""","=""  80         :    17  3s2.3p5.(2P*<3/2>).4d   2[7/2]* ""","=""L7185"""
"=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""""","=""40.657254""","=""""","=""0.000006""","=""0.215305""","=""  96                                                  ""","=""L7185"""
"=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""""","=""40.739032""","=""""","=""0.000006""","=""0.081778""","=""  91         :     5  3s2.3p5.(2P*<1/2>).4d   2[3/2]* ""","=""L7185"""
