Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""3s2.3p5""","=""2P*""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L7185"""
"=""3s2.3p5""","=""2P*""","=""1/2""","=""""","=""0.38661""","=""""","=""""","=""0.38661""","="""""
"=""3s.3p6""","=""2S""","=""1/2""","=""""","=""18.90010""","=""""","=""""","=""18.5135""","="""""
"=""3s2.3p4.(3P).3d""","=""4D""","=""7/2""","=""""","=""24.9834""","=""""","=""""","=""6.0833""","="""""
"=""3s2.3p4.(3P).3d""","=""4D""","=""5/2""","=""""","=""25.0134""","=""""","=""""","=""0.030""","="""""
"=""3s2.3p4.(3P).3d""","=""4D""","=""3/2""","=""""","=""25.0487""","=""""","=""""","=""0.035""","="""""
"=""3s2.3p4.(3P).3d""","=""4D""","=""1/2""","=""""","=""25.0763""","=""""","=""""","=""0.028""","="""""
"=""3s2.3p4.(3P).3d""","=""4F""","=""9/2""","=""""","=""27.0760""","=""""","=""""","=""2.000""","="""""
"=""3s2.3p4.(3P).3d""","=""4F""","=""7/2""","=""""","=""27.2104""","=""""","=""""","=""0.134""","="""""
"=""3s2.3p4.(3P).3d""","=""4F""","=""5/2""","=""""","=""27.306""","=""""","=""""","=""0.096""","="""""
"=""3s2.3p4.(3P).3d""","=""4F""","=""3/2""","=""""","=""27.3684""","=""""","=""""","=""0.062""","="""""
"=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""","=""""","=""27.2754""","=""""","=""""","=""-0.093""","="""""
"=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""""","=""27.5177""","=""""","=""""","=""0.242""","="""""
"=""3s2.3p4.(3P).3d""","=""4P""","=""1/2""","=""""","=""28.1709""","=""""","=""""","=""0.653""","="""""
"=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""""","=""28.2467""","=""""","=""""","=""0.076""","="""""
"=""3s2.3p4.(3P).3d""","=""4P""","=""5/2""","=""""","=""28.3544""","=""""","=""""","=""0.108""","="""""
"=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""""","=""28.3225""","=""""","=""""","=""-0.032""","="""""
"=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""""","=""28.5311""","=""""","=""""","=""0.209""","="""""
"=""3s2.3p4.(3P).3d""","=""2F""","=""7/2""","=""""","=""28.6761""","=""""","=""""","=""0.145""","="""""
"=""3s2.3p4.(3P).3d""","=""2F""","=""5/2""","=""""","=""28.9938""","=""""","=""""","=""0.318""","="""""
"=""3s2.3p4.(1D).3d""","=""2G""","=""9/2""","=""""","=""29.0740""","=""""","=""""","=""0.080""","="""""
"=""3s2.3p4.(1D).3d""","=""2G""","=""7/2""","=""""","=""29.0919""","=""""","=""""","=""0.018""","="""""
"=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""""","=""31.2795""","=""""","=""""","=""2.188""","="""""
"=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""""","=""31.3560""","=""""","=""""","=""0.077""","="""""
"=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""","=""""","=""33.4725""","=""""","=""""","=""2.116""","="""""
"=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""","=""""","=""33.5417""","=""""","=""""","=""0.069""","="""""
"=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""""","=""36.1359""","=""""","=""""","=""2.594""","="""""
"=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""""","=""36.3105""","=""""","=""""","=""0.175""","="""""
"=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""""","=""36.4876""","=""""","=""""","=""0.177""","="""""
"=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""","=""""","=""36.3285""","=""""","=""""","=""-0.159""","="""""
"=""3s2.3p4.(3P).3d""","=""2P""","=""3/2""","=""""","=""36.4355""","=""""","=""""","=""0.107""","="""""
"=""3s2.3p4.(3P).3d""","=""2P""","=""1/2""","=""""","=""36.5918""","=""""","=""""","=""0.156""","="""""
"=""3s2.3p4.(3P).3d""","=""2D""","=""5/2""","=""""","=""37.3463""","=""""","=""""","=""0.755""","="""""
"=""3s2.3p4.(3P).3d""","=""2D""","=""3/2""","=""""","=""37.673""","=""""","=""""","=""0.327""","="""""
"=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""""","=""37.4083""","=""""","=""""","=""-0.265""","="""""
"=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""""","=""37.6421""","=""""","=""""","=""0.234""","="""""
"=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""","=""""","=""38.7472""","=""""","=""""","=""1.105""","="""""
"=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""""","=""38.764""","=""""","=""""","=""0.017""","="""""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""5/2""","=""""","=""41.0007""","=""""","=""""","=""2.237""","="""""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""","=""""","=""41.0602""","=""""","=""""","=""0.059""","="""""
"=""3s2.3p4.(3P).4p""","=""4P*""","=""1/2""","=""""","=""41.1589""","=""""","=""""","=""0.099""","="""""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""7/2""","=""""","=""41.5498""","=""""","=""""","=""0.391""","="""""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""""","=""41.6464""","=""""","=""""","=""0.097""","="""""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""3/2""","=""""","=""41.7775""","=""""","=""""","=""0.131""","="""""
"=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""","=""""","=""41.8387""","=""""","=""""","=""0.061""","="""""
"=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""","=""""","=""41.8092""","=""""","=""""","=""-0.030""","="""""
"=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""""","=""41.938""","=""""","=""""","=""0.129""","="""""
"=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""""","=""42.2014""","=""""","=""""","=""0.263""","="""""
"=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""""","=""41.94""","=""""","=""""","=""-0.26""","="""""
"=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""","=""""","=""42.0256""","=""""","=""""","=""0.09""","="""""
"=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""","=""""","=""42.4729""","=""""","=""""","=""0.447""","="""""
"=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""","=""""","=""42.5160""","=""""","=""""","=""0.043""","="""""
"=""3s2.3p4.(1D).4p""","=""2F*""","=""5/2""","=""""","=""43.6615""","=""""","=""""","=""1.145""","="""""
"=""3s2.3p4.(1D).4p""","=""2F*""","=""7/2""","=""""","=""43.7188""","=""""","=""""","=""0.057""","="""""
"=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""","=""""","=""44.3790""","=""""","=""""","=""0.660""","="""""
"=""3s2.3p4.(1D).4p""","=""2D*""","=""5/2""","=""""","=""44.4243""","=""""","=""""","=""0.045""","="""""
"=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""","=""""","=""44.5816""","=""""","=""""","=""0.157""","="""""
"=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""","=""""","=""44.779""","=""""","=""""","=""0.197""","="""""
"=""3s.3p5.(3P*).3d""","=""4F*""","=""9/2""","=""""","=""45.5238""","=""""","=""""","=""0.745""","="""""
"=""3s.3p5.(3P*).3d""","=""4F*""","=""7/2""","=""""","=""45.6226""","=""""","=""""","=""0.099""","="""""
"=""3s.3p5.(3P*).3d""","=""4F*""","=""5/2""","=""""","=""45.708""","=""""","=""""","=""0.085""","="""""
"=""3s.3p5.(3P*).3d""","=""4F*""","=""3/2""","=""""","=""45.7746""","=""""","=""""","=""0.067""","="""""
"=""3s2.3p4.(1S).4p""","=""2P*""","=""1/2""","=""""","=""47.0860""","=""""","=""""","=""1.311""","="""""
"=""3s2.3p4.(1S).4p""","=""2P*""","=""3/2""","=""""","=""47.1193""","=""""","=""""","=""0.033""","="""""
"=""3s.3p5.(3P*).3d""","=""4D*""","=""7/2""","=""""","=""47.4414""","=""""","=""""","=""0.322""","="""""
"=""3s.3p5.(3P*).3d""","=""4D*""","=""5/2""","=""""","=""47.4827""","=""""","=""""","=""0.041""","="""""
"=""3s.3p5.(3P*).3d""","=""4D*""","=""3/2""","=""""","=""47.5014""","=""""","=""""","=""0.019""","="""""
"=""3s.3p5.(3P*).3d""","=""4D*""","=""1/2""","=""""","=""47.5078""","=""""","=""""","=""0.006""","="""""
"=""3s2.3p4.(1D).5s""","=""2D""","=""5/2""","=""""","=""49.5633""","=""""","=""""","=""2.055""","="""""
"=""3s2.3p4.(1D).5s""","=""2D""","=""3/2""","=""""","=""49.7122""","=""""","=""""","=""0.149""","="""""
"=""Ca V (3p4 3P<2>)""","=""Limit""","=""---""","=""[""","=""67.2732""","=""]""","=""0.0021""","=""""","=""L11770"""
