Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d10.5s2""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0.0000009""","=""""","=""L3466"""
"=""4d10.5s.5p""","=""3P*""","=""0""","=""""","=""3.73365891""","=""""","=""0.00000025""","=""3.7336589""","=""L3486"""
"=""4d10.5s.5p""","=""3P*""","=""1""","=""""","=""3.80087037""","=""""","=""0.00000025""","=""0.0672115""","=""L3486"""
"=""4d10.5s.5p""","=""3P*""","=""2""","=""""","=""3.94603913""","=""""","=""0.00000025""","=""0.1451688""","=""L3486"""
"=""4d10.5s.5p""","=""1P*""","=""1""","=""""","=""5.41716521""","=""""","=""0.00000025""","=""1.4711261""","=""L3486"""
"=""4d10.5s.6s""","=""3S""","=""1""","=""""","=""6.38319999""","=""""","=""0.00000025""","=""0.9660348""","=""L3486"""
"=""4d10.5s.6s""","=""1S""","=""0""","=""""","=""6.6096101""","=""""","=""0.0000012""","=""0.2264101""","=""L3486"""
"=""4d10.5s.6p""","=""3P*""","=""0""","=""""","=""7.2395""","=""""","=""0.0003""","=""0.6299""","=""L3466"""
"=""4d10.5s.6p""","=""3P*""","=""1""","=""""","=""7.2483""","=""""","=""0.0003""","=""0.0088""","=""L3466"""
"=""4d10.5s.6p""","=""3P*""","=""2""","=""""","=""7.2699""","=""""","=""0.0003""","=""0.0216""","=""L3466"""
"=""4d10.5s.5d""","=""1D""","=""2""","=""""","=""7.34231125""","=""""","=""0.00000025""","=""0.0724""","=""L3486"""
"=""4d10.5s.5d""","=""3D""","=""1""","=""""","=""7.37529526""","=""""","=""0.00000025""","=""0.0329840""","=""L3486"""
"=""4d10.5s.5d""","=""3D""","=""2""","=""""","=""7.37679547""","=""""","=""0.00000025""","=""0.0015002""","=""L3486"""
"=""4d10.5s.5d""","=""3D""","=""3""","=""""","=""7.3790423""","=""""","=""0.0000025""","=""0.002247""","=""L3486c197"""
"=""4d10.5s.6p""","=""1P*""","=""1""","=""""","=""7.427556""","=""""","=""0.000022""","=""0.048514""","=""L3641"""
"=""4d10.5s.7s""","=""3S""","=""1""","=""""","=""7.75687734""","=""""","=""0.00000025""","=""0.329321""","=""L3486"""
"=""4d10.5s.7s""","=""1S""","=""0""","=""""","=""7.82177823""","=""""","=""0.00000025""","=""0.0649009""","=""L3486"""
"=""4d10.5s.7p""","=""3P*""","=""0""","=""""","=""8.0585""","=""""","=""0.0003""","=""0.2367""","=""L3466"""
"=""4d10.5s.7p""","=""3P*""","=""1""","=""""","=""8.06213""","=""""","=""0.00004""","=""0.0036""","=""L9542"""
"=""4d10.5s.7p""","=""3P*""","=""2""","=""""","=""8.0705905""","=""""","=""0.0000020""","=""0.00846""","=""L3486"""
"=""4d10.5s.6d""","=""1D""","=""2""","=""""","=""8.07568386""","=""""","=""0.00000025""","=""0.0050934""","=""L3486"""
"=""4d10.5s.6d""","=""3D""","=""1""","=""""","=""8.10278544""","=""""","=""0.00000025""","=""0.0271016""","=""L3486"""
"=""4d10.5s.6d""","=""3D""","=""2""","=""""","=""8.10346847""","=""""","=""0.00000025""","=""0.0006830""","=""L3486"""
"=""4d10.5s.6d""","=""3D""","=""3""","=""""","=""8.1045032""","=""""","=""0.0000025""","=""0.001035""","=""L3486"""
"=""4d10.5s.7p""","=""1P*""","=""1""","=""""","=""8.1211401""","=""""","=""0.0000020""","=""0.016637""","=""L3486"""
"=""4d10.5s.4f""","=""3F*""","=""2,3,4""","=""""","=""8.13163""","=""""","=""0.00004""","=""0.01049""","=""L9542"""
"=""4d10.5s.8s""","=""3S""","=""1""","=""""","=""8.26751792""","=""""","=""0.00000025""","=""0.13589""","=""L3486"""
"=""4d10.5s.8s""","=""1S""","=""0""","=""""","=""8.2952423""","=""""","=""0.0000012""","=""0.0277244""","=""L3486"""
"=""4d10.5s.8p""","=""3P*""","=""0""","=""""","=""8.4098055""","=""""","=""0.0000025""","=""0.114563""","=""L3486"""
"=""4d10.5s.8p""","=""3P*""","=""1""","=""""","=""8.411343""","=""""","=""0.000006""","=""0.001538""","=""L3486"""
"=""4d10.5s.8p""","=""3P*""","=""2""","=""""","=""8.4154511""","=""""","=""0.0000020""","=""0.004108""","=""L3486"""
"=""4d10.5s.7d""","=""1D""","=""2""","=""""","=""8.41088977""","=""""","=""0.00000025""","=""-0.0045613""","=""L3486"""
"=""4d10.5s.7d""","=""3D""","=""1""","=""""","=""8.42966259""","=""""","=""0.00000025""","=""0.0187728""","=""L3486"""
"=""4d10.5s.7d""","=""3D""","=""2""","=""""","=""8.43002140""","=""""","=""0.00000025""","=""0.0003588""","=""L3486"""
"=""4d10.5s.7d""","=""3D""","=""3""","=""""","=""8.4305661""","=""""","=""0.0000025""","=""0.000545""","=""L3486"""
"=""4d10.5s.8p""","=""1P*""","=""1""","=""""","=""8.4382893""","=""""","=""0.0000020""","=""0.007723""","=""L3486"""
"=""4d10.5s.5f""","=""3F*""","=""2,3,4""","=""""","=""8.4425""","=""""","=""0.0003""","=""0.0042""","=""L3466"""
"=""4d10.5s.9s""","=""3S""","=""1""","=""""","=""8.51552301""","=""""","=""0.00000025""","=""0.0730""","=""L3486"""
"=""4d10.5s.9s""","=""1S""","=""0""","=""""","=""8.5299591""","=""""","=""0.0000012""","=""0.0144361""","=""L3486"""
"=""4d10.5s.8d""","=""1D""","=""2""","=""""","=""8.5917434""","=""""","=""0.0000020""","=""0.061784""","=""L3486"""
"=""4d10.5s.9p""","=""3P*""","=""0""","=""""","=""8.59384""","=""""","=""0.00004""","=""0.00210""","=""L9542"""
"=""4d10.5s.9p""","=""3P*""","=""1""","=""""","=""8.59470""","=""""","=""0.00004""","=""0.00086""","=""L9542"""
