Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d10.5s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""L3466"""
"=""4d10.5p""","=""2P*""","=""1/2""","=""""","=""5.472177""","=""""","=""""","=""5.472177""","="""""
"=""4d10.5p""","=""2P*""","=""3/2""","=""""","=""5.779964""","=""""","=""""","=""0.30779""","="""""
"=""4d9.5s2""","=""2D""","=""5/2""","=""""","=""8.587010""","=""""","=""""","=""2.80705""","="""""
"=""4d9.5s2""","=""2D""","=""3/2""","=""""","=""9.285630""","=""""","=""""","=""0.69862""","="""""
"=""4d10.6s""","=""2S""","=""1/2""","=""""","=""10.289530""","=""""","=""""","=""1.00390""","="""""
"=""4d10.5d""","=""2D""","=""3/2""","=""""","=""11.120050""","=""""","=""""","=""0.83052""","="""""
"=""4d10.5d""","=""2D""","=""5/2""","=""""","=""11.139209""","=""""","=""""","=""0.01916""","="""""
"=""4d10.6p""","=""2P*""","=""1/2""","=""""","=""11.742594""","=""""","=""""","=""0.60339""","="""""
"=""4d10.6p""","=""2P*""","=""3/2""","=""""","=""11.826063""","=""""","=""""","=""0.08347""","="""""
"=""4d9.5s.(3D).5p""","=""4P*""","=""5/2""","=""""","=""13.165783""","=""""","=""""","=""1.33972""","="""""
"=""4d9.5s.(3D).5p""","=""4P*""","=""3/2""","=""""","=""13.568937""","=""""","=""""","=""0.40315""","="""""
"=""4d9.5s.(3D).5p""","=""4P*""","=""1/2""","=""""","=""13.910593""","=""""","=""""","=""0.34166""","="""""
"=""4d10.7s""","=""2S""","=""1/2""","=""""","=""13.303614""","=""""","=""""","=""-0.60698""","="""""
"=""4d10.4f""","=""2F*""","=""5/2""","=""""","=""13.442301""","=""""","=""""","=""0.13869""","="""""
"=""4d10.4f""","=""2F*""","=""7/2""","=""""","=""13.443908""","=""""","=""""","=""0.00161""","="""""
"=""4d9.5s.(3D).5p""","=""4F*""","=""9/2""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d9.5s.(3D).5p""","=""4F*""","=""7/2""","=""""","=""13.605632""","=""""","=""""","=""""","="""""
"=""4d9.5s.(3D).5p""","=""4F*""","=""5/2""","=""""","=""13.659105""","=""""","=""""","=""0.05347""","="""""
"=""4d9.5s.(3D).5p""","=""4F*""","=""3/2""","=""""","=""13.983581""","=""""","=""""","=""0.32448""","="""""
"=""4d10.6d""","=""2D""","=""3/2""","=""""","=""13.659847""","=""""","=""""","=""-0.32373""","="""""
"=""4d10.6d""","=""2D""","=""5/2""","=""""","=""13.668960""","=""""","=""""","=""0.00911""","="""""
"=""4d10.7p""","=""2P*""","=""1/2""","=""""","=""13.930996""","=""""","=""""","=""0.26204""","="""""
"=""4d10.7p""","=""2P*""","=""3/2""","=""""","=""13.947031""","=""""","=""""","=""0.01604""","="""""
